"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000104164",2.53048803532704e-49,1,4,0,-0.991739044431353,1,0.833333333333333
"ENSG00000196683",3.42090899414917e-294,1,3,0,0.99017633883623,1,0.833333333333333
"ENSG00000162522",2.49721569319085e-24,1,4,0,0.989763548032008,1,0.5
"ENSG00000149273",3.42090899414917e-294,1.42246794079026e-81,6,1,-0.988279148092981,1,1
"ENSG00000205302",9.65091647083829e-34,1,3,0,0.972922990029188,1,0.833333333333333
"ENSG00000170296",6.29088793930091e-171,1,3,0,0.961728006434728,1,1
"ENSG00000106399",3.80362354841907e-07,0.00906397770259026,3,1,-0.961394571591968,0.833333333333333,0.666666666666667
"ENSG00000142082",3.91692539776356e-11,0.387198226443389,3,0,0.957355440989075,1,0.666666666666667
"ENSG00000089693",5.97166300608625e-13,2.77965716262299e-10,3,1,-0.949990693160398,1,0.833333333333333
"ENSG00000061676",1.07042783695015e-09,1,3,0,-0.945974972624994,1,0.5
"ENSG00000141367",8.62651336368870e-11,1,3,0,0.945953799905692,1,0.666666666666667
"ENSG00000134744",1.37183423413393e-10,1,6,0,-0.944443527272413,1,0.666666666666667
"ENSG00000160087",2.56659566751671e-28,1,5,0,-0.943402092910115,1,0.5
"ENSG00000104660",6.29893519289531e-13,5.05993164508995e-08,3,1,0.935117033179411,1,0.833333333333333
"ENSG00000152056",5.25021922888052e-05,1,3,0,-0.934794559684738,0.833333333333333,0.5
"ENSG00000134825",1.53640273568841e-11,4.6124064056258e-09,4,1,-0.932281502313611,1,0.833333333333333
"ENSG00000017797",4.82523880779615e-24,0.000912341434416242,4,1,-0.932104314976358,1,0.833333333333333
"ENSG00000130985",2.01439561805151e-46,1,4,0,-0.927951943024598,1,0.833333333333333
"ENSG00000185504",3.28653835656416e-06,1,4,0,0.92423586376335,1,0.5
"ENSG00000126768",6.82874191192383e-64,1,4,0,-0.920920383066985,1,0.833333333333333
"ENSG00000175581",1.03323175111216e-06,0.506784466089165,5,0,-0.917930627048666,1,0.5
"ENSG00000173947",5.99769239260155e-112,1,3,0,0.917771649735915,1,1
"ENSG00000171206",6.10543050345921e-11,9.40629348089448e-06,3,2,-0.916904762749195,1,0.833333333333333
"ENSG00000156413",4.93398315679093e-09,1,5,0,0.916666540284729,1,0.5
"ENSG00000188659",0.00369715292501021,0.0107486461650995,3,1,-0.916220308253004,0.833333333333333,0.666666666666667
"ENSG00000166508",2.15710889256885e-22,1,4,0,0.915719148324449,1,0.666666666666667
"ENSG00000198130",3.55480109856043e-44,1,5,0,-0.914123972377391,1,0.833333333333333
"ENSG00000102900",1.041863386572e-11,1,4,0,-0.910909785343922,1,0.5
"ENSG00000151632",3.42090899414917e-294,1,4,0,0.907310594218006,1,1
"ENSG00000258818",2.92223244461403e-10,1,3,0,-0.906009887205558,1,0.666666666666667
"ENSG00000136451",7.78176724154657e-06,1,3,0,0.904091750671295,1,0.5
"ENSG00000167522",1.59551562951186e-10,1,4,0,0.901599224705879,1,0.666666666666667
"ENSG00000135297",3.08089756859932e-05,0.575458698799913,3,0,-0.898680495661912,1,0.5
"ENSG00000158373",3.08338904608437e-50,8.41182867896485e-34,5,1,0.897217995622218,1,0.833333333333333
"ENSG00000197728",3.81734361192031e-43,2.06994418247242e-45,3,2,-0.890887435666809,1,1
"ENSG00000100425",9.34882876830706e-09,0.261780832044239,3,0,-0.888800144944637,1,0.833333333333333
"ENSG00000137692",9.9793068215328e-47,1,6,0,0.888726440279575,1,0.5
"ENSG00000111639",3.54606197385337e-233,4.85428257457943e-15,4,1,0.885927162076417,1,1
"ENSG00000131089",8.20982488704309e-08,2.10345663009151e-05,3,1,0.885215514102062,1,0.666666666666667
"ENSG00000231566",1.84823263931873e-15,0.0215765210259537,4,1,-0.882700563369502,1,0.833333333333333
"ENSG00000131943",0.000705779853090266,0.272043912299422,3,0,0.880835484762978,0.833333333333333,0.5
"ENSG00000086598",1.33881875043509e-05,2.2264308542013e-05,3,1,0.879642317114024,1,0.833333333333333
"ENSG00000205609",2.91484042421811e-09,0.000316466612776499,3,2,-0.879208413547369,1,1
"ENSG00000159128",2.42814202405844e-64,1,6,0,-0.878463777882742,1,0.666666666666667
"ENSG00000004975",0.000644672976637743,1,4,0,0.878406815786502,1,0.5
"ENSG00000011028",0.00019273789966269,1,3,0,0.876815819334284,1,0.5
"ENSG00000042429",5.27726639279375e-07,1,3,0,0.867861102279752,1,0.666666666666667
"ENSG00000167595",0.000104172754196167,1,4,0,0.867000377789017,0.833333333333333,0.666666666666667
"ENSG00000169718",1.36235101233839e-23,0.0399930991959238,4,1,-0.866707586676034,1,0.666666666666667
"ENSG00000172845",2.8044778840543e-14,1,4,0,-0.865967597723915,1,1
"ENSG00000168216",1.35468995282847e-21,1,4,0,-0.859293241379851,1,0.833333333333333
"ENSG00000078902",2.28994095082365e-07,0.081081176556987,4,0,-0.856365875956839,1,0.666666666666667
"ENSG00000196505",2.86940560802242e-05,1,3,0,0.855991283847531,1,0.666666666666667
"ENSG00000131508",4.31933425508776e-22,1,4,0,0.855008498601431,1,1
"ENSG00000162889",1.85291265971524e-06,4.42484338813471e-05,3,1,-0.854150826784103,1,0.666666666666667
"ENSG00000229809",2.51585802055538e-40,1,7,0,-0.852941144129129,1,1
"ENSG00000180104",2.35782376524683e-09,0.000111434219703717,4,1,-0.852382878170021,1,0.666666666666667
"ENSG00000048405",2.5404342214062e-08,1,6,0,-0.850061982155947,1,0.833333333333333
"ENSG00000142733",4.8167060200317e-06,1,4,0,0.846771920022484,1,0.666666666666667
"ENSG00000120832",2.74826448651383e-06,1,3,0,0.838749517554826,1,0.666666666666667
"ENSG00000184887",7.85569285132786e-07,0.00132178294024509,4,1,0.838660437172629,1,0.666666666666667
"ENSG00000214113",2.06026231616496e-11,1,4,0,-0.838473515595767,1,1
"ENSG00000164751",1.73976955429525e-09,1,5,0,-0.833332436568793,1,0.833333333333333
