"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000142327"	"ENSG00000142327"	2.3914326541213e-05	0	2	2	-0.783049703246725	1	0.833333333333333
"ENSG00000130024"	"ENSG00000130024"	0.00014952161070735	0	2	2	0.681634475660183	1	1
"ENSG00000168876"	"ENSG00000168876"	0.0233900857818126	0	2	2	-0.680749077524129	1	0.666666666666667
"ENSG00000224616"	"ENSG00000224616"	0.000387026736158869	0	2	2	-0.666553980880702	1	0.833333333333333
"ENSG00000174021"	"ENSG00000174021"	3.10098956560201e-217	0	2	2	-0.654758743553338	1	1
"ENSG00000198483"	"ENSG00000198483"	0.000428230693975815	0	2	2	-0.653252540298019	1	1
"ENSG00000108468"	"ENSG00000108468"	5.7564823001952e-09	0	2	2	0.627561548538974	1	1
"ENSG00000131203"	"ENSG00000131203"	7.23842048186037e-21	0	2	2	-0.577117069106449	1	1
"ENSG00000119922"	"ENSG00000119922"	3.54308612993973e-34	0	2	2	-0.571708367981389	1	1
"ENSG00000143164"	"ENSG00000143164"	0.0418309859147963	0	2	2	-0.525892608046193	0.833333333333333	0.833333333333333
"ENSG00000055211"	"ENSG00000055211"	1.21728518919172e-06	0	2	2	0.471167242409222	1	1
"ENSG00000083535"	"ENSG00000083535"	6.3267467832538e-07	0	2	2	0.454953200754103	1	1
"ENSG00000001497"	"ENSG00000001497"	0.0292808029828946	0	2	2	0.440415072989487	1	0.833333333333333
"ENSG00000197746"	"ENSG00000197746"	0.000170873337882537	0	2	2	0.414611507310398	1	1
"ENSG00000102554"	"ENSG00000102554"	0.000112316462539132	0	2	2	0.407708988262558	1	1
"ENSG00000181458"	"ENSG00000181458"	0.01120102152657	0	2	2	-0.391495961648725	1	1
"ENSG00000168077"	"ENSG00000168077"	0.0228636938365426	0	2	2	0.365282905936805	1	1
"ENSG00000156508"	"ENSG00000156508"	3.42090899414917e-294	0	2	2	-0.350671767838435	1	1
"ENSG00000143294"	"ENSG00000143294"	0.00269185443175719	0	2	2	-0.346441212675056	1	1
"ENSG00000178741"	"ENSG00000178741"	6.07542582488002e-37	0	2	2	0.339850033132434	1	1
"ENSG00000013275"	"ENSG00000013275"	3.96840921941647e-11	0	2	2	0.300880423587789	1	1
"ENSG00000110841"	"ENSG00000110841"	0.00905607321129757	0	2	2	0.294933231899027	1	1
"ENSG00000130592"	"ENSG00000130592"	0.0292364962515793	0	2	2	0.273980430745392	1	1
"ENSG00000141232"	"ENSG00000141232"	3.45321453688133e-07	0	2	2	0.272317309520621	1	1
"ENSG00000198843"	"ENSG00000198843"	0.0178474628961131	0	2	2	0.254647214036636	1	1
"ENSG00000126602"	"ENSG00000126602"	0.000801674599592766	0	2	2	-0.245505635238608	1	1
"ENSG00000126254"	"ENSG00000126254"	0.0345006576753194	0	2	2	0.245085245460411	1	1
