"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000104388",9.58390384596875e-25,0.0116235488370561,4,2,-0.992799096517155,1,0.666666666666667
"ENSG00000196683",2.2465528532002e-248,1,3,0,0.992650424944733,1,1
"ENSG00000149273",2.2465528532002e-248,2.8250225140415e-72,6,1,-0.987420849375294,1,1
"ENSG00000106399",5.98524548920107e-10,2.11197072932721e-05,3,1,-0.986270733939769,1,0.5
"ENSG00000154001",3.56035741998339e-17,4.52766176171289e-05,6,1,-0.975800154805873,1,0.5
"ENSG00000017797",2.95456029123065e-39,1.52658260518111e-06,4,1,-0.975478996324409,1,0.833333333333333
"ENSG00000158373",6.78961966084544e-115,1.02729223084778e-46,4,1,0.971538169032635,1,1
"ENSG00000142166",1.03460716698176e-14,1,3,0,-0.966315571085919,1,0.5
"ENSG00000134825",6.91721063209324e-11,9.45437944210214e-06,3,2,-0.965171056021634,1,1
"ENSG00000130741",1.1858899533209e-08,0.000167788912869546,3,1,0.963379711287854,1,0.833333333333333
"ENSG00000061676",1.75608170769556e-13,1,3,0,0.962611742466626,1,0.5
"ENSG00000139318",7.06902723150408e-06,0.000898591197028803,3,1,0.961939372417834,1,0.666666666666667
"ENSG00000126768",3.19302913413599e-113,1,3,0,0.955558894188154,1,1
"ENSG00000086598",2.02797552571149e-08,4.31925783609428e-05,3,2,0.950656456487117,1,0.666666666666667
"ENSG00000102900",2.01358428909114e-13,1,4,0,-0.949791723503797,1,0.5
"ENSG00000142733",5.22607878396263e-09,0.051437340311682,3,0,0.939590867288748,1,0.666666666666667
"ENSG00000130985",8.40390665232936e-69,1,4,0,-0.93931491992668,1,0.833333333333333
"ENSG00000058453",8.08639421270357e-06,0.201133386473277,3,0,-0.937871168592426,1,0.5
"ENSG00000160087",1.88867588646307e-69,1,4,0,-0.934158885959487,1,1
"ENSG00000169718",1.02653781305162e-29,1,3,0,0.932259536558327,1,0.833333333333333
"ENSG00000229809",2.34554976203798e-36,1,4,0,-0.927542067400533,1,1
"ENSG00000164291",4.206418095248e-06,1,4,0,0.923886834757637,1,0.5
"ENSG00000155229",1.92656910612598e-14,1,4,0,0.919115612205837,1,0.5
"ENSG00000185567",2.05241931581842e-77,2.03929872348686e-76,4,1,0.91706113640946,1,1
"ENSG00000151632",2.2465528532002e-248,1,4,0,0.910026285722032,1,1
"ENSG00000158055",1.24877506447341e-08,1,3,0,0.908738356979008,1,0.666666666666667
"ENSG00000131508",2.67781704226805e-34,1,4,0,0.90799880131451,1,1
"ENSG00000138071",8.63486226631532e-73,2.34700391228423e-36,4,2,-0.905529208824044,1,1
"ENSG00000139508",0.00011285144344511,1,3,0,-0.903697709330775,1,0.5
"ENSG00000145431",6.97938845216771e-06,0.0651269996036659,3,0,-0.902445948098076,1,0.666666666666667
"ENSG00000089693",7.09180115782135e-27,1.91264612521597e-22,4,1,-0.902316670437334,1,1
"ENSG00000163235",2.05577056888615e-10,3.6352706047815e-07,3,1,-0.9017126779193,1,0.833333333333333
"ENSG00000141367",5.40369029318403e-14,1,3,0,-0.89877521819017,1,0.666666666666667
"ENSG00000235453",1.71424880740224e-14,1,3,0,-0.895632741730643,1,0.833333333333333
"ENSG00000173947",7.9703833628572e-117,1,3,0,-0.89027641324464,1,1
"ENSG00000085491",2.35013581973822e-14,1,4,0,0.889420715894111,1,0.666666666666667
"ENSG00000167595",2.24084983733435e-06,0.108737875722836,4,0,0.887023443075436,1,0.666666666666667
"ENSG00000188659",0.00232655650763513,0.00446879952374027,4,1,-0.886359936911109,1,0.666666666666667
"ENSG00000162889",2.03143878561638e-08,2.30801328867218e-06,3,1,-0.886268843623173,1,0.666666666666667
"ENSG00000111665",2.34728497906761e-09,1,3,0,-0.885988708488906,1,0.666666666666667
"ENSG00000120915",3.56817885981878e-30,1,4,0,0.885466309631745,1,1
"ENSG00000182095",2.98664940593899e-09,1,3,0,-0.879906064505189,1,0.833333333333333
"ENSG00000108582",3.55171027256285e-09,0.00464169234122768,3,1,-0.877960578970809,1,1
"ENSG00000111639",2.2465528532002e-248,1,4,0,0.872883537132784,1,1
"ENSG00000170881",1.66955447731443e-18,0.00377688437886364,4,1,-0.870446752651716,1,1
"ENSG00000168216",1.57982163445946e-25,1,4,0,-0.866670759027618,1,0.833333333333333
"ENSG00000196505",1.29829524150289e-08,0.81403773463993,3,0,-0.865731882068985,1,0.833333333333333
"ENSG00000163322",4.81406578837109e-09,1,5,0,0.860614773697955,1,0.5
"ENSG00000171206",2.48846449302186e-12,9.33614198194411e-09,3,1,-0.858308644986777,1,1
"ENSG00000150712",3.60243646298694e-07,1,3,0,-0.8557899831816,1,0.666666666666667
"ENSG00000258818",6.97023608112744e-13,0.360839162608411,4,0,-0.854185001429386,1,0.833333333333333
"ENSG00000072134",4.51685054154542e-09,1,3,0,-0.852421895727756,1,0.666666666666667
"ENSG00000093010",1.74842508228038e-59,3.7752212347283e-21,5,2,0.850357330698413,1,1
"ENSG00000197728",2.6635811739007e-45,1.13000542840361e-46,3,3,-0.849864702938132,1,1
"ENSG00000108061",2.28907431373097e-11,0.0582707636672308,3,0,0.848264287812502,1,0.833333333333333
"ENSG00000126778",1.63296913923912e-19,0.193604577222238,3,0,0.844535486119722,1,1
"ENSG00000198830",6.30336290875456e-63,8.32106688030028e-16,5,3,-0.844351352164881,1,1
"ENSG00000055147",6.77012462533109e-05,1,3,0,-0.843637882769202,0.833333333333333,0.666666666666667
"ENSG00000198130",9.20501055000861e-67,1,5,0,-0.843537398273669,1,1
"ENSG00000171490",1.60472188129066e-18,1.55311393342185e-08,3,2,0.843305260691978,1,0.833333333333333
"ENSG00000170876",7.34396545045009e-17,7.53862442799821e-15,3,1,-0.843030156453502,1,0.833333333333333
"ENSG00000164751",4.00199365150456e-16,0.411468723851013,6,0,-0.840470499731187,1,0.833333333333333
"ENSG00000204574",3.30593308827679e-10,0.00574745690915151,4,1,0.840458491173443,1,0.833333333333333
"ENSG00000112130",4.44327014535573e-13,1,5,0,0.840097341079673,1,0.666666666666667
"ENSG00000102030",2.96524127632572e-09,0.000168931177332644,3,2,-0.836830490663554,1,1
