"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000112592"	"ENSG00000112592"	0.00321896149564198	0	2	2	0.721372496539368	1	0.833333333333333
"ENSG00000168077"	"ENSG00000168077"	2.14683309969684e-07	0	2	2	-0.679946634286812	1	1
"ENSG00000179832"	"ENSG00000179832"	0.0117075560327743	0	2	2	0.666982870694369	1	0.666666666666667
"ENSG00000168259"	"ENSG00000168259"	2.20947477490545e-28	0	2	2	0.64808378836679	1	1
"ENSG00000174021"	"ENSG00000174021"	2.2465528532002e-248	0	2	2	-0.643676553705141	1	1
"ENSG00000131203"	"ENSG00000131203"	1.66235825848551e-35	0	2	2	-0.623234464955226	1	1
"ENSG00000108468"	"ENSG00000108468"	1.76738142129116e-08	0	2	2	0.571197070286142	1	1
"ENSG00000119922"	"ENSG00000119922"	3.86703991963661e-28	0	2	2	-0.556072532121988	1	1
"ENSG00000140451"	"ENSG00000140451"	3.02047106117553e-05	0	2	2	-0.551771019398876	1	1
"ENSG00000224616"	"ENSG00000224616"	0.00204647165823484	0	2	2	-0.536508631486173	1	1
"ENSG00000184986"	"ENSG00000184986"	0.0339579731348333	0	2	2	-0.51385543544648	1	0.833333333333333
"ENSG00000197746"	"ENSG00000197746"	2.77757322324104e-06	0	2	2	0.483893027201086	1	1
"ENSG00000055211"	"ENSG00000055211"	5.61394060228341e-06	0	2	2	-0.451898435005889	1	1
"ENSG00000120699"	"ENSG00000120699"	0.00812123286377414	0	2	2	-0.441460088033891	1	1
"ENSG00000102554"	"ENSG00000102554"	4.92659252849186e-05	0	2	2	0.398259168292541	1	1
"ENSG00000135052"	"ENSG00000135052"	0.00213592749088564	0	2	2	-0.354245602599142	1	1
"ENSG00000141232"	"ENSG00000141232"	1.15490124044532e-20	0	2	2	0.351492170828383	1	1
"ENSG00000178741"	"ENSG00000178741"	1.9798546712377e-41	0	2	2	0.347682786947499	1	1
"ENSG00000156508"	"ENSG00000156508"	2.2465528532002e-248	0	2	2	-0.344885284941398	1	1
"ENSG00000001497"	"ENSG00000001497"	0.0184467077197897	0	2	2	-0.334795756621448	1	1
"ENSG00000256683"	"ENSG00000256683"	0.0219674146054933	0	2	2	-0.327676431206366	1	1
"ENSG00000205572"	"ENSG00000205572"	0.00693133896939365	0	2	2	0.327356819904962	1	1
"ENSG00000184924"	"ENSG00000184924"	2.55436840695959e-16	0	2	2	-0.293737432411086	1	1
"ENSG00000170540"	"ENSG00000170540"	1.56606873973585e-10	0	2	2	-0.285558932082059	1	1
"ENSG00000181458"	"ENSG00000181458"	0.0400296652556713	0	2	2	-0.281660791189696	1	1
"ENSG00000013275"	"ENSG00000013275"	2.735688668247e-15	0	2	2	0.270868323536137	1	1
"ENSG00000085117"	"ENSG00000085117"	6.90956117352577e-12	0	2	2	0.270234641915611	1	1
"ENSG00000140395"	"ENSG00000140395"	4.74433355942296e-07	0	2	2	-0.25727624846796	1	1
"ENSG00000143294"	"ENSG00000143294"	0.00831650808111399	0	2	2	0.25623316861367	1	1
"ENSG00000083535"	"ENSG00000083535"	0.0011155215286581	0	2	2	0.251206173063649	1	1
"ENSG00000130592"	"ENSG00000130592"	0.0190543984294444	0	2	2	0.243683573469911	1	1
