"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000196683",1.42317329388458e-167,2.2577587128967e-17,3,1,0.992914752451912,1,0.833333333333333
"ENSG00000149273",1.36899046529796e-118,3.04499791521867e-17,5,1,-0.991040696584051,1,1
"ENSG00000017797",2.21491105231428e-08,1.44198646570121e-06,3,1,-0.972562457486842,1,0.666666666666667
"ENSG00000130985",6.11550606077062e-14,1,4,0,-0.963425818988071,1,0.5
"ENSG00000162522",1.64012050457467e-08,1,3,0,0.96269065080191,1,0.5
"ENSG00000170296",6.30038475732062e-43,1,3,0,0.959429683190735,1,0.833333333333333
"ENSG00000144028",9.80453507741204e-12,1,4,0,-0.950570608841238,1,0.5
"ENSG00000126768",1.17334917383616e-21,1,4,0,-0.948599459922082,1,0.5
"ENSG00000111639",1.03774368057522e-79,0.000134623751987442,3,1,0.92808555954125,1,1
"ENSG00000042429",0.000388359093721741,1,3,0,-0.919154367536417,1,0.5
"ENSG00000120915",6.6068585177989e-06,1,3,0,-0.916770308937423,0.833333333333333,0.5
"ENSG00000173947",1.04363533183219e-23,1,4,0,0.91615731008074,1,0.833333333333333
"ENSG00000131375",8.19416742781467e-08,1,4,0,-0.91298207840367,1,0.666666666666667
"ENSG00000101557",0.00049647655459267,1,3,0,0.911879054213535,1,0.5
"ENSG00000159128",3.49832234949257e-24,1,7,0,-0.901960742469645,1,0.666666666666667
"ENSG00000137274",0.000360516020814227,0.00577620209506394,3,1,0.90186407718774,0.833333333333333,0.5
"ENSG00000158373",1.64011993052464e-19,3.3016404820932e-10,5,1,0.898300033146095,1,0.666666666666667
"ENSG00000151632",7.09748623222078e-153,1,4,0,0.897653863024012,1,1
"ENSG00000041988",0.000351461841778358,0.0156464051838249,3,1,0.891360033739675,1,0.666666666666667
"ENSG00000196510",0.000225340460655094,1,4,0,0.886863172751022,1,0.5
"ENSG00000104660",2.67432200257207e-05,0.0040218091508175,3,1,0.881411416162983,1,0.833333333333333
"ENSG00000198830",2.8013584697955e-20,7.49708649734623e-05,6,3,-0.876236654170852,1,1
"ENSG00000167522",0.00114156228493523,1,4,0,0.873587717829607,1,0.5
"ENSG00000128595",0.000115877478938987,1,3,0,0.867780577283832,1,0.666666666666667
"ENSG00000172845",1.9197653122539e-05,1,3,0,0.86768004546482,1,0.666666666666667
"ENSG00000115170",0.00091659612711728,1,4,0,0.866460307549169,0.833333333333333,0.5
"ENSG00000205609",0.00250150996885025,0.0528543708632753,3,0,-0.863426016973528,0.833333333333333,0.666666666666667
"ENSG00000177570",0.00264288517341654,1,3,0,-0.862382275981522,1,0.5
"ENSG00000131508",6.82326796718013e-09,1,4,0,0.862250515525048,1,0.833333333333333
"ENSG00000114850",0.000886575770358488,0.494956909460969,3,0,0.860894867082462,0.833333333333333,0.666666666666667
"ENSG00000115816",0.000981771330525437,0.117312904930485,3,0,0.860634517046054,1,0.666666666666667
"ENSG00000258818",0.00415467411856486,1,3,0,-0.860172409513548,0.666666666666667,0.333333333333333
"ENSG00000198130",5.59100998941571e-13,1,5,0,-0.859897016026549,1,0.666666666666667
"ENSG00000077254",0.00496066706387347,1,3,0,-0.858620659520984,0.833333333333333,0.5
"ENSG00000102030",0.000126744684001151,0.00567984074859614,4,1,-0.857142462572122,1,0.666666666666667
"ENSG00000160113",1.73123624345312e-20,1,4,0,0.855144486410968,1,0.666666666666667
"ENSG00000197728",3.18218728826489e-10,0,2,2,0.849729267302439,1,1
"ENSG00000231566",2.19450983423528e-05,0.250098435863321,4,0,0.847637701627351,1,0.666666666666667
"ENSG00000141562",0.000222206820539229,1,6,0,-0.846268290493155,1,0.5
"ENSG00000011028",0.0117010202971967,1,3,0,0.840995019792061,0.666666666666667,0.333333333333333
"ENSG00000153250",0.00433133890467033,1,4,0,0.8399235494782,1,0.5
"ENSG00000170881",8.93972459306398e-05,1,4,0,-0.838947564062354,0.833333333333333,0.5
"ENSG00000151665",4.59855669793239e-15,0.0934337132173043,4,0,0.838922882085908,1,0.833333333333333
"ENSG00000174748",2.05447861818899e-260,1.27448661508998e-21,5,1,-0.829343703201909,1,1
"ENSG00000013374",0.00235805967480596,1,4,0,0.829073292701294,0.833333333333333,0.5
"ENSG00000163714",0.00035218263729651,1,4,0,-0.823054676307836,1,0.5
"ENSG00000023228",0.00472073206542543,1,4,0,-0.818702871731027,0.833333333333333,0.5
"ENSG00000127554",0.00184227732428082,0.0868135345253931,3,0,-0.810365739435773,0.833333333333333,0.666666666666667
"ENSG00000183527",3.18218728826489e-10,1,6,0,0.80899944652912,1,0.5
"ENSG00000196754",3.08171792728349e-261,2.50957465408099e-193,4,1,0.807741517565414,1,1
"ENSG00000114770",0.000310594266006612,1,5,0,0.797221972184186,1,0.666666666666667
"ENSG00000169490",0.00267234322184129,1,4,0,-0.794080782292527,0.833333333333333,0.666666666666667
"ENSG00000165410",0.0154682511207973,1,4,0,0.79404347403418,0.666666666666667,0.333333333333333
"ENSG00000173848",3.07013522864826e-05,5.11296342825529e-05,3,1,0.792100419332751,0.833333333333333,0.666666666666667
"ENSG00000134744",0.00590965154385276,1,4,0,-0.790923359098173,1,0.5
"ENSG00000103342",0.00175716034358208,0.205680922964866,3,0,0.787796880132668,1,0.666666666666667
"ENSG00000204843",0.00165666645398447,1,4,0,-0.776195181804164,1,0.5
"ENSG00000138772",3.24715681938052e-08,0.0616034331436198,3,0,0.772815985005908,1,0.833333333333333
"ENSG00000041357",9.15729195910062e-07,0.00141298608503748,4,1,-0.771063756730475,1,1
"ENSG00000243989",0.00218144570552046,0.0152637916404844,3,1,0.769108144615898,1,0.666666666666667
"ENSG00000119431",3.41013317482715e-08,0.0530063576503081,3,0,0.762321385687975,1,0.833333333333333
"ENSG00000113916",0.0158079879469836,0.0245918296256404,3,1,0.761674007938978,1,0.833333333333333
"ENSG00000179387",0.0148218932119058,0.0229123819510601,3,1,-0.760167684609768,1,0.833333333333333
"ENSG00000184182",0.00528221592946057,0.56575416466743,4,0,-0.759497779017104,1,0.5
"ENSG00000125520",2.82024800161369e-05,1,4,0,-0.759003344237103,1,0.833333333333333
"ENSG00000104067",0.024252765621033,0.471466548214242,3,0,0.755602406897908,0.666666666666667,0.5
