"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000197728"	"ENSG00000197728"	3.18218728826489e-10	0	2	2	0.849729267302439	1	1
"ENSG00000142327"	"ENSG00000142327"	0.0113751339248713	0	2	2	-0.746174870983157	0.666666666666667	0.5
"ENSG00000164985"	"ENSG00000164985"	0.00118507161449767	0	2	2	0.729088900760114	1	0.833333333333333
"ENSG00000174021"	"ENSG00000174021"	1.09217288077881e-67	0	2	2	-0.644070291834466	1	1
"ENSG00000119922"	"ENSG00000119922"	1.04593117892777e-12	0	2	2	-0.606996428979518	1	1
"ENSG00000168259"	"ENSG00000168259"	2.51334811247613e-07	0	2	2	0.568204003786838	1	1
"ENSG00000168077"	"ENSG00000168077"	0.0192406658760926	0	2	2	-0.530141718573463	1	1
"ENSG00000108468"	"ENSG00000108468"	0.0244587206996614	0	2	2	0.524551652448033	0.833333333333333	0.833333333333333
"ENSG00000156508"	"ENSG00000156508"	1.64571264304859e-213	0	2	2	-0.347225766642564	1	1
"ENSG00000124802"	"ENSG00000124802"	0.0323788622558016	0	2	2	0.34010153698518	1	1
"ENSG00000141232"	"ENSG00000141232"	0.000209188074928689	0	2	2	0.3207075558152	1	1
"ENSG00000119917"	"ENSG00000119917"	0.0480874765473478	0	2	2	0.315492048142093	1	1
"ENSG00000134339"	"ENSG00000134339"	0.00773015342701928	0	2	2	-0.301426976999104	1	1
"ENSG00000132341"	"ENSG00000132341"	5.97933243705613e-17	0	2	2	0.251306285222395	1	1
"ENSG00000184924"	"ENSG00000184924"	0.00262927183032901	0	2	2	-0.238509063161556	1	1
"ENSG00000178741"	"ENSG00000178741"	2.51024320567116e-05	0	2	2	-0.233876880490099	1	1
"ENSG00000146701"	"ENSG00000146701"	0.000538015283235311	0	2	2	0.210748656914191	1	1
"ENSG00000173113"	"ENSG00000173113"	0.00332353395723647	0	2	2	-0.194880160369315	1	1
"ENSG00000175768"	"ENSG00000175768"	0.0325358255434693	0	2	2	-0.168241648419617	1	1
"ENSG00000177156"	"ENSG00000177156"	0.0358473094783165	0	2	2	0.146604951993989	1	1
"ENSG00000117984"	"ENSG00000117984"	0.00677376537890845	0	2	2	-0.138278288678583	1	1
"ENSG00000167644"	"ENSG00000167644"	0.0211737417367829	0	2	2	-0.103400716774665	1	1
"ENSG00000144713"	"ENSG00000144713"	1.05036693782216e-16	0	2	2	0.0952137220476871	1	1
"ENSG00000172725"	"ENSG00000172725"	0.0476936013848255	0	2	2	-0.0921224242066738	1	1
"ENSG00000140319"	"ENSG00000140319"	0.0191740896896015	0	2	2	0.0865557310687649	1	1
"ENSG00000186081"	"ENSG00000186081"	0.00614461278979566	0	2	2	0.0715153002216757	1	1
"ENSG00000178952"	"ENSG00000178952"	0.00415467411856486	0	2	2	-0.0643056068644564	1	1
"ENSG00000165272"	"ENSG00000165272"	0.000442057667342098	0	2	2	0.047688626205817	1	1
"ENSG00000131981"	"ENSG00000131981"	0.00378366451950519	0	2	2	0.0451488885151613	1	1
"ENSG00000111640"	"ENSG00000111640"	0.0458652257949268	0	2	2	0.0402732129580621	1	1
"ENSG00000184009"	"ENSG00000184009"	0.00114156228493523	0	2	2	-0.0399500189544071	1	1
"ENSG00000110700"	"ENSG00000110700"	0.0484692884021757	0	2	2	0.0201518263369114	1	1
"ENSG00000196754"	"ENSG00000196754"	3.08171792728349e-261	2.50957465408099e-193	4	1	0.807741517565414	1	1
"ENSG00000089356"	"ENSG00000089356"	1.01027670775459e-80	1.30461877656461e-79	4	2	0.533125377278453	1	1
"ENSG00000241468"	"ENSG00000241468"	6.01338951676328e-60	2.46886743781245e-48	3	1	0.650357399715267	1	1
"ENSG00000122026"	"ENSG00000122026"	4.04587362329543e-121	4.51054594099246e-48	3	1	0.368589665382952	1	1
"ENSG00000167996"	"ENSG00000167996"	2.17757971086258e-37	4.88106749709617e-40	3	2	0.315313586000195	1	1
"ENSG00000114942"	"ENSG00000114942"	2.43657966783046e-36	1.02754851045391e-23	3	1	0.194306342060292	1	1
"ENSG00000173812"	"ENSG00000173812"	1.35688732045143e-25	1.35195431044746e-22	4	2	-0.358536296903115	1	1
"ENSG00000174748"	"ENSG00000174748"	2.05447861818899e-260	1.27448661508998e-21	5	1	-0.829343703201909	1	1
"ENSG00000067225"	"ENSG00000067225"	2.45405457269865e-43	4.74763952086797e-20	4	1	-0.408591353403155	1	1
"ENSG00000168003"	"ENSG00000168003"	2.22678421000167e-27	3.51942529182526e-18	5	1	0.612409898489892	1	1
"ENSG00000196683"	"ENSG00000196683"	1.42317329388458e-167	2.2577587128967e-17	3	1	0.992914752451912	1	0.833333333333333
"ENSG00000149273"	"ENSG00000149273"	1.36899046529796e-118	3.04499791521867e-17	5	1	-0.991040696584051	1	1
"ENSG00000100129"	"ENSG00000100129"	2.37492302115569e-14	2.12886420376473e-15	3	2	0.568408139343522	1	1
"ENSG00000101608"	"ENSG00000101608"	1.59590967990355e-35	5.96864122894569e-15	6	2	-0.695054945054945	1	1
"ENSG00000160180"	"ENSG00000160180"	3.70445001893594e-20	4.50647568958093e-14	3	1	0.506126840618948	1	1
"ENSG00000189403"	"ENSG00000189403"	9.67720122639979e-51	1.13601155270415e-13	6	1	0.471183261139292	1	1
"ENSG00000157601"	"ENSG00000157601"	6.87067383294079e-15	1.76925525004023e-13	4	1	0.495593331115663	1	1
"ENSG00000165949"	"ENSG00000165949"	8.11726193375664e-14	2.5563057600806e-13	3	1	-0.177764814099914	1	1
"ENSG00000163931"	"ENSG00000163931"	1.72182763419134e-14	1.73461740697511e-11	3	2	-0.274353125461916	1	1
"ENSG00000158373"	"ENSG00000158373"	1.64011993052464e-19	3.3016404820932e-10	5	1	0.898300033146095	1	0.666666666666667
"ENSG00000166803"	"ENSG00000166803"	3.2627737943647e-12	2.80419608876753e-09	4	1	-0.674069425883113	1	1
"ENSG00000185567"	"ENSG00000185567"	3.66970849693427e-10	6.73020569250377e-09	5	1	0.731979437826484	1	0.833333333333333
"ENSG00000159377"	"ENSG00000159377"	5.58812607197269e-16	1.19900122189407e-08	3	1	-0.452338775258822	1	1
"ENSG00000120256"	"ENSG00000120256"	3.51502602666472e-11	1.65376322960815e-08	3	1	0.694980747320896	1	1
"ENSG00000143198"	"ENSG00000143198"	9.89198466350454e-19	2.48890099383701e-08	4	1	-0.408046347449108	1	1
"ENSG00000093010"	"ENSG00000093010"	6.20708923639375e-11	1.88246990461744e-07	6	1	0.749999886427779	1	1
"ENSG00000164733"	"ENSG00000164733"	2.18980279594441e-19	2.22254126114273e-07	6	1	-0.633466136732686	1	1
"ENSG00000258289"	"ENSG00000258289"	7.14349041151597e-06	3.46479692179225e-07	3	2	-0.689958220187609	1	1
"ENSG00000110958"	"ENSG00000110958"	5.65337475829076e-12	5.78383406425999e-07	3	1	-0.414556910241144	1	1
"ENSG00000042753"	"ENSG00000042753"	6.42413743367261e-06	9.88025706331721e-07	5	1	-0.355983560449033	1	1
"ENSG00000197446"	"ENSG00000197446"	4.99831016328106e-10	1.02790928554192e-06	10	1	-0.308883223898192	1	1
"ENSG00000017797"	"ENSG00000017797"	2.21491105231428e-08	1.44198646570121e-06	3	1	-0.972562457486842	1	0.666666666666667
"ENSG00000144381"	"ENSG00000144381"	3.75404643503137e-08	2.57959104607327e-06	3	1	-0.34028294127243	1	1
"ENSG00000013275"	"ENSG00000013275"	5.96381632821258e-05	3.114852213976e-06	3	2	-0.318771090113766	1	1
"ENSG00000167136"	"ENSG00000167136"	2.47412156721962e-06	3.85463229390457e-06	3	1	0.454865081915118	1	1
"ENSG00000177879"	"ENSG00000177879"	1.47114628580789e-07	4.71800115879612e-06	3	1	-0.544909398902518	1	1
"ENSG00000079462"	"ENSG00000079462"	6.1290068347636e-13	1.31340505043838e-05	5	1	-0.640112431173069	1	1
"ENSG00000078668"	"ENSG00000078668"	1.21490152754661e-08	3.6715936049766e-05	3	1	-0.481283596019986	1	1
"ENSG00000175354"	"ENSG00000175354"	0.00126904402281159	4.07683338481953e-05	8	1	0.540108556704343	1	1
"ENSG00000155438"	"ENSG00000155438"	7.95032563860645e-07	4.40893852597123e-05	3	1	-0.522648986597361	1	1
"ENSG00000173848"	"ENSG00000173848"	3.07013522864826e-05	5.11296342825529e-05	3	1	0.792100419332751	0.833333333333333	0.666666666666667
"ENSG00000163466"	"ENSG00000163466"	1.31907928235457e-17	6.00001270826598e-05	6	1	-0.17671556507454	1	1
"ENSG00000198830"	"ENSG00000198830"	2.8013584697955e-20	7.49708649734623e-05	6	3	-0.876236654170852	1	1
"ENSG00000111639"	"ENSG00000111639"	1.03774368057522e-79	0.000134623751987442	3	1	0.92808555954125	1	1
"ENSG00000124795"	"ENSG00000124795"	9.9669839554974e-06	0.00017003353394666	4	1	-0.583508194501125	1	1
"ENSG00000113712"	"ENSG00000113712"	5.34355606131e-30	0.000174868795907741	12	1	0.38292282387036	1	1
"ENSG00000127022"	"ENSG00000127022"	2.03437380209466e-06	0.000185824469248928	5	1	-0.528246955005135	1	1
"ENSG00000068079"	"ENSG00000068079"	0.00213396895812783	0.000222092341931684	3	1	0.341330331016211	1	1
"ENSG00000169228"	"ENSG00000169228"	1.03507998671014e-06	0.000234371436692475	5	1	0.550731081097251	1	0.833333333333333
"ENSG00000185650"	"ENSG00000185650"	2.43351707554682e-08	0.000252247575172674	4	1	0.585282684551562	1	1
"ENSG00000168439"	"ENSG00000168439"	9.30370409962772e-05	0.000307610242380347	4	1	-0.307553866283734	1	1
"ENSG00000109861"	"ENSG00000109861"	2.09796855853666e-07	0.000318117652288844	4	1	0.236175075473173	1	1
"ENSG00000154080"	"ENSG00000154080"	0.00197432876087254	0.000366655059451917	3	1	-0.415632149582273	1	1
"ENSG00000272398"	"ENSG00000272398"	7.08690107703605e-05	0.000452779715517752	5	1	0.236350490107389	1	1
"ENSG00000243955"	"ENSG00000243955"	2.916902196576e-11	0.000461709767582562	3	1	-0.348679327631922	1	1
"ENSG00000204385"	"ENSG00000204385"	0.00506764533296491	0.000518653610981085	4	2	0.4227754408484	1	1
"ENSG00000143398"	"ENSG00000143398"	0.0013027296817337	0.000672804431540246	5	1	-0.625287204028142	0.833333333333333	0.833333333333333
"ENSG00000260916"	"ENSG00000260916"	0.000508650174811422	0.000680786270052758	4	1	-0.551433977131498	1	1
"ENSG00000122644"	"ENSG00000122644"	0.00155552593583467	0.000740228221757219	5	1	-0.370862467119644	1	1
"ENSG00000135968"	"ENSG00000135968"	5.16891775160447e-08	0.000802408901181448	7	1	-0.533684875947777	1	0.666666666666667
"ENSG00000110921"	"ENSG00000110921"	0.00511870779338927	0.000995098899790124	4	2	-0.53036177802064	1	1
"ENSG00000130826"	"ENSG00000130826"	5.67839532161319e-06	0.00101503770512256	3	1	-0.560698546069557	1	1
"ENSG00000089127"	"ENSG00000089127"	3.69353612361723e-06	0.00104482630186835	6	2	0.300314230550817	1	1
"ENSG00000160789"	"ENSG00000160789"	1.58085966561179e-08	0.00124963115798345	4	1	-0.299479997022187	1	1
"ENSG00000070756"	"ENSG00000070756"	2.88290421031076e-28	0.00134990434395742	4	1	-0.540981492441322	1	1
"ENSG00000041357"	"ENSG00000041357"	9.15729195910062e-07	0.00141298608503748	4	1	-0.771063756730475	1	1
"ENSG00000122545"	"ENSG00000122545"	1.72045303772584e-19	0.00160737786936999	5	1	0.332903425677103	1	1
"ENSG00000165698"	"ENSG00000165698"	0.00826210765494971	0.00199762722357054	3	1	0.680108992552822	0.833333333333333	0.833333333333333
"ENSG00000171314"	"ENSG00000171314"	5.53317178055624e-20	0.0020531600027075	4	1	-0.248803836317885	1	1
"ENSG00000143633"	"ENSG00000143633"	0.00256543274070204	0.00205332861355015	3	1	-0.642747824509934	1	0.833333333333333
"ENSG00000177030"	"ENSG00000177030"	1.29670968911363e-05	0.00218850898920621	7	1	-0.605315827721317	1	0.833333333333333
"ENSG00000163634"	"ENSG00000163634"	2.55937903574298e-06	0.00220041160519733	3	1	-0.65756003056439	1	1
"ENSG00000166479"	"ENSG00000166479"	0.00234722001690248	0.00250868136141712	3	1	0.65329516069529	1	1
"ENSG00000186591"	"ENSG00000186591"	0.00214353863958562	0.00251855329222379	3	1	0.687894225688157	0.833333333333333	0.666666666666667
"ENSG00000129625"	"ENSG00000129625"	6.89230747854332e-09	0.00254101236423644	3	1	-0.25049571121594	1	1
"ENSG00000113648"	"ENSG00000113648"	0.00264863158881349	0.00265081737709941	7	1	0.182363719521168	1	1
"ENSG00000101361"	"ENSG00000101361"	0.0167693542430328	0.00290202206616393	3	1	0.371439286300191	1	1
"ENSG00000173786"	"ENSG00000173786"	0.000135051415296938	0.00308401221484336	4	1	-0.576066122842072	1	1
"ENSG00000184432"	"ENSG00000184432"	7.27657236815284e-08	0.00312676005292115	4	1	-0.702874250709971	1	0.833333333333333
"ENSG00000169567"	"ENSG00000169567"	8.27129101054754e-07	0.00319221525284915	5	1	0.552961416636713	1	0.833333333333333
"ENSG00000074696"	"ENSG00000074696"	0.0038541810927511	0.00345885198179472	3	1	-0.404810467930519	1	1
"ENSG00000138777"	"ENSG00000138777"	0.00109997935449998	0.00395820024806794	4	1	-0.437875752616648	1	1
"ENSG00000104660"	"ENSG00000104660"	2.67432200257207e-05	0.0040218091508175	3	1	0.881411416162983	1	0.833333333333333
"ENSG00000116478"	"ENSG00000116478"	0.00010032972414925	0.00412994423857054	3	1	-0.252280981996966	1	1
"ENSG00000067064"	"ENSG00000067064"	0.00112446349534956	0.00451812262383347	5	1	-0.45652060145338	1	1
"ENSG00000074071"	"ENSG00000074071"	0.0027957545453205	0.00467658505231061	3	1	0.176735154869215	1	1
"ENSG00000183172"	"ENSG00000183172"	0.00242518358442887	0.00492830120964257	3	1	-0.653254890404159	1	1
"ENSG00000172239"	"ENSG00000172239"	0.000369622680188818	0.00537133392736666	6	1	0.278570792013863	1	1
"ENSG00000105835"	"ENSG00000105835"	0.018868119295248	0.00552457749023836	4	1	0.465461045391181	0.833333333333333	0.666666666666667
"ENSG00000102030"	"ENSG00000102030"	0.000126744684001151	0.00567984074859614	4	1	-0.857142462572122	1	0.666666666666667
