"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000149273",3.70518787547384e-26,0.00374672506387628,7,2,-0.989445664618881,1,1
"ENSG00000196683",4.94654934426664e-41,1,3,0,0.988347935340959,1,0.75
"ENSG00000156467",7.70436615754037e-18,1,3,0,-0.972924475531093,1,0.5
"ENSG00000173947",5.63614469254827e-11,1,4,0,-0.934780802531851,1,0.75
"ENSG00000166200",0.0110165335797221,1,3,0,0.873740928594084,1,0.5
"ENSG00000174748",7.26133723155038e-82,5.09612289618565e-06,6,2,-0.871669658617493,1,1
"ENSG00000151632",1.79446141923997e-47,1,5,0,0.850467302559393,1,1
"ENSG00000187118",0.00065598017898705,1,4,0,-0.823884927843487,1,0.5
"ENSG00000067167",6.72123357050496e-06,1,5,0,-0.816731155654568,1,0.75
"ENSG00000140905",4.88780838955662e-06,0.961371767611664,4,0,0.808634023701816,1,0.75
"ENSG00000196754",1.83423116553099e-65,1.12064710020456e-31,4,1,0.792077100654058,1,1
"ENSG00000143977",1.47994364692333e-09,4.78695070140946e-09,3,1,0.791725171213834,1,1
"ENSG00000093010",0.000455958192804532,0.0763969970227198,6,0,0.787232596564681,1,1
"ENSG00000128951",0.0412864073340928,0.0148506863159572,4,1,0.784184848475968,1,0.75
"ENSG00000198830",0.0300854142625862,1,7,0,-0.755571866602225,1,0.75
"ENSG00000151665",9.36291691046313e-06,1,7,0,0.725349991538369,1,0.75
"ENSG00000101608",2.59401853515695e-10,9.56385496057105e-06,6,1,-0.696202804723052,1,1
"ENSG00000150779",0.00245435400220107,0.621058130565756,4,0,-0.69539493193114,1,1
"ENSG00000160113",1.25703659691641e-06,1,4,0,0.689678345716579,1,0.75
"ENSG00000073578",5.03907264271383e-07,1,7,0,0.680274583876778,1,0.75
"ENSG00000174021",6.29630080426572e-29,0,2,2,-0.667203371892989,1,1
"ENSG00000070010",0.000126236304453318,0.000198865986392181,4,2,-0.651999878067486,1,1
"ENSG00000241468",4.59736803068752e-13,4.76940409029945e-10,3,1,0.630655465047249,1,1
"ENSG00000111276",0.0438223838665365,0.696612535180311,3,0,0.624261279293097,1,1
"ENSG00000169567",0.0122821629007035,0.114867695011069,6,0,-0.623528284185209,1,1
"ENSG00000119922",0.00148544015037782,0,2,2,0.613803533143962,1,1
"ENSG00000266412",0.00312779606500129,1,9,0,-0.595379972560482,1,1
"ENSG00000173598",3.15936158639687e-05,1,5,0,-0.589817391109711,1,0.75
"ENSG00000070756",3.81381435551527e-07,0.636251482285917,5,0,-0.589466818482936,1,1
"ENSG00000130826",0.0116260407355401,0.0546674609311856,3,0,0.580077044504792,1,1
"ENSG00000079462",3.67137716079078e-06,0.000719101867678916,6,1,0.574073268463767,1,1
"ENSG00000165637",1.56359539232979e-11,6.51348659617005e-07,3,1,-0.569543889523015,1,1
