"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_UK_72hpi_child_Infected-Secretory_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000224616"	"ENSG00000224616"	0.000904210583829093	0	2	2	-0.673226781519468	1	1
"ENSG00000174021"	"ENSG00000174021"	4.08106148529329e-244	0	2	2	-0.66712883765975	1	1
"ENSG00000131203"	"ENSG00000131203"	1.45343840307546e-17	0	2	2	-0.639036246750528	1	1
"ENSG00000119922"	"ENSG00000119922"	1.57162315556219e-23	0	2	2	-0.602935045413913	1	1
"ENSG00000168259"	"ENSG00000168259"	9.95165241878423e-20	0	2	2	0.596003729568181	1	1
"ENSG00000137269"	"ENSG00000137269"	0.00596532927038631	0	2	2	0.593396605642677	1	0.833333333333333
"ENSG00000168077"	"ENSG00000168077"	1.73395274440786e-05	0	2	2	-0.589654845266622	1	1
"ENSG00000154370"	"ENSG00000154370"	0.00247628936788454	0	2	2	0.572740570763628	1	1
"ENSG00000130024"	"ENSG00000130024"	0.00100952015420886	0	2	2	0.525675133255799	1	1
"ENSG00000143164"	"ENSG00000143164"	0.0494234150580029	0	2	2	-0.515329149787557	1	1
"ENSG00000142327"	"ENSG00000142327"	0.0351768034222997	0	2	2	-0.423564211536453	1	1
"ENSG00000169372"	"ENSG00000169372"	0.0208319165487915	0	2	2	0.413581996095839	1	1
"ENSG00000120699"	"ENSG00000120699"	0.0195337862427087	0	2	2	0.412780965472109	1	1
"ENSG00000108468"	"ENSG00000108468"	0.00429518257487668	0	2	2	0.412236861462124	1	1
"ENSG00000178741"	"ENSG00000178741"	1.71995969527777e-44	0	2	2	0.394032768500691	1	1
"ENSG00000102554"	"ENSG00000102554"	0.000639623975048253	0	2	2	0.364559859832017	1	1
"ENSG00000156508"	"ENSG00000156508"	5.20198522889651e-315	0	2	2	-0.339896733860216	1	1
"ENSG00000013275"	"ENSG00000013275"	3.5968697974315e-13	0	2	2	0.311108867967083	1	1
"ENSG00000141232"	"ENSG00000141232"	1.79016901445029e-10	0	2	2	0.306673260713358	1	1
"ENSG00000055211"	"ENSG00000055211"	0.00511631752594692	0	2	2	-0.295957875756902	1	1
"ENSG00000134258"	"ENSG00000134258"	0.0226421981034633	0	2	2	-0.294088028143874	1	1
"ENSG00000158623"	"ENSG00000158623"	0.0278185851071661	0	2	2	0.288271288892488	1	1
"ENSG00000164163"	"ENSG00000164163"	0.00293245550369604	0	2	2	0.286003921215303	1	1
"ENSG00000170540"	"ENSG00000170540"	2.94782971561048e-05	0	2	2	-0.284729369940543	1	1
"ENSG00000130592"	"ENSG00000130592"	0.015040547464471	0	2	2	0.263560810474406	1	1
"ENSG00000085117"	"ENSG00000085117"	1.18642504689476e-05	0	2	2	0.229708300158163	1	1
"ENSG00000140395"	"ENSG00000140395"	0.000283844833618531	0	2	2	0.223904681712101	1	1
"ENSG00000143149"	"ENSG00000143149"	0.0349949104787355	0	2	2	0.217145014031535	1	1
"ENSG00000117984"	"ENSG00000117984"	2.83175301721934e-18	0	2	2	0.216387445337876	1	1
"ENSG00000132341"	"ENSG00000132341"	3.49445845303737e-36	0	2	2	0.206413377051695	1	1
"ENSG00000146701"	"ENSG00000146701"	1.77192162010239e-05	0	2	2	0.173776256259987	1	1
"ENSG00000130204"	"ENSG00000130204"	0.00578881439661909	0	2	2	-0.172808847626619	1	1
"ENSG00000173992"	"ENSG00000173992"	0.000147598642498268	0	2	2	-0.167169627766983	1	1
"ENSG00000198668"	"ENSG00000198668"	0.00234498606175921	0	2	2	-0.156083730645173	1	1
"ENSG00000136371"	"ENSG00000136371"	0.0311238118420032	0	2	2	0.155584047133404	1	1
"ENSG00000131871"	"ENSG00000131871"	6.65659973572919e-05	0	2	2	-0.151524156807748	1	1
"ENSG00000184924"	"ENSG00000184924"	0.000472936828183427	0	2	2	-0.149810770507536	1	1
"ENSG00000174780"	"ENSG00000174780"	0.0351950666692434	0	2	2	0.149569266909971	1	1
"ENSG00000213523"	"ENSG00000213523"	0.0459831283948854	0	2	2	0.142884150904736	1	1
"ENSG00000159713"	"ENSG00000159713"	2.39874105133394e-06	0	2	2	-0.128356444115814	1	1
"ENSG00000113387"	"ENSG00000113387"	0.00243710733425375	0	2	2	-0.125086530943596	1	1
"ENSG00000173113"	"ENSG00000173113"	0.000463165957687049	0	2	2	-0.114870507058674	1	1
"ENSG00000144713"	"ENSG00000144713"	7.04772102255178e-21	0	2	2	0.0917388605378658	1	1
"ENSG00000168291"	"ENSG00000168291"	0.00843138166368768	0	2	2	0.0887666438109797	1	1
"ENSG00000140319"	"ENSG00000140319"	2.96406573979561e-05	0	2	2	-0.0815903328503335	1	1
"ENSG00000102172"	"ENSG00000102172"	0.0347408766124714	0	2	2	0.080704593374043	1	1
"ENSG00000137331"	"ENSG00000137331"	0.000651424147870883	0	2	2	0.0712338146932026	1	1
"ENSG00000120129"	"ENSG00000120129"	1.62491129896687e-14	0	2	2	0.069717210434696	1	1
"ENSG00000204592"	"ENSG00000204592"	0.0427021935595409	0	2	2	-0.0686817807770762	1	1
"ENSG00000206075"	"ENSG00000206075"	8.36549170323655e-05	0	2	2	-0.0673115087361431	1	1
"ENSG00000177156"	"ENSG00000177156"	0.0434594781881002	0	2	2	-0.0628943995610751	1	1
"ENSG00000219200"	"ENSG00000219200"	0.0158326666820279	0	2	2	0.0608911053074368	1	1
"ENSG00000167644"	"ENSG00000167644"	0.0111896030729744	0	2	2	-0.0596690372180966	1	1
"ENSG00000159199"	"ENSG00000159199"	0.0286453936751111	0	2	2	-0.0554129672873541	1	1
"ENSG00000165272"	"ENSG00000165272"	5.64413796320814e-12	0	2	2	0.0468513883551921	1	1
"ENSG00000089157"	"ENSG00000089157"	2.45344901577122e-06	0	2	2	-0.0378938426177109	1	1
"ENSG00000118181"	"ENSG00000118181"	0.00502062910745914	0	2	2	-0.0361431766765946	1	1
"ENSG00000241343"	"ENSG00000241343"	0.0173299293641305	0	2	2	0.0273559418644667	1	1
"ENSG00000125968"	"ENSG00000125968"	0.0286153564815308	0	2	2	0.0261615731334294	1	1
"ENSG00000171345"	"ENSG00000171345"	2.20769902054877e-26	0	2	2	-0.0245693862809752	1	1
"ENSG00000142676"	"ENSG00000142676"	8.57756991216863e-05	0	2	2	-0.0237258346015221	1	1
"ENSG00000131981"	"ENSG00000131981"	0.00072962808782587	0	2	2	0.0235768642218867	1	1
"ENSG00000265681"	"ENSG00000265681"	0.0338971989031751	0	2	2	0.0209991021105937	1	1
"ENSG00000196754"	"ENSG00000196754"	5.20198522889651e-315	5.74429639644609e-247	4	1	0.800412653484884	1	1
"ENSG00000167996"	"ENSG00000167996"	3.8378226739161e-197	6.16851685843134e-201	4	2	0.415265077504193	1	1
"ENSG00000122026"	"ENSG00000122026"	5.20198522889651e-315	1.86466788616924e-193	3	1	0.379093741923931	1	1
"ENSG00000089356"	"ENSG00000089356"	5.54368426282571e-182	5.09212319025808e-173	3	2	-0.501238629054138	1	1
"ENSG00000130429"	"ENSG00000130429"	2.69686227876799e-118	5.115850112955e-99	4	1	0.446315050073531	1	1
"ENSG00000149273"	"ENSG00000149273"	1.2282498665148e-312	8.88229889329013e-79	5	1	-0.991649033484296	1	1
"ENSG00000241468"	"ENSG00000241468"	6.74194996999404e-135	2.48385270768186e-77	3	1	0.509482587134095	1	1
"ENSG00000168003"	"ENSG00000168003"	2.23208150283304e-97	8.24308013681864e-69	5	1	-0.599350041671962	1	1
"ENSG00000173812"	"ENSG00000173812"	6.81163983834905e-82	1.90681051179677e-65	4	1	-0.301164266667912	1	1
"ENSG00000143977"	"ENSG00000143977"	2.22344894320892e-113	5.32537831927177e-64	4	1	0.780775077679951	1	1
"ENSG00000163931"	"ENSG00000163931"	2.33807501888792e-61	1.9605349728941e-46	3	2	-0.331425300260648	1	1
"ENSG00000157601"	"ENSG00000157601"	1.22206702894189e-104	2.00996855948462e-39	7	1	0.485922843208119	1	1
"ENSG00000189403"	"ENSG00000189403"	4.69694017181721e-171	1.10150330292218e-38	5	1	0.474610127624988	1	1
"ENSG00000067225"	"ENSG00000067225"	1.16233266459843e-82	1.303104162016e-36	4	1	0.390777098885774	1	1
"ENSG00000174748"	"ENSG00000174748"	5.20198522889651e-315	2.18375057760574e-36	5	1	-0.828460969461177	1	1
"ENSG00000165949"	"ENSG00000165949"	4.14184605911383e-35	3.47051397376558e-35	3	1	-0.215944407374623	1	1
"ENSG00000143198"	"ENSG00000143198"	2.26967882690356e-94	3.88831927495693e-35	4	1	-0.418950431922219	1	1
"ENSG00000158373"	"ENSG00000158373"	6.91430974376421e-64	5.56886233770938e-34	5	1	0.921775501393621	1	1
"ENSG00000129235"	"ENSG00000129235"	5.97786910573595e-47	9.20727422698039e-33	3	1	-0.777686285120966	1	1
"ENSG00000120256"	"ENSG00000120256"	4.21009370035961e-35	1.96510937702542e-32	3	2	-0.792917622896967	1	1
"ENSG00000197728"	"ENSG00000197728"	3.43368097295371e-30	3.08656010788829e-32	3	2	-0.774678541912184	1	1
"ENSG00000185825"	"ENSG00000185825"	9.96240734091513e-44	1.63029187048013e-31	3	1	0.430937301167149	1	1
"ENSG00000108848"	"ENSG00000108848"	1.8220724729661e-28	6.58983880287398e-28	3	1	-0.637704592873643	1	1
"ENSG00000159377"	"ENSG00000159377"	2.50294866328646e-65	3.70024964737244e-26	3	1	0.492860260588706	1	1
"ENSG00000150753"	"ENSG00000150753"	1.34496864119442e-47	8.53091647075544e-25	3	1	0.477532373320626	1	1
"ENSG00000150779"	"ENSG00000150779"	1.22999844458617e-20	7.75996199904105e-23	4	2	-0.582246444086042	1	1
"ENSG00000144381"	"ENSG00000144381"	9.27777396990375e-25	5.92414338011297e-22	3	1	0.453431277804486	1	1
"ENSG00000173848"	"ENSG00000173848"	5.56935554837384e-25	1.09404105716855e-20	3	1	-0.707133591900239	1	1
"ENSG00000101608"	"ENSG00000101608"	1.71759274962501e-81	2.65104289074505e-20	6	2	-0.652549025612476	1	1
"ENSG00000122644"	"ENSG00000122644"	1.47461493618499e-19	1.91493369963413e-19	5	2	-0.497953146961977	1	1
"ENSG00000108244"	"ENSG00000108244"	1.63584944738316e-25	4.25749145388601e-19	4	2	0.264410029939591	1	1
"ENSG00000113648"	"ENSG00000113648"	2.17836250095503e-19	1.31935176946997e-18	7	1	0.255879817184086	1	1
"ENSG00000079462"	"ENSG00000079462"	1.58062481217993e-34	1.64569798227195e-18	6	1	-0.58884113114988	1	1
"ENSG00000110958"	"ENSG00000110958"	1.400008487604e-35	1.9327677141728e-18	5	1	0.352267458559593	1	1
"ENSG00000089127"	"ENSG00000089127"	1.41493724809559e-27	3.95912361756362e-18	7	2	-0.37823418875203	1	1
"ENSG00000166803"	"ENSG00000166803"	5.41351263413711e-22	7.42651259140901e-18	5	1	0.718604330098209	1	1
"ENSG00000067064"	"ENSG00000067064"	6.6349614411613e-21	7.96680797797451e-17	5	1	-0.526701807163548	1	1
"ENSG00000068796"	"ENSG00000068796"	6.63655744889637e-18	9.33389152319731e-17	6	1	-0.874804725796554	1	0.666666666666667
"ENSG00000167136"	"ENSG00000167136"	2.05716108176595e-25	1.00462361401361e-16	3	1	0.450790384453947	1	1
