"Cell_Type"	"Cell_State"	"Cohort"	"Sample"	"Count"	"Sex"	"cluster_id"	"group"	"id"	"full_group"	"n_cells"	"lol"
"1"	"Basal_1"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	17384	"Male"	"Basal"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Basal_UK_72hpi_adult_Infected_Sample1_Sample1"	"Basal_UK_72hpi_adult_Infected"	113	"Basal_Infected"
"2"	"Basal_1"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	14067	"Female"	"Basal"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Basal_UK_72hpi_adult_Infected_Sample2_Sample2"	"Basal_UK_72hpi_adult_Infected"	138	"Basal_Infected"
"3"	"Basal_1"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	12596	"Male"	"Basal"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Basal_UK_72hpi_adult_Infected_Sample3_Sample3"	"Basal_UK_72hpi_adult_Infected"	119	"Basal_Infected"
"5"	"Basal_1"	"Uninfected"	"UK_72hpi_adult"	"Sample2_Sample2"	944	"Female"	"Basal"	"UK_72hpi_adult_Uninfected_Sample2_Sample2"	"Basal_UK_72hpi_adult_Uninfected_Sample2_Sample2"	"Basal_UK_72hpi_adult_Uninfected"	15	"Basal_Uninfected"
"7"	"Basal_1"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	9292	"Female"	"Basal"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Basal_UK_72hpi_child_Infected_Sample4_Sample4"	"Basal_UK_72hpi_child_Infected"	129	"Basal_Infected"
"8"	"Basal_1"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	8596	"Female"	"Basal"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Basal_UK_72hpi_child_Infected_Sample5_Sample5"	"Basal_UK_72hpi_child_Infected"	107	"Basal_Infected"
"9"	"Basal_2"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	14264	"Male"	"Basal"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Basal_UK_72hpi_child_Infected_Sample6_Sample6"	"Basal_UK_72hpi_child_Infected"	153	"Basal_Infected"
"13"	"Basal_1"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	4881	"Male"	"Basal"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Basal_uninfected_adult_Uninfected_Sample1_Sample1"	"Basal_uninfected_adult_Uninfected"	243	"Basal_Uninfected"
"14"	"Basal_1"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	5398	"Female"	"Basal"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Basal_uninfected_adult_Uninfected_Sample2_Sample2"	"Basal_uninfected_adult_Uninfected"	94	"Basal_Uninfected"
"15"	"Basal_1"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	990	"Male"	"Basal"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Basal_uninfected_adult_Uninfected_Sample3_Sample3"	"Basal_uninfected_adult_Uninfected"	160	"Basal_Uninfected"
"16"	"Basal_1"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	5042	"Female"	"Basal"	"uninfected_child_Uninfected_Sample4_Sample4"	"Basal_uninfected_child_Uninfected_Sample4_Sample4"	"Basal_uninfected_child_Uninfected"	53	"Basal_Uninfected"
"17"	"Basal_1"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	69939	"Female"	"Basal"	"uninfected_child_Uninfected_Sample5_Sample5"	"Basal_uninfected_child_Uninfected_Sample5_Sample5"	"Basal_uninfected_child_Uninfected"	50	"Basal_Uninfected"
"18"	"Basal_2"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	3883	"Male"	"Basal"	"uninfected_child_Uninfected_Sample6_Sample6"	"Basal_uninfected_child_Uninfected_Sample6_Sample6"	"Basal_uninfected_child_Uninfected"	67	"Basal_Uninfected"
