"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_Ciliated_UK_72hpi_child_Infected-Secretory_Ciliated_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000174021"	"ENSG00000174021"	8.07304845957134e-27	0	2	2	-0.707210203175505	1	1
"ENSG00000184924"	"ENSG00000184924"	0.00847235178442829	0	2	2	-0.456893935136512	1	1
"ENSG00000156508"	"ENSG00000156508"	5.84092963322209e-113	0	2	2	-0.334135649368279	1	1
"ENSG00000144713"	"ENSG00000144713"	6.30652910840415e-06	0	2	2	0.0783892220802083	1	1
"ENSG00000089157"	"ENSG00000089157"	0.0199758999845044	0	2	2	-0.0511668928131074	1	1
"ENSG00000171345"	"ENSG00000171345"	0.0243143712677505	0	2	2	-0.0297853166820256	1	1
"ENSG00000196754"	"ENSG00000196754"	1.41917917806833e-116	4.14951957467023e-49	6	1	0.782946940336564	1	1
"ENSG00000089356"	"ENSG00000089356"	4.43626774704116e-36	1.62187567527599e-35	4	2	-0.514113339401461	1	1
"ENSG00000167996"	"ENSG00000167996"	2.66350661123834e-28	6.98208753503694e-31	4	2	0.377806037338117	1	1
"ENSG00000122026"	"ENSG00000122026"	2.3859595408889e-47	4.39273631010107e-21	3	1	0.361992062106459	1	1
"ENSG00000143977"	"ENSG00000143977"	3.65196715055374e-19	1.30294565125104e-16	4	1	0.792403748269437	1	1
"ENSG00000241468"	"ENSG00000241468"	4.61967994165189e-17	1.213232501457e-11	4	1	0.526924908633471	1	1
"ENSG00000130429"	"ENSG00000130429"	5.55817886615098e-15	3.4908497305381e-11	5	1	0.398452121595003	1	1
"ENSG00000173812"	"ENSG00000173812"	7.36964836628471e-13	3.03382096891867e-10	5	1	-0.307790059629924	1	1
"ENSG00000174748"	"ENSG00000174748"	2.37470846151992e-101	1.44866011057693e-09	6	1	-0.821483280628531	1	1
"ENSG00000168003"	"ENSG00000168003"	4.7270672953124e-11	1.01594516304133e-08	7	1	-0.560268757464477	1	1
"ENSG00000163931"	"ENSG00000163931"	1.08129843803101e-06	3.40091234003314e-06	3	2	-0.354441478256224	1	1
"ENSG00000132341"	"ENSG00000132341"	0.000236455591720017	1.19399337274653e-05	5	2	0.253681158165751	1	1
"ENSG00000165637"	"ENSG00000165637"	6.13706552724979e-10	2.21289478000231e-05	6	1	-0.475879966052992	1	1
"ENSG00000063660"	"ENSG00000063660"	3.31956957682573e-05	2.56105452230645e-05	4	1	0.756262329521101	1	1
"ENSG00000143198"	"ENSG00000143198"	2.54600801518736e-10	3.56501836140614e-05	4	1	-0.416257607135131	1	1
"ENSG00000042753"	"ENSG00000042753"	0.00137321220460542	0.000205195135704551	6	2	-0.400538757518496	1	1
"ENSG00000165949"	"ENSG00000165949"	0.000428295187878943	0.000280157270339173	4	2	-0.215878085635343	1	1
"ENSG00000132475"	"ENSG00000132475"	0.00453004129340422	0.000501531409758717	4	1	-0.195515903472568	1	1
"ENSG00000178741"	"ENSG00000178741"	0.00917953521055606	0.00129643629806158	3	2	-0.340508606435112	1	1
"ENSG00000113648"	"ENSG00000113648"	0.0123387969030888	0.00205036315786625	7	1	0.30173351665438	1	1
"ENSG00000243955"	"ENSG00000243955"	4.33921043200013e-06	0.00435506104641475	3	1	-0.4081615468813	1	1
"ENSG00000100129"	"ENSG00000100129"	0.00128100160012117	0.00528648367610556	7	1	0.412795123072777	1	1
"ENSG00000163739"	"ENSG00000163739"	0.000592384129471579	0.00618761700966786	5	1	-0.199457146895884	1	1
"ENSG00000127022"	"ENSG00000127022"	0.00861962381347979	0.00973331534910131	5	1	-0.66977527550923	1	0.8
"ENSG00000113732"	"ENSG00000113732"	0.000390756830537259	0.010591167854027	4	1	0.304424664243742	1	1
"ENSG00000157601"	"ENSG00000157601"	0.000297276372401878	0.0163190785530983	11	1	0.545107878685587	1	1
"ENSG00000101608"	"ENSG00000101608"	3.90892127114489e-11	0.0164358392242965	6	2	-0.638699212026927	1	1
"ENSG00000189403"	"ENSG00000189403"	1.11564032843226e-12	0.0191286879535784	8	1	0.327966541839022	1	1
"ENSG00000111639"	"ENSG00000111639"	1.38108330469334e-44	0.0237135142836838	5	1	0.794520552247252	1	1
"ENSG00000104687"	"ENSG00000104687"	0.0240508851764763	0.0278078153122843	3	1	-0.796425170445455	1	0.6
"ENSG00000163166"	"ENSG00000163166"	0.0369085505335714	0.043244134426793	3	1	-0.751652628916398	1	0.8
"ENSG00000164733"	"ENSG00000164733"	8.02672522672013e-06	0.0469435040134046	9	1	-0.472726582834489	1	1
