"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000224616"	"ENSG00000224616"	5.83749637261316e-07	0	2	2	-0.84350395847709	1	0.833333333333333
"ENSG00000203778"	"ENSG00000203778"	8.14560468766537e-05	0	2	2	0.683327642761613	1	1
"ENSG00000131203"	"ENSG00000131203"	3.25044716849759e-27	0	2	2	-0.675774332016378	1	1
"ENSG00000174021"	"ENSG00000174021"	3.69611631251924e-223	0	2	2	-0.638811369128149	1	1
"ENSG00000164114"	"ENSG00000164114"	0.0117450664251666	0	2	2	0.612619228143878	1	0.833333333333333
"ENSG00000108433"	"ENSG00000108433"	0.0365113688724034	0	2	2	-0.599267299905024	0.833333333333333	0.833333333333333
"ENSG00000119922"	"ENSG00000119922"	1.42524317779989e-24	0	2	2	0.585989554487647	1	1
"ENSG00000142327"	"ENSG00000142327"	0.000968506089941367	0	2	2	0.54998773596824	1	1
"ENSG00000105855"	"ENSG00000105855"	0.00722759290650918	0	2	2	0.507912643031921	1	0.833333333333333
"ENSG00000100263"	"ENSG00000100263"	0.00537138418742505	0	2	2	0.505439934501638	1	1
"ENSG00000108468"	"ENSG00000108468"	8.83496115458446e-05	0	2	2	0.499939325469769	1	1
"ENSG00000102554"	"ENSG00000102554"	1.24223155858224e-05	0	2	2	0.497428346021228	1	1
"ENSG00000197746"	"ENSG00000197746"	0.0020935303022061	0	2	2	-0.464248308076747	1	1
"ENSG00000174574"	"ENSG00000174574"	6.56863022107995e-06	0	2	2	0.462500505143001	1	1
"ENSG00000150756"	"ENSG00000150756"	0.0457088455484987	0	2	2	-0.458244567540312	0.833333333333333	0.833333333333333
"ENSG00000168077"	"ENSG00000168077"	0.0028878947945382	0	2	2	-0.456715066504925	1	1
"ENSG00000109929"	"ENSG00000109929"	0.0401871796652308	0	2	2	-0.448183592640435	1	1
"ENSG00000055211"	"ENSG00000055211"	1.04669459029503e-06	0	2	2	-0.444327916235057	1	1
"ENSG00000165832"	"ENSG00000165832"	0.021667299116224	0	2	2	-0.422733424381441	1	1
"ENSG00000038274"	"ENSG00000038274"	0.0124066500640091	0	2	2	0.420685177913549	1	1
"ENSG00000175215"	"ENSG00000175215"	0.025958103470404	0	2	2	0.377931512573621	1	1
"ENSG00000135052"	"ENSG00000135052"	0.00421700073504302	0	2	2	-0.345095960835549	1	1
"ENSG00000156508"	"ENSG00000156508"	4.40125749726825e-271	0	2	2	-0.344639365769934	1	1
"ENSG00000109321"	"ENSG00000109321"	0.0100166677810593	0	2	2	-0.339852305412172	1	1
"ENSG00000109881"	"ENSG00000109881"	0.00107684824130073	0	2	2	0.336605819963404	1	1
"ENSG00000137161"	"ENSG00000137161"	0.0217142566794301	0	2	2	-0.33656515916277	1	1
"ENSG00000178741"	"ENSG00000178741"	8.43350405231217e-26	0	2	2	-0.334337007133453	1	1
"ENSG00000133101"	"ENSG00000133101"	0.0336769662257544	0	2	2	0.327330361343274	1	1
"ENSG00000141232"	"ENSG00000141232"	4.36992322740878e-11	0	2	2	0.323894196864267	1	1
"ENSG00000107262"	"ENSG00000107262"	0.0122985327536686	0	2	2	0.323480175435879	1	1
"ENSG00000177054"	"ENSG00000177054"	0.0309178973543393	0	2	2	-0.306787456450212	1	1
"ENSG00000013275"	"ENSG00000013275"	1.43579561685747e-12	0	2	2	0.283157418291845	1	1
"ENSG00000231312"	"ENSG00000231312"	0.0377076108282292	0	2	2	-0.275434848581842	1	0.833333333333333
"ENSG00000170540"	"ENSG00000170540"	2.78889653005945e-06	0	2	2	-0.274962077562081	1	1
"ENSG00000176946"	"ENSG00000176946"	0.0384622434704755	0	2	2	0.27471257358511	1	1
"ENSG00000139644"	"ENSG00000139644"	3.63302740946358e-05	0	2	2	-0.264560343967758	1	1
"ENSG00000085117"	"ENSG00000085117"	1.63355230839524e-08	0	2	2	-0.244992564980322	1	1
"ENSG00000177459"	"ENSG00000177459"	0.00198958547322931	0	2	2	0.243000597050661	1	1
