"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",8.93632217883184e-257,1,3,0,-0.993585307653395,1,1
"ENSG00000184209",1.44909211446049e-28,1,3,0,0.987493350476231,1,0.5
"ENSG00000196683",2.38707890523871e-226,1,3,0,-0.982678426890224,1,0.833333333333333
"ENSG00000147403",8.93632217883184e-257,4.38931784292838e-113,7,2,0.953761750506502,1,1
"ENSG00000114850",9.88432858529177e-11,0.0227905722977685,3,1,-0.95152284484762,1,0.833333333333333
"ENSG00000116459",1.7552764212753e-18,2.93855631512038e-08,3,1,0.949294441146769,1,1
"ENSG00000061676",1.13286408254269e-09,1,3,0,0.947891676644281,1,0.5
"ENSG00000104408",1.21556748236628e-86,1,3,0,-0.946576053066762,1,0.833333333333333
"ENSG00000152056",8.14651484658936e-07,1,3,0,0.94253535962525,1,0.5
"ENSG00000134744",4.61216907961532e-08,0.759522973852935,4,0,0.94172632952139,1,0.5
"ENSG00000151632",5.95754811922123e-256,1,4,0,-0.941228536257142,1,1
"ENSG00000175581",1.57667338219852e-05,0.348454106206912,3,0,0.940563416605539,0.833333333333333,0.5
"ENSG00000203644",7.62700388110512e-08,1,3,0,0.939336288803745,1,0.5
"ENSG00000108588",1.9947588277358e-39,1,4,0,0.933399017387625,1,0.833333333333333
"ENSG00000017797",1.97293809213672e-19,0.000427623805181538,3,1,0.932471453000697,1,0.833333333333333
"ENSG00000170296",1.49980327123131e-28,1.03023832808976e-05,6,1,0.931634139555292,1,1
"ENSG00000089693",5.26238009372428e-08,0.000786357637157118,3,2,0.929648011176437,1,0.833333333333333
"ENSG00000147010",6.07137736649508e-07,3.4846389961089e-05,3,1,-0.927566554876054,1,0.666666666666667
"ENSG00000130985",1.53931590000452e-41,1,4,0,0.927457491510329,1,1
"ENSG00000211450",4.52033653601199e-186,3.42584062002568e-116,3,1,0.923100509315058,1,1
"ENSG00000167522",9.64946151293209e-08,1,4,0,-0.920482834766851,1,0.666666666666667
"ENSG00000166167",0.00563806037720438,0.430693599545852,3,0,0.91715339759324,0.833333333333333,0.5
"ENSG00000102900",3.66967707919044e-08,1,3,0,0.914446040073391,1,0.5
"ENSG00000258818",3.6780032006847e-07,0.615182530657502,3,0,0.91175180057738,1,0.833333333333333
"ENSG00000106012",4.42909461656475e-08,1,5,0,-0.907065913410152,1,0.5
"ENSG00000245910",5.53307988817942e-33,1.02931176222442e-25,3,1,-0.905882324959268,1,0.833333333333333
"ENSG00000183527",8.94705159326413e-25,1,4,0,0.904750933964041,1,0.833333333333333
"ENSG00000185787",3.49012965595787e-46,1,5,0,0.896875996353833,1,1
"ENSG00000145495",4.82545502531781e-05,0.339022961104189,3,0,-0.89567773659423,1,0.666666666666667
"ENSG00000204386",0.0189852453918342,0.0602407489088204,3,0,-0.894713886277269,1,0.5
"ENSG00000171311",5.13789644672269e-09,5.57924034331152e-07,3,1,-0.891509379858552,1,1
"ENSG00000167393",5.84219339614939e-06,1,3,0,0.883614773465569,0.833333333333333,0.5
"ENSG00000181090",5.80897310033456e-05,0.00207423550244731,3,1,-0.882821614483621,1,0.666666666666667
"ENSG00000204351",0.00924162260651159,0.324558871269284,3,0,0.88216251443487,0.833333333333333,0.5
"ENSG00000205609",3.06286065744048e-24,0.00384571997331944,4,1,0.880017714445981,1,1
"ENSG00000115084",4.43430391416428e-10,1,4,0,-0.879042245376458,1,0.833333333333333
"ENSG00000091542",1.43307085593489e-08,1.37977166415544e-05,3,1,0.874976675727121,1,0.833333333333333
"ENSG00000173947",5.72033865235345e-92,1,4,0,0.874480664297008,1,1
