"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000142327"	"ENSG00000142327"	0.000315223834854172	0	2	2	0.761674396075722	0.833333333333333	0.666666666666667
"ENSG00000110841"	"ENSG00000110841"	3.61757279402228e-05	0	2	2	-0.660114461118177	1	1
"ENSG00000203993"	"ENSG00000203993"	0.0199292407763419	0	2	2	-0.636421019513349	1	0.833333333333333
"ENSG00000158406"	"ENSG00000158406"	0.0324481195492798	0	2	2	-0.55690649021859	1	1
"ENSG00000180881"	"ENSG00000180881"	0.0170713803297555	0	2	2	-0.509729668497626	1	0.833333333333333
"ENSG00000108468"	"ENSG00000108468"	0.000456453672882024	0	2	2	-0.505161023611145	1	1
"ENSG00000113838"	"ENSG00000113838"	0.0454158827069342	0	2	2	0.478261945623327	1	1
"ENSG00000155729"	"ENSG00000155729"	0.0106901492858891	0	2	2	-0.475407397123191	1	1
"ENSG00000143418"	"ENSG00000143418"	0.0333771791399635	0	2	2	0.458561033383662	1	1
"ENSG00000186141"	"ENSG00000186141"	0.00881588257431745	0	2	2	-0.441173424813192	1	1
"ENSG00000162073"	"ENSG00000162073"	0.0247516652080028	0	2	2	0.41083318470689	1	1
"ENSG00000083535"	"ENSG00000083535"	0.0139459715905798	0	2	2	-0.390655798113968	1	1
"ENSG00000178741"	"ENSG00000178741"	1.51167302223419e-31	0	2	2	-0.387296075792696	1	1
"ENSG00000147592"	"ENSG00000147592"	0.000982427219029377	0	2	2	0.35257545262011	1	1
"ENSG00000100304"	"ENSG00000100304"	0.0106281441163822	0	2	2	0.347143854097614	1	1
"ENSG00000141867"	"ENSG00000141867"	0.00494218058152859	0	2	2	-0.345347763303562	1	1
"ENSG00000163931"	"ENSG00000163931"	3.53110114647926e-16	0	2	2	0.324811101460578	1	1
"ENSG00000113811"	"ENSG00000113811"	0.00381969472708291	0	2	2	0.320958388393341	1	1
"ENSG00000013275"	"ENSG00000013275"	2.9248493127839e-10	0	2	2	-0.317949364172183	1	1
"ENSG00000196821"	"ENSG00000196821"	0.00382638926103863	0	2	2	0.316741458607629	1	1
"ENSG00000170293"	"ENSG00000170293"	0.00151454300120722	0	2	2	0.313929544440023	1	1
"ENSG00000073803"	"ENSG00000073803"	0.0112585776733557	0	2	2	0.303101927986767	1	1
"ENSG00000146072"	"ENSG00000146072"	0.0219058575533951	0	2	2	0.298947765401946	1	1
"ENSG00000181481"	"ENSG00000181481"	0.0373106354571126	0	2	2	-0.293936960200598	1	1
"ENSG00000164104"	"ENSG00000164104"	0.0418600389506661	0	2	2	-0.290379285537547	1	1
"ENSG00000184924"	"ENSG00000184924"	1.50722730793044e-07	0	2	2	0.26131739209408	1	1
"ENSG00000034152"	"ENSG00000034152"	0.0198902858209995	0	2	2	0.226661317957202	1	1
"ENSG00000132341"	"ENSG00000132341"	4.84047918627714e-12	0	2	2	-0.192288977660425	1	1
"ENSG00000100906"	"ENSG00000100906"	4.85865873869946e-05	0	2	2	0.185451566310201	1	1
"ENSG00000141101"	"ENSG00000141101"	0.0385417798339361	0	2	2	0.179608722632726	1	1
"ENSG00000138495"	"ENSG00000138495"	0.0120528845317192	0	2	2	0.174904441982574	1	1
"ENSG00000206075"	"ENSG00000206075"	6.12438277873312e-05	0	2	2	0.150471470796579	1	1
"ENSG00000065154"	"ENSG00000065154"	0.02904479370951	0	2	2	-0.139916630467501	1	1
"ENSG00000159335"	"ENSG00000159335"	0.0367713970976199	0	2	2	0.135970660177979	1	1
"ENSG00000144713"	"ENSG00000144713"	9.00351132809979e-36	0	2	2	-0.135295140615247	1	1
"ENSG00000125656"	"ENSG00000125656"	0.0300990437605842	0	2	2	-0.135014491767221	1	1
"ENSG00000085117"	"ENSG00000085117"	0.00372951203056875	0	2	2	-0.131532215072986	1	1
