"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENST00000371582"	1	NA
"2"	"ENSG00000000419"	"ENST00000371588"	1	NA
"3"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	0.592137803242859	NA
"4"	"ENSG00000000971"	"ENST00000367429"	0.592137803242859	NA
"5"	"ENSG00000000971"	"ENST00000496761"	0.592137803242859	NA
"6"	"ENSG00000000971"	"ENST00000630130"	0.592137803242859	NA
"7"	"ENSG00000001084"	"ENSG00000001084_53497341_53505496_1"	5.2921591414666e-10	1
"8"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	5.2921591414666e-10	1
"9"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	5.2921591414666e-10	0.703165696525518
"10"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	5.2921591414666e-10	1
"11"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	5.2921591414666e-10	1
"12"	"ENSG00000001461"	"ENST00000339255"	1	NA
"13"	"ENSG00000001461"	"ENST00000488155"	1	NA
"14"	"ENSG00000001497"	"ENST00000374804"	1	NA
"15"	"ENSG00000001497"	"ENST00000374807"	1	NA
"16"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1	NA
"17"	"ENSG00000001630"	"ENST00000003100"	1	NA
"18"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_7"	0.146115505039299	NA
"19"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	0.146115505039299	NA
"20"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	0.146115505039299	NA
"21"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	0.146115505039299	NA
"22"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_3"	0.146115505039299	NA
"23"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	0.146115505039299	NA
"24"	"ENSG00000001631"	"ENST00000425919"	0.146115505039299	NA
"25"	"ENSG00000001631"	"ENST00000444960"	0.146115505039299	NA
"26"	"ENSG00000001631"	"ENST00000452773"	0.146115505039299	NA
"27"	"ENSG00000002330"	"ENST00000309032"	1	NA
"28"	"ENSG00000002330"	"ENST00000394532"	1	NA
"29"	"ENSG00000002549"	"ENST00000226299"	1	NA
"30"	"ENSG00000002549"	"ENST00000606142"	1	NA
"31"	"ENSG00000002549"	"ENST00000618908"	1	NA
"32"	"ENSG00000002586"	"ENSG00000002586_2691187_2726363_1"	0.239407622667602	NA
"33"	"ENSG00000002586"	"ENST00000381192"	0.239407622667602	NA
"34"	"ENSG00000002586"	"ENST00000611428"	0.239407622667602	NA
"35"	"ENSG00000002586"	"ENST00000624481"	0.239407622667602	NA
"36"	"ENSG00000002822"	"ENSG00000002822_1815795_1928708_1"	1	NA
"37"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	1	NA
"38"	"ENSG00000002822"	"ENST00000399654"	1	NA
"39"	"ENSG00000002822"	"ENST00000406869"	1	NA
"40"	"ENSG00000002834"	"ENSG00000002834_38870061_38916837_1"	1	NA
"41"	"ENSG00000002834"	"ENST00000318008"	1	NA
"42"	"ENSG00000002834"	"ENST00000435347"	1	NA
"43"	"ENSG00000003056"	"ENST00000000412"	1	NA
"44"	"ENSG00000003056"	"ENST00000536844"	1	NA
"45"	"ENSG00000003056"	"ENST00000541507"	1	NA
"46"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	1	NA
"47"	"ENSG00000003402"	"ENSG00000003402_201116167_201164279_1"	1	NA
"48"	"ENSG00000003402"	"ENSG00000003402_201116239_201164110_2"	1	NA
"49"	"ENSG00000003402"	"ENSG00000003402_201116407_201141598_1"	1	NA
"50"	"ENSG00000003402"	"ENSG00000003402_201116407_201164279_1"	1	NA
"51"	"ENSG00000003402"	"ENSG00000003402_201118664_201164279_1"	1	NA
"52"	"ENSG00000003402"	"ENSG00000003402_201129329_201141598_2"	1	NA
"53"	"ENSG00000003402"	"ENST00000341222"	1	NA
"54"	"ENSG00000003402"	"ENST00000470664"	1	NA
"55"	"ENSG00000003402"	"ENST00000490965"	1	NA
"56"	"ENSG00000003756"	"ENSG00000003756_50088955_50113492_1_2"	0.55395822542911	NA
"57"	"ENSG00000003756"	"ENSG00000003756_50117144_50118957_1"	0.55395822542911	NA
"58"	"ENSG00000003756"	"ENST00000347869"	0.55395822542911	NA
"59"	"ENSG00000003756"	"ENST00000469838"	0.55395822542911	NA
"60"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_1"	1	NA
"61"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_4"	1	NA
"62"	"ENSG00000004455"	"ENSG00000004455_33013044_33037004_1"	1	NA
"63"	"ENSG00000004455"	"ENST00000480134"	1	NA
"64"	"ENSG00000004534"	"ENSG00000004534_49940151_50077249_1"	0.886368162278679	NA
"65"	"ENSG00000004534"	"ENSG00000004534_50061998_50077249_1"	0.886368162278679	NA
"66"	"ENSG00000004534"	"ENST00000425608"	0.886368162278679	NA
"67"	"ENSG00000004534"	"ENST00000442092"	0.886368162278679	NA
"68"	"ENSG00000004534"	"ENST00000483350"	0.886368162278679	NA
"69"	"ENSG00000004534"	"ENST00000493652"	0.886368162278679	NA
"70"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_3_1"	0.00337633904955677	1
"71"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_3_2"	0.00337633904955677	1
"72"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_5_2"	0.00337633904955677	1
"73"	"ENSG00000004838"	"ENST00000231749"	0.00337633904955677	1
"74"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_1"	1.34987242003387e-08	1
"75"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_2"	1.34987242003387e-08	1
"76"	"ENSG00000004961"	"ENSG00000004961_11111342_11121879_1"	1.34987242003387e-08	1
"77"	"ENSG00000004961"	"ENSG00000004961_11111342_11121879_2"	1.34987242003387e-08	1
"78"	"ENSG00000004961"	"ENST00000321143"	1.34987242003387e-08	1
"79"	"ENSG00000004961"	"ENST00000380762"	1.34987242003387e-08	1
"80"	"ENSG00000004961"	"ENST00000380763"	1.34987242003387e-08	1
"81"	"ENSG00000005001"	"ENSG00000005001_2852730_2857904_3"	0.0724528047692134	NA
"82"	"ENSG00000005001"	"ENSG00000005001_2852730_2858170_6_1"	0.0724528047692134	NA
"83"	"ENSG00000005001"	"ENSG00000005001_2852730_2858660_1"	0.0724528047692134	NA
"84"	"ENSG00000005001"	"ENSG00000005001_2852730_2858726_1"	0.0724528047692134	NA
"85"	"ENSG00000005001"	"ENST00000161006"	0.0724528047692134	NA
"86"	"ENSG00000005001"	"ENST00000571228"	0.0724528047692134	NA
"87"	"ENSG00000005175"	"ENSG00000005175_47663290_47706030_1"	1	NA
"88"	"ENSG00000005175"	"ENSG00000005175_47663293_47670203_1"	1	NA
"89"	"ENSG00000005175"	"ENSG00000005175_47663293_47706030_1"	1	NA
"90"	"ENSG00000005175"	"ENST00000380650"	1	NA
"91"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_2"	1	NA
"92"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_3_1"	1	NA
"93"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_3_2"	1	NA
"94"	"ENSG00000005194"	"ENST00000394391"	1	NA
"95"	"ENSG00000005194"	"ENST00000567518"	1	NA
"96"	"ENSG00000005206"	"ENSG00000005206_2328696_2341956_1"	0.282587617537766	NA
"97"	"ENSG00000005206"	"ENSG00000005206_2328696_2353933_1"	0.282587617537766	NA
"98"	"ENSG00000005206"	"ENSG00000005206_2351564_2353933_1"	0.282587617537766	NA
"99"	"ENSG00000005206"	"ENST00000614784"	0.282587617537766	NA
"100"	"ENSG00000005206"	"ENST00000618220"	0.282587617537766	NA
"101"	"ENSG00000005302"	"ENST00000312196"	1	NA
"102"	"ENSG00000005302"	"ENST00000650370"	1	NA
"103"	"ENSG00000005469"	"ENSG00000005469_87345695_87369696_1"	0.977169067933888	NA
"104"	"ENSG00000005469"	"ENSG00000005469_87345695_87399481_1"	0.977169067933888	NA
"105"	"ENSG00000005469"	"ENST00000331536"	0.977169067933888	NA
"106"	"ENSG00000005469"	"ENST00000412227"	0.977169067933888	NA
"107"	"ENSG00000005483"	"ENSG00000005483_105014207_105074777_1"	1	NA
"108"	"ENSG00000005483"	"ENST00000479838"	1	NA
"109"	"ENSG00000005483"	"ENST00000495267"	1	NA
"110"	"ENSG00000005486"	"ENSG00000005486_75879034_75888268_1"	1	NA
"111"	"ENSG00000005486"	"ENSG00000005486_75879034_75888926_3_3"	1	NA
"112"	"ENSG00000005486"	"ENSG00000005486_75879172_75888926_2_2"	1	NA
"113"	"ENSG00000005486"	"ENST00000006777"	1	NA
"114"	"ENSG00000005486"	"ENST00000318622"	1	NA
"115"	"ENSG00000005486"	"ENST00000454791"	1	NA
"116"	"ENSG00000005801"	"ENSG00000005801_3359117_3379139_2_2"	1	NA
"117"	"ENSG00000005801"	"ENST00000005082"	1	NA
"118"	"ENSG00000005801"	"ENST00000526601"	1	NA
"119"	"ENSG00000005812"	"ENSG00000005812_77005260_77027159_1"	1	NA
"120"	"ENSG00000005812"	"ENST00000355619"	1	NA
"121"	"ENSG00000005882"	"ENSG00000005882_50095351_50111058_1"	0.387278530135381	NA
"122"	"ENSG00000005882"	"ENST00000505897"	0.387278530135381	NA
"123"	"ENSG00000005889"	"ENSG00000005889_24149456_24209001_3"	1	NA
"124"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_3_1"	1	NA
"125"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_3_2"	1	NA
"126"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_6"	1	NA
"127"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_7"	1	NA
"128"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_9"	1	NA
"129"	"ENSG00000005889"	"ENST00000304543"	1	NA
"130"	"ENSG00000005893"	"ENSG00000005893_120430826_120468992_1"	0.050002001308956	NA
"131"	"ENSG00000005893"	"ENSG00000005893_120430826_120469306_1"	0.050002001308956	NA
"132"	"ENSG00000005893"	"ENSG00000005893_120431248_120469306_1"	0.050002001308956	NA
"133"	"ENSG00000005893"	"ENST00000200639"	0.050002001308956	NA
"134"	"ENSG00000005893"	"ENST00000371335"	0.050002001308956	NA
"135"	"ENSG00000006007"	"ENST00000353258"	0.0227996893707469	0
"136"	"ENSG00000006007"	"ENST00000564172"	0.0227996893707469	0
"137"	"ENSG00000006015"	"ENST00000358607"	1	NA
"138"	"ENSG00000006015"	"ENST00000450195"	1	NA
"139"	"ENSG00000006015"	"ENST00000597371"	1	NA
"140"	"ENSG00000006118"	"ENSG00000006118_60927750_60937159_1"	0.000686007524692882	1
"141"	"ENSG00000006118"	"ENST00000005286"	0.000686007524692882	0.021906037059303
"142"	"ENSG00000006118"	"ENST00000540112"	0.000686007524692882	1
"143"	"ENSG00000006282"	"ENST00000356488"	1	NA
"144"	"ENSG00000006282"	"ENST00000503127"	1	NA
"145"	"ENSG00000006282"	"ENST00000634597"	1	NA
"146"	"ENSG00000006451"	"ENST00000005257"	1	NA
"147"	"ENSG00000006451"	"ENST00000434466"	1	NA
"148"	"ENSG00000006453"	"ENSG00000006453_98317237_98401090_1"	1	NA
"149"	"ENSG00000006453"	"ENST00000462558"	1	NA
"150"	"ENSG00000006534"	"ENSG00000006534_68008578_68029276_1"	1	NA
"151"	"ENSG00000006534"	"ENSG00000006534_68010343_68028676_1"	1	NA
"152"	"ENSG00000006534"	"ENSG00000006534_68010343_68029276_1_3"	1	NA
"153"	"ENSG00000006534"	"ENST00000342456"	1	NA
"154"	"ENSG00000006534"	"ENST00000614849"	1	NA
"155"	"ENSG00000006625"	"ENSG00000006625_30496784_30504829_2"	0.000971965363691568	1
"156"	"ENSG00000006625"	"ENSG00000006625_30496977_30504829_2_1"	0.000971965363691568	0.0321073991678262
"157"	"ENSG00000006625"	"ENST00000275428"	0.000971965363691568	1
