"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000229833",5.27780806610314e-41,1,4,0,0.986724335072827,1,0.833333333333333
"ENSG00000159128",7.86034400172769e-26,1,5,0,-0.962030802672024,1,0.5
"ENSG00000126768",3.80413434994868e-26,1,4,0,-0.960694209163292,1,0.666666666666667
"ENSG00000104388",8.96809188077658e-09,0.00403668213823379,4,1,-0.950055787711478,1,0.666666666666667
"ENSG00000198830",6.3626040847006e-28,0.132784359881045,6,0,-0.944870043042183,1,0.833333333333333
"ENSG00000064199",0.0450333241814215,0.310330534645137,3,0,0.94244297247357,0.833333333333333,0.5
"ENSG00000171490",2.85436458535142e-05,1,3,0,0.939716053626362,0.833333333333333,0.5
"ENSG00000147403",3.46823166443644e-155,7.09760363921837e-46,6,1,0.925716954682878,1,1
"ENSG00000166508",2.4568688583778e-09,1,4,0,0.91538377455388,1,0.666666666666667
"ENSG00000139318",3.64341730500574e-06,1,3,0,0.914326412217368,0.833333333333333,0.666666666666667
"ENSG00000156413",0.000463681720658564,1,4,0,0.911346598792021,1,0.5
"ENSG00000154001",2.25342180088943e-06,1,8,0,-0.910585356623903,1,0.666666666666667
"ENSG00000151632",1.90483642608188e-150,1,4,0,0.907012010436637,1,1
"ENSG00000111605",9.14227370031662e-09,1,3,0,0.902081450905923,1,0.833333333333333
"ENSG00000158373",4.92603490109558e-24,8.8607342192746e-23,4,1,0.89684844390067,1,0.833333333333333
"ENSG00000154813",1.42942770852467e-10,0.00102669501352864,3,2,-0.896271427952083,1,0.666666666666667
"ENSG00000125520",4.2120409176565e-07,1,4,0,-0.886919659529099,1,0.666666666666667
"ENSG00000177570",6.47459292415682e-07,0.649779735843513,3,0,-0.886320783831148,1,0.666666666666667
"ENSG00000170017",5.67092437292973e-15,1,5,0,-0.883691324880078,1,0.833333333333333
"ENSG00000251562",2.76116686095053e-72,1,4,0,0.882873682652747,1,0.666666666666667
"ENSG00000160087",1.45672514383084e-13,1,5,0,0.878410675341612,1,0.5
"ENSG00000186812",0.00104937134615492,0.360098987393972,4,0,-0.872147625847533,0.833333333333333,0.666666666666667
"ENSG00000150787",1.56621956271655e-05,1,3,0,0.869041149929401,0.833333333333333,0.666666666666667
"ENSG00000101608",5.65724089073864e-80,8.32721743217893e-16,5,2,-0.857940381448184,1,1
"ENSG00000229809",2.05335595685424e-14,1,5,0,-0.857421579337902,1,0.666666666666667
"ENSG00000128595",5.78212968904716e-06,1,4,0,-0.85714269491522,1,0.666666666666667
"ENSG00000165410",3.87378898041505e-05,1,6,0,-0.857142657354315,0.833333333333333,0.666666666666667
"ENSG00000245910",4.26354565024582e-08,1,4,0,-0.85603784839974,1,0.666666666666667
"ENSG00000171206",4.06269030273394e-06,0.0402386778004886,3,1,-0.851770423506053,1,0.833333333333333
"ENSG00000111639",3.46502187342109e-60,1,6,0,0.851417127410531,1,1
"ENSG00000129951",0.000324491193772543,1,3,0,-0.846948760349743,0.833333333333333,0.5
"ENSG00000231925",2.02195177131421e-08,0.238819593750957,6,0,-0.84581594675083,1,0.833333333333333
"ENSG00000113387",3.89484199804862e-29,4.78062250585897e-19,3,1,-0.83873414573148,1,1
"ENSG00000163882",6.06058385278746e-17,1.88347473518516e-12,3,1,-0.828729119257384,1,0.666666666666667
"ENSG00000164904",1.77632891116463e-11,1,6,0,0.82826197001903,1,0.666666666666667
"ENSG00000164919",8.27485013917756e-89,1.14304538463257e-79,4,2,0.826608461195661,1,1
"ENSG00000100568",7.24470939154654e-26,0.167156705938514,4,0,0.826116108079345,1,1
"ENSG00000162231",0.00022839162871409,1,3,0,0.82594178268833,1,0.666666666666667
"ENSG00000137699",2.42458675614375e-15,1,3,0,0.820922300109083,1,0.833333333333333
"ENSG00000184887",0.00150747177834939,0.0186827782036367,3,1,-0.820680369016802,1,0.666666666666667
"ENSG00000142166",0.000325549832993208,1,3,0,0.820454665943346,0.833333333333333,0.666666666666667
"ENSG00000162896",3.45624465353671e-31,1,4,0,-0.816049944871394,1,0.833333333333333
"ENSG00000185813",1.27130216944485e-09,1,5,0,-0.812499999994562,1,0.833333333333333
"ENSG00000065882",0.00037146686652381,0.000148303843203315,4,1,-0.804606451317469,0.833333333333333,0.5
"ENSG00000054611",0.000835619335596362,1,4,0,-0.799014771973722,1,0.666666666666667
"ENSG00000103876",0.000328652078384078,1,4,0,-0.798815557188377,0.833333333333333,0.666666666666667
"ENSG00000135387",0.0001708404769602,0.0877246438488307,3,0,-0.798748172866532,1,0.666666666666667
"ENSG00000136068",0.000971965363691568,1,3,0,-0.798625334600841,1,0.666666666666667
"ENSG00000143418",0.000457425799236347,0.00545550286513603,3,1,-0.798104127431362,0.833333333333333,0.666666666666667
"ENSG00000039319",0.00508935448312725,1,3,0,-0.796292914244933,1,0.666666666666667
"ENSG00000196754",5.10273652804166e-70,3.10043066939623e-21,5,2,0.794648810493168,1,1
"ENSG00000174748",1.1505850862008e-276,5.13807355347702e-15,5,1,-0.793559469956867,1,1
"ENSG00000172845",5.53010964440809e-05,0.000372616615247518,3,1,0.791743422862924,1,0.833333333333333
"ENSG00000260136",0.0050149151406763,1,4,0,-0.791317138216216,0.833333333333333,0.666666666666667
"ENSG00000104205",0.0032555335485685,1,4,0,-0.790781559507461,1,0.5
"ENSG00000171720",2.14722764833615e-05,0.045136579380337,4,1,-0.787251893143489,1,0.833333333333333
"ENSG00000177830",2.84339468934048e-08,0.0061309183017607,4,1,-0.785714261050598,1,0.666666666666667
"ENSG00000070831",1.00560786979928e-51,1,3,0,-0.779722487840203,1,0.833333333333333
"ENSG00000168216",1.15552480249725e-06,1,5,0,0.779627894906301,1,0.5
"ENSG00000120915",0.00437300313874424,1,3,0,0.778655833090861,1,0.666666666666667
"ENSG00000155957",8.97169515054952e-05,0.00609271612936946,4,1,0.777588623126561,1,0.833333333333333
"ENSG00000115694",9.1545035473947e-12,1,6,0,-0.775738227699671,1,0.666666666666667
"ENSG00000149809",2.80042305515703e-30,1,7,0,0.772000271570215,1,0.666666666666667
"ENSG00000163634",2.21621637053732e-18,7.6794558085525e-11,4,1,-0.771254323472857,1,1
"ENSG00000130787",0.00145555876840018,1,3,0,-0.765193597734561,0.833333333333333,0.5
"ENSG00000183684",2.34694006208146e-06,3.17247076004823e-07,3,1,-0.758546588495906,1,1
"ENSG00000197748",6.72108351066588e-05,1,5,0,0.752614113322431,1,0.5
