"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000064726"	"ENSG00000064726"	0.0499777547467793	0	2	2	-0.592102432539405	1	1
"ENSG00000139726"	"ENSG00000139726"	0.0161672694954259	0	2	2	-0.560021144048036	0.833333333333333	0.666666666666667
"ENSG00000055211"	"ENSG00000055211"	0.00169884995655112	0	2	2	0.51615832307155	1	1
"ENSG00000070476"	"ENSG00000070476"	0.0403762035635767	0	2	2	0.499830971414815	1	0.833333333333333
"ENSG00000013275"	"ENSG00000013275"	2.27012900043541e-10	0	2	2	-0.482629912313343	1	1
"ENSG00000143947"	"ENSG00000143947"	6.44695136267311e-99	0	2	2	0.453596891430287	1	1
"ENSG00000145919"	"ENSG00000145919"	0.000935937439076365	0	2	2	0.38246930961695	1	1
"ENSG00000185262"	"ENSG00000185262"	0.0499777547467793	0	2	2	0.294642449512018	1	1
"ENSG00000161036"	"ENSG00000161036"	0.042982753943152	0	2	2	0.293223435817817	1	1
"ENSG00000006007"	"ENSG00000006007"	0.0227996893707469	0	2	2	0.27545429920676	1	1
"ENSG00000113811"	"ENSG00000113811"	0.0109975551404976	0	2	2	0.252566642464944	1	1
"ENSG00000100906"	"ENSG00000100906"	0.00775252651215218	0	2	2	-0.208866645645111	1	1
"ENSG00000080824"	"ENSG00000080824"	0.0374865289949384	0	2	2	-0.180730118893022	1	1
"ENSG00000111843"	"ENSG00000111843"	0.0387885489778437	0	2	2	0.170539837063792	1	1
"ENSG00000118680"	"ENSG00000118680"	1.29320820375185e-08	0	2	2	-0.140549550951511	1	1
"ENSG00000185043"	"ENSG00000185043"	0.000207796826963345	0	2	2	-0.126210526106973	1	1
"ENSG00000137331"	"ENSG00000137331"	0.00101903933296716	0	2	2	-0.069801179241107	1	1
"ENSG00000057149"	"ENSG00000057149"	7.42913055332767e-05	0	2	2	-0.0531673118220637	1	1
"ENSG00000166165"	"ENSG00000166165"	0.0122793574588874	0	2	2	0.0484903955093378	1	1
"ENSG00000164919"	"ENSG00000164919"	8.27485013917756e-89	1.14304538463257e-79	4	2	0.826608461195661	1	1
"ENSG00000131981"	"ENSG00000131981"	4.07544195406771e-142	1.0647206532635e-74	3	1	-0.297199394229994	1	1
"ENSG00000115457"	"ENSG00000115457"	9.85764053075908e-56	2.22251386872011e-52	5	2	-0.584530203850061	1	1
"ENSG00000147403"	"ENSG00000147403"	3.46823166443644e-155	7.09760363921837e-46	6	1	0.925716954682878	1	1
"ENSG00000100650"	"ENSG00000100650"	6.36528033607997e-55	1.6938204555005e-45	4	1	0.669922606038424	1	1
"ENSG00000149273"	"ENSG00000149273"	5.07472166892066e-212	6.77194882381054e-44	7	1	-0.612980113645896	1	1
"ENSG00000122026"	"ENSG00000122026"	6.16397378540655e-76	7.21036401574349e-39	3	1	0.387470807239294	1	1
"ENSG00000114942"	"ENSG00000114942"	1.36432929692244e-66	1.7689293118711e-30	3	1	-0.233248414767579	1	1
"ENSG00000163435"	"ENSG00000163435"	2.73053245870352e-158	7.99688465704172e-26	5	1	0.595986207989137	1	1
"ENSG00000158373"	"ENSG00000158373"	4.92603490109558e-24	8.8607342192746e-23	4	1	0.89684844390067	1	0.833333333333333
"ENSG00000178741"	"ENSG00000178741"	2.40578715380781e-45	5.58118087385702e-22	3	1	0.50631601366421	1	1
"ENSG00000196754"	"ENSG00000196754"	5.10273652804166e-70	3.10043066939623e-21	5	2	0.794648810493168	1	1
"ENSG00000113387"	"ENSG00000113387"	3.89484199804862e-29	4.78062250585897e-19	3	1	-0.83873414573148	1	1
"ENSG00000113732"	"ENSG00000113732"	3.33912962366863e-85	1.22641750587552e-18	3	1	-0.694533787858624	1	1
"ENSG00000168003"	"ENSG00000168003"	4.62889766279418e-18	5.44703823303169e-17	5	1	-0.643401188617381	1	1
"ENSG00000174547"	"ENSG00000174547"	8.84530300347649e-19	2.14379663515732e-16	4	1	0.709799165978952	1	1
