"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000055211"	"ENSG00000055211"	0.00350411632506602	0	2	2	-0.610030700270317	1	0.833333333333333
"ENSG00000198692"	"ENSG00000198692"	0.00555182132654463	0	2	2	0.589315352999537	1	1
"ENSG00000083535"	"ENSG00000083535"	0.0480469240803758	0	2	2	-0.537584327110292	1	1
"ENSG00000099956"	"ENSG00000099956"	0.0108609999117443	0	2	2	-0.524751275535132	1	1
"ENSG00000149273"	"ENSG00000149273"	2.51598686210761e-169	0	2	2	0.518296013952643	1	1
"ENSG00000196642"	"ENSG00000196642"	0.0236409068665872	0	2	2	0.494341762843393	1	1
"ENSG00000101144"	"ENSG00000101144"	0.0157139061392089	0	2	2	-0.48487782378244	1	1
"ENSG00000013275"	"ENSG00000013275"	3.87430310501767e-09	0	2	2	0.467091061832627	1	1
"ENSG00000124942"	"ENSG00000124942"	0.0303675931925447	0	2	2	-0.410788087276037	1	1
"ENSG00000143947"	"ENSG00000143947"	1.56917657480998e-82	0	2	2	-0.394990579986382	1	1
"ENSG00000158864"	"ENSG00000158864"	0.000253173950894841	0	2	2	0.336773834315156	1	1
"ENSG00000072042"	"ENSG00000072042"	0.0157139061392089	0	2	2	0.328870185744821	1	1
"ENSG00000156508"	"ENSG00000156508"	2.79725211887868e-289	0	2	2	0.326941783646971	1	1
"ENSG00000127129"	"ENSG00000127129"	0.0404344730164338	0	2	2	-0.248957081951301	1	1
"ENSG00000141232"	"ENSG00000141232"	0.0406224866013294	0	2	2	-0.216261174982582	1	1
"ENSG00000162909"	"ENSG00000162909"	0.000441132407645343	0	2	2	-0.188020505022001	1	1
"ENSG00000178952"	"ENSG00000178952"	0.000252544076743542	0	2	2	0.134591713196823	1	1
"ENSG00000118680"	"ENSG00000118680"	5.25408423996718e-07	0	2	2	-0.129530832242888	1	1
"ENSG00000185043"	"ENSG00000185043"	0.000440023217858837	0	2	2	-0.128100528725809	1	1
"ENSG00000184009"	"ENSG00000184009"	0.00618301368031187	0	2	2	0.0523931447379163	1	1
"ENSG00000057149"	"ENSG00000057149"	0.000314269175140295	0	2	2	0.0464781307937229	1	1
"ENSG00000174444"	"ENSG00000174444"	0.0246399520077856	0	2	2	0.0445703124277346	1	1
"ENSG00000187514"	"ENSG00000187514"	0.0419189945115526	0	2	2	0.0399511092527493	1	1
"ENSG00000089356"	"ENSG00000089356"	1.21114355423951e-64	2.90299894491216e-63	3	2	0.539995683698285	1	1
"ENSG00000164919"	"ENSG00000164919"	1.08382365370297e-47	1.74005930966652e-49	3	2	0.852119178077501	1	1
"ENSG00000174748"	"ENSG00000174748"	5.56702675564634e-123	7.26472220111425e-32	4	2	-0.792750126077315	1	1
"ENSG00000196754"	"ENSG00000196754"	5.93007164542257e-73	3.14142968275914e-22	5	2	0.802028081269816	1	1
