"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000174327"	"ENSG00000174327"	0.00281051671470204	0	2	2	0.77094765403643	1	0.666666666666667
"ENSG00000108468"	"ENSG00000108468"	5.90964590565495e-13	0	2	2	-0.618462863974589	1	1
"ENSG00000161057"	"ENSG00000161057"	0.0063281347015673	0	2	2	0.598585315953017	0.833333333333333	0.833333333333333
"ENSG00000110080"	"ENSG00000110080"	0.0223346385473468	0	2	2	0.577678684741274	1	0.833333333333333
"ENSG00000119760"	"ENSG00000119760"	0.000367485817620383	0	2	2	-0.49755907443389	1	1
"ENSG00000142327"	"ENSG00000142327"	0.000316356200775584	0	2	2	0.49583329195621	1	1
"ENSG00000132746"	"ENSG00000132746"	0.0345374454351053	0	2	2	-0.469920409104762	1	1
"ENSG00000198466"	"ENSG00000198466"	0.000393347504066955	0	2	2	0.401003188664522	1	1
"ENSG00000050165"	"ENSG00000050165"	0.0111850112556955	0	2	2	-0.38801548721275	1	1
"ENSG00000151491"	"ENSG00000151491"	0.000200245981864414	0	2	2	-0.377521721687206	1	1
"ENSG00000178741"	"ENSG00000178741"	1.15487818028297e-72	0	2	2	-0.377383781233261	1	1
"ENSG00000003509"	"ENSG00000003509"	0.0474852457410083	0	2	2	0.360828119835339	1	1
"ENSG00000147592"	"ENSG00000147592"	7.79168633140086e-05	0	2	2	0.344503698327287	1	1
"ENSG00000143418"	"ENSG00000143418"	0.0484514854016025	0	2	2	0.336092057966677	1	1
"ENSG00000168010"	"ENSG00000168010"	0.00539104099496893	0	2	2	-0.307427443307958	1	1
"ENSG00000197170"	"ENSG00000197170"	0.0150343438242161	0	2	2	0.304587476650991	1	1
"ENSG00000109321"	"ENSG00000109321"	6.94725605168057e-08	0	2	2	-0.303025757803622	1	1
"ENSG00000104164"	"ENSG00000104164"	2.27091386196883e-33	0	2	2	0.29223781841225	1	1
"ENSG00000001461"	"ENSG00000001461"	0.0147173151860214	0	2	2	-0.263303716870545	1	1
"ENSG00000175895"	"ENSG00000175895"	0.0397728191705914	0	2	2	-0.25875581951895	1	1
"ENSG00000151502"	"ENSG00000151502"	0.0268476492117168	0	2	2	-0.249658186085803	1	1
"ENSG00000163931"	"ENSG00000163931"	5.9191289301908e-21	0	2	2	0.245066772439589	1	1
"ENSG00000013275"	"ENSG00000013275"	4.31730017427066e-15	0	2	2	-0.24477143531219	1	1
"ENSG00000135052"	"ENSG00000135052"	0.00336712161717266	0	2	2	0.244095491801037	1	1
"ENSG00000176153"	"ENSG00000176153"	1.86019971947119e-07	0	2	2	0.223910050361181	1	1
"ENSG00000164898"	"ENSG00000164898"	0.032701340259627	0	2	2	-0.221007676765999	1	1
"ENSG00000184924"	"ENSG00000184924"	1.70083741443857e-13	0	2	2	0.216602969358692	1	1
"ENSG00000085117"	"ENSG00000085117"	9.85713715892599e-09	0	2	2	-0.204357737993495	1	1
"ENSG00000125347"	"ENSG00000125347"	0.0264263599789306	0	2	2	0.196813530022729	1	1
"ENSG00000132341"	"ENSG00000132341"	1.22467097945485e-47	0	2	2	-0.196282014939468	1	1
"ENSG00000206075"	"ENSG00000206075"	1.56603328678605e-14	0	2	2	0.178231036679857	1	1
"ENSG00000142166"	"ENSG00000142166"	0.0491031387369361	0	2	2	0.176243366513648	1	1
"ENSG00000100744"	"ENSG00000100744"	0.033052919947715	0	2	2	0.170849019090913	1	1
"ENSG00000113811"	"ENSG00000113811"	0.0037324288382092	0	2	2	0.166283319014339	1	1
"ENSG00000127129"	"ENSG00000127129"	0.000505104576511926	0	2	2	-0.164528960025278	1	1
"ENSG00000087884"	"ENSG00000087884"	0.0410059127010231	0	2	2	0.15560563027898	1	1
"ENSG00000133131"	"ENSG00000133131"	2.45495771880463e-06	0	2	2	-0.151826237312349	1	1
"ENSG00000164346"	"ENSG00000164346"	9.77081398888883e-05	0	2	2	-0.147084087282723	1	1
