"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000104388",4.94173012162965e-46,5.75590640087022e-09,3,1,0.997347916431499,1,0.666666666666667
"ENSG00000125691",2.03764862350884e-310,1,3,0,-0.992398356182294,1,1
"ENSG00000104408",7.36059102206459e-218,1.06797328883197e-179,3,1,0.987480271526613,1,1
"ENSG00000196683",2.03764862350884e-310,1,3,0,-0.984673531201916,1,1
"ENSG00000154001",1.47509997612616e-25,0.000525820329978824,5,1,0.976131732259348,1,0.666666666666667
"ENSG00000017797",3.46408110920027e-45,4.45824777564216e-13,3,1,0.975816541737545,1,0.833333333333333
"ENSG00000174444",1.54403515361659e-49,1.08098220075179e-32,3,2,0.963303094284214,1,1
"ENSG00000061676",6.24193071069567e-12,1,3,0,0.959079127745327,1,0.5
"ENSG00000183527",3.0617443336727e-64,1,3,0,-0.958574056409229,1,1
"ENSG00000109689",2.23180313154306e-21,1.8260586449019e-07,3,1,0.95819905675917,1,0.666666666666667
"ENSG00000116459",6.36409274080138e-43,2.64061440748987e-32,3,1,0.955888112023692,1,1
"ENSG00000134825",4.47173129355063e-13,5.77068508075033e-06,4,3,0.955707228593229,1,0.833333333333333
"ENSG00000147403",2.03764862350884e-310,5.74771206716098e-266,7,2,0.95065567576406,1,1
"ENSG00000235453",3.75409311661498e-18,0.892305838488406,3,0,-0.949636017307653,1,0.666666666666667
"ENSG00000142675",1.69841533327416e-14,0.0209637666222044,3,1,0.946459309280481,1,0.833333333333333
"ENSG00000086598",1.12227836986853e-09,2.36611357374496e-06,3,2,-0.942806800316419,1,0.833333333333333
"ENSG00000119537",9.09724973486293e-16,0.0441832465523318,4,1,-0.941429778678552,1,0.666666666666667
"ENSG00000130985",4.77731955997563e-80,1,4,0,0.940472213642167,1,1
"ENSG00000167393",6.10294912941866e-22,1,3,0,0.93898719915731,1,0.833333333333333
"ENSG00000170296",7.11439767196517e-64,7.53483881998187e-14,5,2,0.937771989182994,1,1
"ENSG00000211450",2.03764862350884e-310,1.1495424134322e-266,3,1,0.935368240965545,1,1
"ENSG00000185787",5.01452631136393e-99,1,5,0,0.933066753696646,1,1
"ENSG00000165188",0.000739225386240403,1,3,0,0.930777884951632,1,0.5
"ENSG00000130396",5.50112942093117e-08,0.00106928520281294,3,1,0.92375461035606,1,0.833333333333333
"ENSG00000166734",2.99894717299346e-46,1,5,0,0.923369396411309,1,0.833333333333333
"ENSG00000214113",4.13401073849795e-27,0.0274447872144195,4,1,-0.922457705543787,1,1
"ENSG00000130818",6.45659337536889e-07,1,4,0,0.922061753027531,1,0.5
"ENSG00000180979",7.24849555861578e-13,0.000180687073728522,3,1,-0.921372990748972,1,0.833333333333333
"ENSG00000203644",3.70315453960823e-13,1,3,0,0.920420685959195,1,0.833333333333333
"ENSG00000204120",3.67538631613025e-07,1,4,0,-0.919292888962518,1,0.666666666666667
"ENSG00000204386",1.30547017950979e-06,2.05304074145051e-05,3,1,-0.913041860747682,1,0.833333333333333
"ENSG00000120963",6.07208878984535e-87,1,5,0,-0.910973221599591,1,1
"ENSG00000196440",1.43813752997136e-08,0.342782945091763,3,0,-0.909955250175952,1,0.833333333333333
"ENSG00000169718",4.54255458152106e-32,1,4,0,0.909297979890287,1,0.833333333333333
"ENSG00000105063",1.33508335704614e-09,1,3,0,-0.900840792638041,1,0.666666666666667
"ENSG00000086189",5.01132225507156e-08,1,3,0,0.898657447184626,0.833333333333333,0.666666666666667
"ENSG00000123505",1.94836556639076e-22,0.205169880088893,4,0,-0.897769178974871,1,0.833333333333333
"ENSG00000082068",8.13877077542892e-21,1,3,0,-0.894566817693101,1,1
"ENSG00000111665",2.71119031672887e-13,1,6,0,0.890736222417981,1,0.666666666666667
"ENSG00000173947",1.83388376114859e-309,1,3,0,0.890264716805375,1,1
"ENSG00000089693",1.29584484199141e-38,2.44141495565944e-10,6,1,0.887106771277,1,1
"ENSG00000111605",3.27334691350068e-41,1,4,0,-0.884275561459519,1,1
"ENSG00000114850",1.95169613628121e-18,2.77941497803786e-14,5,1,-0.880419251796293,1,0.833333333333333
"ENSG00000175387",1.48877709605744e-13,1,4,0,0.879430870190739,1,0.5
"ENSG00000182095",8.17688052829366e-10,1,4,0,0.87819739328376,1,0.666666666666667
"ENSG00000185305",3.66010018836283e-06,1,4,0,-0.872830210577491,1,0.5
"ENSG00000144028",6.36213008445736e-47,1,6,0,0.871651285837498,1,1
"ENSG00000120709",6.97802920540505e-05,0.0228769393289415,3,1,-0.870634605599919,0.833333333333333,0.833333333333333
"ENSG00000124104",2.24992737431564e-09,1,3,0,-0.869470396413226,1,0.666666666666667
"ENSG00000258818",4.44410960845813e-17,1,5,0,0.868251926047175,1,0.833333333333333
"ENSG00000257727",2.5005690701855e-238,1,5,0,-0.86666857400211,1,1
"ENSG00000198830",1.3510974939785e-108,2.30657891063084e-09,5,2,0.866649686563175,1,1
"ENSG00000093072",7.41125441438977e-06,0.211032869001463,3,0,-0.862899028813813,1,0.666666666666667
"ENSG00000169567",7.53087838920223e-81,4.22315879280828e-53,3,1,-0.860994552279474,1,1
"ENSG00000197728",5.95556538451562e-75,8.51905940752553e-78,3,2,0.86084512055992,1,1
"ENSG00000130164",3.90701627334634e-59,1.82966064849456e-50,4,1,-0.858825304804503,1,1
"ENSG00000171206",1.18074248000875e-20,1,5,0,0.858236424943623,1,1
"ENSG00000055147",2.73580362009641e-07,1,3,0,-0.855688420252792,1,0.666666666666667
"ENSG00000152904",4.25511376235661e-42,1,5,0,-0.851767793558151,1,1
"ENSG00000131759",9.41156086978559e-05,0.129509909975332,3,0,0.850371713301268,1,0.666666666666667
"ENSG00000100526",8.72289690426237e-13,0.603353609739521,3,0,-0.847060290744294,1,0.833333333333333
"ENSG00000198130",1.02951350733959e-68,1,5,0,-0.846773108868225,1,1
"ENSG00000171311",5.76077227003864e-15,1.80588623507057e-05,4,2,-0.844564599963043,1,1
"ENSG00000167595",1.82338683549907e-11,0.0111629350968683,4,1,-0.842846824753027,1,0.833333333333333
"ENSG00000128626",1.66520911584294e-24,0.00262374250428172,4,1,-0.839987427434164,1,1
"ENSG00000116560",5.01097324634499e-22,9.79710751669796e-07,6,1,-0.839470263850879,1,1
"ENSG00000245910",3.34061774133771e-97,1.06674358015386e-71,4,1,-0.837508204789401,1,1
"ENSG00000075151",8.45297872556001e-25,1,5,0,-0.836728880989652,1,1
