"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENST00000371582"	0.35818090477995	NA
"2"	"ENSG00000000419"	"ENST00000371588"	0.35818090477995	NA
"3"	"ENSG00000000457"	"ENSG00000000457_169853074_169893896_1"	1	NA
"4"	"ENSG00000000457"	"ENSG00000000457_169853074_169893901_1"	1	NA
"5"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	0.664303876940006	NA
"6"	"ENSG00000000971"	"ENST00000367429"	0.664303876940006	NA
"7"	"ENSG00000000971"	"ENST00000496761"	0.664303876940006	NA
"8"	"ENSG00000000971"	"ENST00000630130"	0.664303876940006	NA
"9"	"ENSG00000001084"	"ENSG00000001084_53497341_53505496_1"	5.76899228269902e-46	1
"10"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	5.76899228269902e-46	1
"11"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	5.76899228269902e-46	0.000296194634157519
"12"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	5.76899228269902e-46	1
"13"	"ENSG00000001084"	"ENSG00000001084_53498756_53545101_1"	5.76899228269902e-46	1
"14"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	5.76899228269902e-46	1
"15"	"ENSG00000001460"	"ENST00000337248"	1	NA
"16"	"ENSG00000001460"	"ENST00000435187"	1	NA
"17"	"ENSG00000001461"	"ENST00000339255"	1	NA
"18"	"ENSG00000001461"	"ENST00000488155"	1	NA
"19"	"ENSG00000001497"	"ENST00000374804"	0.839642710582796	NA
"20"	"ENSG00000001497"	"ENST00000374807"	0.839642710582796	NA
"21"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	1	NA
"22"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1	NA
"23"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	1	NA
"24"	"ENSG00000001630"	"ENST00000003100"	1	NA
"25"	"ENSG00000001630"	"ENST00000450723"	1	NA
"26"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_10"	7.25811529757551e-08	1
"27"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_8_2"	7.25811529757551e-08	1
"28"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_9_1"	7.25811529757551e-08	1
"29"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	7.25811529757551e-08	1
"30"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	7.25811529757551e-08	1
"31"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	7.25811529757551e-08	1
"32"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_3"	7.25811529757551e-08	1
"33"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	7.25811529757551e-08	1
"34"	"ENSG00000001631"	"ENST00000425919"	7.25811529757551e-08	1
"35"	"ENSG00000001631"	"ENST00000444960"	7.25811529757551e-08	1
"36"	"ENSG00000001631"	"ENST00000452773"	7.25811529757551e-08	0.103991520551712
"37"	"ENSG00000002016"	"ENSG00000002016_912758_949642_1"	1	NA
"38"	"ENSG00000002016"	"ENST00000488642"	1	NA
"39"	"ENSG00000002016"	"ENST00000536177"	1	NA
"40"	"ENSG00000002330"	"ENST00000309032"	1	NA
"41"	"ENSG00000002330"	"ENST00000394532"	1	NA
"42"	"ENSG00000002549"	"ENST00000226299"	0.722078527696433	NA
"43"	"ENSG00000002549"	"ENST00000606142"	0.722078527696433	NA
"44"	"ENSG00000002549"	"ENST00000618908"	0.722078527696433	NA
"45"	"ENSG00000002586"	"ENSG00000002586_2691187_2726363_1"	2.00320993319116e-05	1
"46"	"ENSG00000002586"	"ENST00000381192"	2.00320993319116e-05	0.00389436483204036
"47"	"ENSG00000002586"	"ENST00000611428"	2.00320993319116e-05	1
"48"	"ENSG00000002822"	"ENSG00000002822_1815794_1980316_1"	0.000997560062442976	1
"49"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_2"	0.000997560062442976	1
"50"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	0.000997560062442976	1
"51"	"ENSG00000002822"	"ENSG00000002822_1815816_1886369_1"	0.000997560062442976	1
"52"	"ENSG00000002822"	"ENST00000399654"	0.000997560062442976	1
"53"	"ENSG00000002822"	"ENST00000406869"	0.000997560062442976	1
"54"	"ENSG00000002834"	"ENSG00000002834_38870061_38916837_1"	1	NA
"55"	"ENSG00000002834"	"ENST00000318008"	1	NA
"56"	"ENSG00000002834"	"ENST00000435347"	1	NA
"57"	"ENSG00000002834"	"ENST00000579123"	1	NA
"58"	"ENSG00000003056"	"ENST00000000412"	0.572844442218038	NA
"59"	"ENSG00000003056"	"ENST00000536844"	0.572844442218038	NA
"60"	"ENSG00000003056"	"ENST00000541507"	0.572844442218038	NA
"61"	"ENSG00000003096"	"ENSG00000003096_117897814_117972823_1"	1	NA
"62"	"ENSG00000003096"	"ENST00000371882"	1	NA
"63"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_1"	1	NA
"64"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_2"	1	NA
"65"	"ENSG00000003147"	"ENSG00000003147_8113779_8262612_1"	1	NA
"66"	"ENSG00000003147"	"ENST00000265577"	1	NA
"67"	"ENSG00000003147"	"ENST00000402384"	1	NA
"68"	"ENSG00000003147"	"ENST00000406470"	1	NA
"69"	"ENSG00000003402"	"ENSG00000003402_201115936_201141602_1"	1	NA
"70"	"ENSG00000003402"	"ENSG00000003402_201115936_201149835_1"	1	NA
"71"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	1	NA
"72"	"ENSG00000003402"	"ENSG00000003402_201116167_201164279_1"	1	NA
"73"	"ENSG00000003402"	"ENSG00000003402_201116407_201141598_1"	1	NA
"74"	"ENSG00000003402"	"ENSG00000003402_201116407_201164279_1"	1	NA
"75"	"ENSG00000003402"	"ENST00000341222"	1	NA
"76"	"ENSG00000003402"	"ENST00000470664"	1	NA
"77"	"ENSG00000003402"	"ENST00000490965"	1	NA
"78"	"ENSG00000003509"	"ENSG00000003509_37231658_37249160_1"	1	NA
"79"	"ENSG00000003509"	"ENST00000002125"	1	NA
"80"	"ENSG00000003509"	"ENST00000474154"	1	NA
"81"	"ENSG00000003756"	"ENSG00000003756_50088955_50113492_1_1"	6.2178176022621e-15	1
"82"	"ENSG00000003756"	"ENSG00000003756_50115512_50118957_1"	6.2178176022621e-15	1
"83"	"ENSG00000003756"	"ENSG00000003756_50117144_50118957_1"	6.2178176022621e-15	1
"84"	"ENSG00000003756"	"ENST00000347869"	6.2178176022621e-15	0.0621701785278689
"85"	"ENSG00000003756"	"ENST00000469838"	6.2178176022621e-15	1
"86"	"ENSG00000003756"	"ENST00000492472"	6.2178176022621e-15	1
"87"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_1"	0.0230163512910848	1
"88"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_4"	0.0230163512910848	1
"89"	"ENSG00000004455"	"ENSG00000004455_33013044_33037004_1"	0.0230163512910848	1
"90"	"ENSG00000004455"	"ENST00000480134"	0.0230163512910848	1
"91"	"ENSG00000004468"	"ENST00000506191"	1	NA
"92"	"ENSG00000004468"	"ENST00000511430"	1	NA
"93"	"ENSG00000004487"	"ENST00000356634"	1	NA
"94"	"ENSG00000004487"	"ENST00000465864"	1	NA
"95"	"ENSG00000004534"	"ENSG00000004534_49940150_50077249_1"	3.84048215119576e-06	1
"96"	"ENSG00000004534"	"ENSG00000004534_49940151_50077249_1"	3.84048215119576e-06	1
"97"	"ENSG00000004534"	"ENSG00000004534_50061998_50077249_1"	3.84048215119576e-06	1
"98"	"ENSG00000004534"	"ENST00000442092"	3.84048215119576e-06	1
"99"	"ENSG00000004534"	"ENST00000483350"	3.84048215119576e-06	1
"100"	"ENSG00000004534"	"ENST00000493652"	3.84048215119576e-06	1
"101"	"ENSG00000004700"	"ENST00000314748"	1	NA
"102"	"ENSG00000004700"	"ENST00000421138"	1	NA
"103"	"ENSG00000004700"	"ENST00000444129"	1	NA
"104"	"ENSG00000004766"	"ENSG00000004766_93232369_93359025_1"	1	NA
"105"	"ENSG00000004766"	"ENST00000251739"	1	NA
"106"	"ENSG00000004766"	"ENST00000477935"	1	NA
"107"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_3_2"	1	NA
"108"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_5_2"	1	NA
"109"	"ENSG00000004838"	"ENST00000231749"	1	NA
"110"	"ENSG00000004838"	"ENST00000468182"	1	NA
"111"	"ENSG00000004866"	"ENSG00000004866_116953503_117230103_1"	0.679961652421125	NA
