"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000213626",1.31328140723369e-09,0.0466129534318988,3,1,-0.986218269474142,1,0.5
"ENSG00000184209",9.63331720139158e-73,1,3,0,0.98308246263107,1,0.666666666666667
"ENSG00000198830",1.54899628154312e-100,8.1120581134345e-19,5,1,-0.97770582267859,1,1
"ENSG00000122068",2.49485921471148e-19,1,3,0,-0.96936843907612,1,0.666666666666667
"ENSG00000113407",4.4478335574938e-14,0.842605717434474,3,0,-0.966043576586167,1,0.5
"ENSG00000104388",3.25388752147161e-23,0.0600525104687943,4,0,-0.9561491123791,1,0.833333333333333
"ENSG00000126768",5.91176553882103e-79,1,3,0,0.953440560964937,1,1
"ENSG00000090061",4.05021545806825e-16,1,4,0,0.953212129824562,1,0.5
"ENSG00000144028",7.05882600156361e-69,1,4,0,-0.94791642685912,1,0.833333333333333
"ENSG00000118898",7.75731266502775e-17,0.844476515517591,3,0,0.944582391527165,1,0.666666666666667
"ENSG00000140263",1.68711262024532e-05,0.628507095101182,3,0,0.944024775858699,0.833333333333333,0.5
"ENSG00000142733",2.71094987780736e-11,1,5,0,0.941425264294555,1,0.5
"ENSG00000242802",1.03704812311833e-10,1,3,0,0.940045856416302,1,0.5
"ENSG00000171490",5.42669748931787e-35,1,3,0,-0.93730546783899,1,0.833333333333333
"ENSG00000147403",0,8.15695760701077e-210,6,1,0.930989296968539,1,1
"ENSG00000224046",1.33841732203636e-05,0.0565734095659286,3,0,0.929178337352755,1,0.666666666666667
"ENSG00000181904",5.28517458772417e-12,1,3,0,0.925431057994985,1,0.5
"ENSG00000164291",9.70992117798396e-08,0.553964013382178,3,0,0.924343530284766,1,0.5
"ENSG00000141367",1.70040136448153e-16,1,3,0,-0.920314200509428,1,0.833333333333333
"ENSG00000071539",1.04319796760684e-10,0.0570343378962501,4,0,-0.919608016366941,1,0.666666666666667
"ENSG00000137494",3.29384512250774e-09,0.00438361616249242,3,1,-0.911982514636397,1,0.833333333333333
"ENSG00000198964",3.46776316027004e-06,0.309708645439524,3,0,0.911219549176701,1,0.5
"ENSG00000174953",4.13817287671032e-10,0.172799630602816,3,0,0.910346164228552,1,0.5
"ENSG00000111639",1.88988073705973e-237,1,4,0,0.910310841867901,1,1
"ENSG00000151632",0,1,4,0,0.91000046085055,1,1
"ENSG00000150787",1.84338578583404e-55,1.07266485013656e-17,4,1,0.908102258571776,1,1
"ENSG00000112130",1.24243613251514e-20,1,4,0,-0.908094251225806,1,0.666666666666667
"ENSG00000138834",5.4671347494542e-07,1,3,0,-0.906074035081737,1,0.5
"ENSG00000120915",2.57854987605667e-35,1,4,0,-0.904362855772797,1,0.833333333333333
"ENSG00000229809",4.83867257903655e-45,1,4,0,-0.903659509217289,1,1
"ENSG00000142166",9.26348784356125e-19,0.0305117730737611,3,1,0.900951147755212,1,0.833333333333333
"ENSG00000154001",1.09637018889313e-28,3.53218760872210e-09,7,1,-0.898539700693591,1,0.666666666666667
"ENSG00000231925",2.57369864870385e-24,0.00212645173619872,6,4,-0.897332375909325,1,1
"ENSG00000064995",1.7455059899271e-20,1,3,0,-0.896815445199105,1,0.833333333333333
"ENSG00000137509",1.02204401128967e-17,1,4,0,0.893757023038835,1,0.833333333333333
"ENSG00000104979",1.37720809242506e-19,9.36809442954276e-06,4,2,0.893546357615938,1,1
"ENSG00000273749",2.06527445867392e-13,0.822723317462627,4,0,-0.89186111630411,1,0.666666666666667
"ENSG00000122882",5.03314367658854e-12,0.0791156885426228,3,0,-0.886733597255485,1,0.833333333333333
"ENSG00000183751",5.98962438598596e-20,0.0230409536600021,3,1,-0.882631519670396,1,1
"ENSG00000138162",6.31063728424217e-31,1,6,0,-0.873923995090679,1,1
"ENSG00000251562",0,1,4,0,0.871374278733395,1,1
"ENSG00000164919",0,4.07847880350539e-210,4,2,0.86996337580878,1,1
"ENSG00000145349",2.1398154797604e-06,0.339958223435219,3,0,-0.868766708364831,1,0.666666666666667
"ENSG00000171206",6.5687692525654e-13,1.52603149728522e-07,3,2,-0.865050121142612,1,1
"ENSG00000075856",1.46253338137877e-05,1,3,0,0.863710500431382,0.833333333333333,0.5
"ENSG00000107959",4.87956304567136e-14,1,3,0,-0.861652461506079,1,0.833333333333333
"ENSG00000142627",8.43413208439252e-88,1,5,0,-0.860647331923473,1,1
"ENSG00000155506",1.81239672758726e-19,1,4,0,0.852834119053098,1,1
"ENSG00000162889",5.64733736948612e-16,2.2470684466347e-12,3,1,-0.852411735621969,1,0.833333333333333
"ENSG00000139168",1.08767149503658e-06,0.00942467858434272,3,1,0.850905050689688,1,0.833333333333333
"ENSG00000163235",3.24874875117855e-15,5.72622269065392e-12,4,1,-0.847066212216373,1,0.833333333333333
"ENSG00000126778",2.04296955801668e-24,0.214038189108744,3,0,0.845913997746862,1,1
"ENSG00000172345",0.000259909108336602,0.350067723692144,3,0,0.841470395262996,1,0.666666666666667
"ENSG00000102030",2.14910260709831e-11,1.59209648420994e-05,4,2,-0.840306284996521,1,0.833333333333333
"ENSG00000139323",1.37815756613286e-11,0.00138224203180729,3,1,0.839639686404832,1,1
"ENSG00000101608",1.48482542741954e-155,1.63791145735261e-36,5,3,-0.839366629241764,1,1
"ENSG00000204469",1.70354581931588e-06,0,2,2,0.836228594594522,1,0.666666666666667
"ENSG00000134058",9.44126428399499e-15,0.329718748305227,5,0,-0.836197610186038,1,0.666666666666667
"ENSG00000166508",4.24909388282812e-35,1,5,0,-0.835308507305446,1,1
"ENSG00000197063",1.6666511863933e-14,1,3,0,-0.834745924830593,1,1
"ENSG00000059691",2.11521303585344e-11,1,4,0,-0.83398533234962,1,0.666666666666667
"ENSG00000204574",2.6243388827471e-14,0.00368062118581668,4,1,0.833929073018819,1,0.666666666666667
"ENSG00000231566",1.6826270660288e-17,0.061298412786582,5,0,-0.833700647411292,1,1
"ENSG00000077254",1.82023158048079e-05,0.171882009831285,3,0,0.830251399946486,1,0.666666666666667
"ENSG00000055147",0.000347439327463171,1,3,0,-0.826251900344294,0.833333333333333,0.5
"ENSG00000176597",3.2234954787728e-14,3.31946473792763e-05,4,1,0.82447784214031,1,0.666666666666667
"ENSG00000245910",3.28673358100212e-84,2.80262246105566e-70,4,1,-0.823527978867024,1,1
"ENSG00000196505",3.64414010766028e-12,1,3,0,-0.823504889019438,1,1
"ENSG00000159128",2.71232157139385e-74,1,6,0,-0.823430523375618,1,0.666666666666667
"ENSG00000187741",5.58250640727526e-07,1,3,0,0.823429358345942,1,0.666666666666667
"ENSG00000093000",5.53203393941172e-12,1,7,0,0.821931419371561,1,0.666666666666667
"ENSG00000168216",7.94298634447156e-43,1,6,0,0.819859386987203,1,0.5
"ENSG00000068796",1.2243901221534e-18,1,6,0,-0.819832293452068,1,0.833333333333333
"ENSG00000166167",0.00265922870311351,0.296544787223884,3,0,0.819721095547363,0.666666666666667,0.5
"ENSG00000104432",0.003979419020497,0.480745386056084,3,0,0.818077891651671,0.666666666666667,0.5
"ENSG00000130787",3.05681755756954e-08,0.251283400542,3,0,0.814453471206759,1,0.833333333333333
"ENSG00000100425",1.79022609722096e-09,0.0782524284002456,3,0,-0.81259979308342,1,0.833333333333333
"ENSG00000137692",9.47400201836256e-79,1,8,0,0.80954423593285,1,1
"ENSG00000174748",0,9.94288164711496e-63,5,1,-0.808502008236789,1,1
"ENSG00000183172",4.59349900653647e-19,9.44471379477829e-13,5,1,-0.804407557775379,1,1
"ENSG00000005175",4.45095554747897e-12,0.896100619524968,5,0,-0.80375243498384,1,0.666666666666667
"ENSG00000198130",1.19816301122557e-65,1,5,0,0.802263858319376,1,1
"ENSG00000196754",0,6.11771820525808e-209,5,1,0.801390300822769,1,1
"ENSG00000164904",4.68763589955255e-62,1,6,0,0.800766995658874,1,1
"ENSG00000111670",1.59034694502488e-08,1,5,0,0.796319750974022,1,0.666666666666667
"ENSG00000100568",1.23612813695747e-118,1.37327213090938e-09,4,1,0.795534307495229,1,1
"ENSG00000206140",6.87472904803298e-13,1,5,0,0.794635931500476,1,0.833333333333333
"ENSG00000100979",1.66315185106753e-26,4.62414528349188e-08,4,1,-0.794173321397505,1,1
"ENSG00000198648",4.25475143629994e-11,0.0674197089204377,4,0,-0.794062620346164,1,0.666666666666667
"ENSG00000102931",1.02206562706759e-14,6.38000660772475e-09,4,1,0.794002780245477,1,0.833333333333333
"ENSG00000170876",7.45765239765578e-12,2.7212154341257e-08,3,1,0.792340414151919,1,0.833333333333333
"ENSG00000162852",1.31476740184502e-08,0.624339914771411,3,0,-0.792020540077577,1,0.833333333333333
"ENSG00000110987",3.75269548676057e-05,0.127539294652136,3,0,-0.791096041942654,1,0.833333333333333
"ENSG00000139083",4.81181978914975e-13,1.14021733426472e-09,3,1,-0.790692621820564,1,1
"ENSG00000155957",7.27060022883286e-55,6.95081950329035e-13,7,3,0.789156440563002,1,1
"ENSG00000123505",1.96116574769146e-16,1,4,0,-0.788934090190806,1,1
"ENSG00000152904",1.88142815006379e-57,1,6,0,-0.788889482872889,1,1
"ENSG00000157150",0.00131584041480964,1,3,0,-0.78820628280127,0.833333333333333,0.5
"ENSG00000151065",5.17000489580838e-05,0.475611211842722,3,0,0.788098142388035,1,0.833333333333333
"ENSG00000165526",1.61862108432121e-14,0.981635219110672,5,0,0.786194671426172,1,1
"ENSG00000162896",3.50895463080978e-142,1,4,0,-0.784923679936327,1,1
"ENSG00000138442",2.16993837208113e-11,0.143944603934785,3,0,-0.784795675863991,1,1
"ENSG00000088836",1.06436448122745e-14,3.51067271644616e-12,5,1,-0.784590817418227,1,0.833333333333333
"ENSG00000070831",2.50626463153831e-225,1,3,0,-0.782579576965833,1,1
"ENSG00000271133",2.23864167291763e-09,0.0208999190267165,5,1,0.78246221053295,1,0.833333333333333
"ENSG00000117528",9.04995401889998e-14,1.15929633892945e-05,4,2,0.781261833874993,1,1
"ENSG00000121680",0.00946560977485052,0.0356051967931761,3,1,-0.780784084747416,0.833333333333333,0.833333333333333
"ENSG00000149809",4.29020933667577e-116,1,6,0,0.779593603415716,1,0.833333333333333
"ENSG00000162231",8.0518836889146e-17,0.0172473969915171,4,1,0.778093544844601,1,1
"ENSG00000186812",5.49677137230298e-09,0.0587656298214969,4,0,-0.776847176861865,1,1
"ENSG00000168758",8.62864030680365e-07,1,4,0,-0.772802844352845,0.833333333333333,0.833333333333333
"ENSG00000129951",1.4512014838693e-08,1,3,0,0.77172245807335,1,0.833333333333333
"ENSG00000183684",1.98869362443653e-22,9.27490282177165e-18,3,2,-0.770614875825263,1,1
"ENSG00000179403",4.60903919225763e-31,1,6,0,-0.770203215346087,1,1
"ENSG00000240682",8.50900279490458e-18,1,5,0,-0.767596989586129,1,0.5
"ENSG00000007923",1.03202251320533e-06,1,5,0,-0.767054438300571,1,0.666666666666667
"ENSG00000172613",1.46539821699753e-06,1,4,0,0.765869135521662,1,0.833333333333333
"ENSG00000172845",1.57374529641334e-18,1,5,0,0.76470579267382,1,1
"ENSG00000016602",8.7064891207131e-07,0.212194496410402,4,0,-0.763832272835108,1,1
"ENSG00000183426",2.31851973012197e-11,4.338815892696e-05,4,2,-0.762761484941137,1,1
"ENSG00000004961",4.83682513580313e-36,8.32083452075296e-06,6,1,0.759306460929959,1,1
"ENSG00000163882",1.04279850155088e-44,1.03361013838924e-28,3,1,-0.755992736686133,1,1
"ENSG00000100726",1.11607650102237e-08,1,4,0,0.755925197500546,1,0.833333333333333
"ENSG00000090447",2.26737406785285e-07,0.344640428054615,3,0,0.753390804794494,1,0.833333333333333
"ENSG00000163633",1.41278740195705e-08,0.262378915710342,3,0,-0.752812732739681,1,1
"ENSG00000160298",4.34053565257203e-05,1,5,0,0.750000000000195,1,0.5
