"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_VIC01_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000074201"	"ENSG00000074201"	2.05219753371973e-08	0	2	2	-0.734337128405909	1	1
"ENSG00000162419"	"ENSG00000162419"	0.0172524841536058	0	2	2	-0.682875674694219	1	0.666666666666667
"ENSG00000180596"	"ENSG00000180596"	0.00367346383521934	0	2	2	-0.598941139242153	1	0.833333333333333
"ENSG00000224616"	"ENSG00000224616"	1.88791316606161e-05	0	2	2	0.591687114319366	1	1
"ENSG00000233937"	"ENSG00000233937"	0.0288276693473182	0	2	2	-0.563990650002461	1	1
"ENSG00000149273"	"ENSG00000149273"	3.83236365479607e-236	0	2	2	-0.509720683991501	1	1
"ENSG00000129194"	"ENSG00000129194"	0.000493427890022489	0	2	2	-0.471098364384345	1	1
"ENSG00000198692"	"ENSG00000198692"	1.33973832051806e-07	0	2	2	-0.466980718199992	1	1
"ENSG00000100263"	"ENSG00000100263"	0.00238564387548332	0	2	2	-0.465543437094647	1	1
"ENSG00000143947"	"ENSG00000143947"	3.83236365479607e-236	0	2	2	0.440178041325134	1	1
"ENSG00000139990"	"ENSG00000139990"	0.000567090225773743	0	2	2	-0.424110913707584	1	1
"ENSG00000055211"	"ENSG00000055211"	6.57404282748478e-07	0	2	2	-0.423372585073398	1	1
"ENSG00000143252"	"ENSG00000143252"	0.0237691054268427	0	2	2	-0.411537651129691	1	1
"ENSG00000105819"	"ENSG00000105819"	0.000443913693455579	0	2	2	-0.366017888104116	1	1
"ENSG00000183684"	"ENSG00000183684"	6.59188129695669e-06	0	2	2	0.348466160281588	1	1
"ENSG00000158864"	"ENSG00000158864"	3.2451505977776e-22	0	2	2	0.33197504148013	1	1
"ENSG00000144677"	"ENSG00000144677"	0.0374263006089026	0	2	2	-0.32853955360378	1	1
"ENSG00000083535"	"ENSG00000083535"	0.000206968047983771	0	2	2	-0.325521803477329	1	1
"ENSG00000156508"	"ENSG00000156508"	3.83236365479607e-236	0	2	2	0.320193675512003	1	1
"ENSG00000143669"	"ENSG00000143669"	0.0437966533895529	0	2	2	-0.317789968370097	0.833333333333333	0.833333333333333
"ENSG00000047410"	"ENSG00000047410"	0.0160796808825779	0	2	2	0.304801972099687	1	1
"ENSG00000151502"	"ENSG00000151502"	0.00123166026838107	0	2	2	-0.299397621743424	1	1
"ENSG00000237441"	"ENSG00000237441"	0.0499387386690302	0	2	2	0.274107593857831	1	1
"ENSG00000163131"	"ENSG00000163131"	0.00785272665220083	0	2	2	-0.272322499403186	1	1
"ENSG00000185338"	"ENSG00000185338"	0.0153812166794185	0	2	2	0.266611461757459	1	1
"ENSG00000085117"	"ENSG00000085117"	1.73271283716007e-10	0	2	2	0.265788643535364	1	1
"ENSG00000198843"	"ENSG00000198843"	0.000709075679609124	0	2	2	0.262309384161498	1	1
"ENSG00000141295"	"ENSG00000141295"	0.0115086192175138	0	2	2	-0.240632832717181	1	1
"ENSG00000013275"	"ENSG00000013275"	3.77081003729355e-14	0	2	2	0.236250404249777	1	1
"ENSG00000157227"	"ENSG00000157227"	0.00861670927603559	0	2	2	0.235566411320326	1	1
"ENSG00000143314"	"ENSG00000143314"	0.048980872256116	0	2	2	0.230600682142922	1	1
"ENSG00000100744"	"ENSG00000100744"	0.000232106973529745	0	2	2	-0.227639622868644	1	1
"ENSG00000148672"	"ENSG00000148672"	0.0277413339379619	0	2	2	0.218643636465242	1	1
"ENSG00000071553"	"ENSG00000071553"	0.000654538993733122	0	2	2	0.217693253061315	1	1
"ENSG00000162909"	"ENSG00000162909"	1.21563667371324e-23	0	2	2	-0.216293744659034	1	1
"ENSG00000109321"	"ENSG00000109321"	0.00180835559065854	0	2	2	0.20913812200941	1	1
"ENSG00000126698"	"ENSG00000126698"	0.00119147448525399	0	2	2	0.201848194209069	1	1
"ENSG00000137880"	"ENSG00000137880"	0.000100909192516175	0	2	2	-0.192511679818098	1	1
"ENSG00000117758"	"ENSG00000117758"	0.0157528024154767	0	2	2	0.191048700161508	1	1
"ENSG00000164405"	"ENSG00000164405"	1.14185187800885e-10	0	2	2	0.190861292959093	1	1
"ENSG00000147883"	"ENSG00000147883"	0.0233059174463813	0	2	2	0.188555844878063	1	1
"ENSG00000225663"	"ENSG00000225663"	0.0389406571299586	0	2	2	0.183578196780883	1	1
"ENSG00000155066"	"ENSG00000155066"	0.0022513738303461	0	2	2	0.180131721062425	1	1
"ENSG00000198848"	"ENSG00000198848"	0.000537956149690952	0	2	2	0.178790871118707	1	1
"ENSG00000141232"	"ENSG00000141232"	2.03833246677833e-06	0	2	2	-0.178397296532955	1	1
"ENSG00000132386"	"ENSG00000132386"	2.90010246732842e-10	0	2	2	0.174021898787543	1	1
"ENSG00000130725"	"ENSG00000130725"	0.00180889361329096	0	2	2	-0.173010523320769	1	1
"ENSG00000178952"	"ENSG00000178952"	7.64720288379489e-28	0	2	2	-0.16451818726483	1	1
"ENSG00000160201"	"ENSG00000160201"	0.0305165051685208	0	2	2	-0.150784710565339	1	1
"ENSG00000159388"	"ENSG00000159388"	0.000917933914288831	0	2	2	0.14872171161071	1	1
"ENSG00000156411"	"ENSG00000156411"	8.00788419557841e-05	0	2	2	0.143880188015977	1	1
"ENSG00000136936"	"ENSG00000136936"	0.0152865393727163	0	2	2	-0.13609303909113	1	1
"ENSG00000164032"	"ENSG00000164032"	2.9412593103235e-26	0	2	2	-0.131982187715921	1	1
"ENSG00000089280"	"ENSG00000089280"	0.0209732142865999	0	2	2	-0.128012228242209	1	1
"ENSG00000187244"	"ENSG00000187244"	0.0345119281921857	0	2	2	-0.124068111558095	1	1
"ENSG00000128739"	"ENSG00000128739"	0.0286394683116719	0	2	2	-0.114891915632242	1	1
"ENSG00000140319"	"ENSG00000140319"	2.59968325607558e-09	0	2	2	0.11452695192875	1	1
"ENSG00000166165"	"ENSG00000166165"	2.70173399126843e-10	0	2	2	-0.109697537085424	1	1
"ENSG00000173992"	"ENSG00000173992"	0.000561172466853315	0	2	2	-0.10950885530617	1	1
"ENSG00000142409"	"ENSG00000142409"	0.0161658450448266	0	2	2	-0.108367496993129	1	1
"ENSG00000118680"	"ENSG00000118680"	7.29866809510663e-09	0	2	2	-0.108342886160229	1	1
"ENSG00000129625"	"ENSG00000129625"	0.00794518525111	0	2	2	-0.105542688113783	1	1
"ENSG00000160789"	"ENSG00000160789"	0.0296942935382247	0	2	2	0.105310755169844	1	1
"ENSG00000185043"	"ENSG00000185043"	5.79898215441917e-15	0	2	2	-0.101250642616733	1	1
"ENSG00000091640"	"ENSG00000091640"	0.000560687480190453	0	2	2	-0.099839059634884	1	1
"ENSG00000100906"	"ENSG00000100906"	0.0161508307997721	0	2	2	-0.0984469346106038	1	1
"ENSG00000165609"	"ENSG00000165609"	2.52704229423724e-05	0	2	2	-0.0945027275583057	1	1
"ENSG00000167779"	"ENSG00000167779"	0.0106264423387363	0	2	2	0.0944547930898461	1	1
"ENSG00000057149"	"ENSG00000057149"	7.99663934113028e-37	0	2	2	0.0880427842355987	1	1
"ENSG00000104823"	"ENSG00000104823"	3.4425534962871e-09	0	2	2	0.0836958891111899	1	1
"ENSG00000007520"	"ENSG00000007520"	0.0111917624280475	0	2	2	-0.0756712891040931	1	1
"ENSG00000125835"	"ENSG00000125835"	0.0302824233051075	0	2	2	-0.0736281218987161	1	1
"ENSG00000131966"	"ENSG00000131966"	0.0455751310654012	0	2	2	0.0728506716420073	1	1
"ENSG00000155096"	"ENSG00000155096"	0.0259324354776885	0	2	2	-0.0684892560102641	1	1
"ENSG00000163453"	"ENSG00000163453"	0.00638394138534951	0	2	2	0.0632920164081118	1	1
"ENSG00000118418"	"ENSG00000118418"	0.023058608921106	0	2	2	0.0588139908505106	1	1
"ENSG00000165672"	"ENSG00000165672"	0.00250249880075869	0	2	2	0.0587991343206571	1	1
"ENSG00000105993"	"ENSG00000105993"	0.0223723299234181	0	2	2	0.0572239376483582	1	1
"ENSG00000250722"	"ENSG00000250722"	0.0387856862499469	0	2	2	0.0567176935811746	1	1
"ENSG00000187514"	"ENSG00000187514"	6.59734448276018e-09	0	2	2	-0.0561699899879654	1	1
"ENSG00000143621"	"ENSG00000143621"	0.0102139996690423	0	2	2	-0.0552050329822575	1	1
"ENSG00000140391"	"ENSG00000140391"	0.000939455313241449	0	2	2	0.0540645895002668	1	1
"ENSG00000196139"	"ENSG00000196139"	6.51831857099424e-08	0	2	2	-0.047762593056858	1	1
"ENSG00000104904"	"ENSG00000104904"	0.000729021367250169	0	2	2	-0.0449929150765679	1	1
"ENSG00000108602"	"ENSG00000108602"	0.00293621417873893	0	2	2	-0.0399403859766717	1	1
"ENSG00000111640"	"ENSG00000111640"	2.03914923829963e-05	0	2	2	-0.03962154808095	1	1
"ENSG00000006327"	"ENSG00000006327"	0.00639281723208556	0	2	2	0.0383881310027504	1	1
"ENSG00000184009"	"ENSG00000184009"	0.000236050001252553	0	2	2	0.0322781930593448	1	1
"ENSG00000089157"	"ENSG00000089157"	0.0155971742721884	0	2	2	-0.0210129669206183	1	1
"ENSG00000088986"	"ENSG00000088986"	0.034988553616145	0	2	2	0.0209529997015268	1	1
"ENSG00000164919"	"ENSG00000164919"	3.83236365479607e-236	1.99886545992144e-236	4	2	0.850231747137595	1	1
"ENSG00000196754"	"ENSG00000196754"	3.83236365479607e-236	2.90769222018563e-197	5	1	0.794198492173108	1	1
"ENSG00000089356"	"ENSG00000089356"	1.63645874208649e-188	1.93990489545369e-180	3	2	0.45626626052591	1	1
"ENSG00000143416"	"ENSG00000143416"	7.36040029393241e-163	9.03399170609495e-108	4	1	-0.806215477649657	1	1
"ENSG00000104408"	"ENSG00000104408"	4.54996583848749e-217	3.84776213911936e-100	5	1	-0.872412551116751	1	1
"ENSG00000174748"	"ENSG00000174748"	3.83236365479607e-236	3.00122078672197e-93	5	2	-0.791044175871861	1	1
"ENSG00000104529"	"ENSG00000104529"	3.20211006072655e-100	1.5143827903034e-85	3	2	0.427769216758783	1	1
"ENSG00000114125"	"ENSG00000114125"	3.75929220071571e-89	6.40706380942698e-78	5	2	0.656687550472342	1	1
