"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",5.68748522987371e-201,1,3,0,-0.994109318192181,1,1
"ENSG00000104388",2.24951021644538e-14,0.0257638245482749,3,1,0.988648983518599,1,0.5
"ENSG00000159128",1.06962427930682e-28,1,4,0,-0.983351802256495,1,0.5
"ENSG00000017797",4.44809545138661e-13,2.59084099995126e-05,3,1,0.975165026329266,1,0.666666666666667
"ENSG00000196683",7.06761889538511e-123,1.20127182612245e-09,3,1,-0.97298110686862,1,0.833333333333333
"ENSG00000130985",5.60219839880089e-23,1,4,0,0.970587846045472,1,0.666666666666667
"ENSG00000104408",8.00525610443594e-48,1,3,0,-0.955998731980775,1,0.833333333333333
"ENSG00000144028",5.91122807488334e-13,1,4,0,0.95454474614133,1,0.666666666666667
"ENSG00000147403",5.68748522987371e-201,4.08926223037863e-75,6,3,0.947731382230861,1,1
"ENSG00000229833",7.70348480727506e-40,1,3,0,0.934100112485932,1,1
"ENSG00000169375",7.98514449756067e-06,1,5,0,0.933332166879667,0.833333333333333,0.5
"ENSG00000211450",2.56964137882499e-71,7.79675588036145e-42,3,1,0.931077340924182,1,1
"ENSG00000152056",0.00234699483512135,1,3,0,-0.921215256466994,0.833333333333333,0.5
"ENSG00000111605",5.75803987592572e-08,1,3,0,0.919870756932023,0.833333333333333,0.5
"ENSG00000185787",7.70925028124604e-29,1,6,0,0.917722390260292,1,0.833333333333333
"ENSG00000258818",0.00023366721344791,1,3,0,-0.917229814676932,0.833333333333333,0.5
"ENSG00000131375",4.10794888481591e-09,1,5,0,0.910595109103179,1,0.833333333333333
"ENSG00000177994",0.0111929293597663,0.724978997831331,3,0,-0.9093708762788,1,0.5
"ENSG00000120963",1.00699823144584e-23,1,5,0,0.90894681891382,1,0.5
"ENSG00000041988",0.00010272213349295,0.00595261517873405,3,1,-0.907069062725869,1,0.666666666666667
"ENSG00000198830",3.74354473727741e-33,2.63440771222516e-05,8,1,0.903624949978167,1,1
"ENSG00000115540",5.70738085609533e-05,0.836816304390305,3,0,-0.901715468664075,1,0.5
"ENSG00000137975",1.24970413833564e-12,9.93589227013356e-10,3,1,0.901018694499634,1,0.833333333333333
"ENSG00000173947",1.23743107667202e-73,1,4,0,-0.899427538937945,1,1
"ENSG00000184979",0.000237369169742525,0.876734876997159,5,0,-0.892377012618702,1,0.666666666666667
"ENSG00000170296",6.5326477288569e-09,0.000424652971866702,4,1,0.889862549080262,1,1
"ENSG00000151632",3.79165681991581e-200,1,5,0,-0.882184589015205,1,1
