"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000142327"	"ENSG00000142327"	0.0176778507184937	0	2	2	0.720950128816628	0.833333333333333	0.666666666666667
"ENSG00000038274"	"ENSG00000038274"	0.0414399243618634	0	2	2	-0.516955320368684	1	1
"ENSG00000113384"	"ENSG00000113384"	0.0320760132339131	0	2	2	0.384288759321736	1	1
"ENSG00000178741"	"ENSG00000178741"	7.53007961264591e-13	0	2	2	-0.380997630735454	1	1
"ENSG00000013275"	"ENSG00000013275"	1.19795501968963e-06	0	2	2	-0.357897075122869	1	1
"ENSG00000124802"	"ENSG00000124802"	0.0239381258973316	0	2	2	-0.302538969077934	1	1
"ENSG00000163931"	"ENSG00000163931"	9.42936168239828e-09	0	2	2	0.244369969960535	1	1
"ENSG00000132341"	"ENSG00000132341"	3.38589754258527e-14	0	2	2	-0.231029530770808	1	1
"ENSG00000163382"	"ENSG00000163382"	0.0131008006879477	0	2	2	0.226883914854856	1	1
"ENSG00000228300"	"ENSG00000228300"	0.000562508914760106	0	2	2	-0.210333715378726	1	1
"ENSG00000104164"	"ENSG00000104164"	0.000714413595557851	0	2	2	0.207106278166249	1	1
"ENSG00000184924"	"ENSG00000184924"	0.00448118306726438	0	2	2	0.19886666619528	1	1
"ENSG00000185043"	"ENSG00000185043"	1.70971310028694e-10	0	2	2	-0.190074803502147	1	1
"ENSG00000169429"	"ENSG00000169429"	0.00059100862847585	0	2	2	0.183248501526272	1	1
"ENSG00000065154"	"ENSG00000065154"	0.0160603990868672	0	2	2	-0.171368097688088	1	1
"ENSG00000100906"	"ENSG00000100906"	0.00479211665094947	0	2	2	0.154335131563454	1	1
"ENSG00000144713"	"ENSG00000144713"	4.99460025320561e-25	0	2	2	-0.140991057732143	1	1
"ENSG00000165474"	"ENSG00000165474"	0.0329661168673611	0	2	2	-0.124968628361072	1	1
