"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_5_3"	1	NA
"2"	"ENSG00000000419"	"ENST00000371582"	1	NA
"3"	"ENSG00000000419"	"ENST00000371584"	1	NA
"4"	"ENSG00000000419"	"ENST00000371588"	1	NA
"5"	"ENSG00000000419"	"ENST00000466152"	1	NA
"6"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	1	NA
"7"	"ENSG00000000971"	"ENSG00000000971_196745859_196747504_1"	1	NA
"8"	"ENSG00000000971"	"ENST00000367429"	1	NA
"9"	"ENSG00000000971"	"ENST00000496761"	1	NA
"10"	"ENSG00000000971"	"ENST00000630130"	1	NA
"11"	"ENSG00000001084"	"ENSG00000001084_53497341_53505496_1"	0.0274144146520054	1
"12"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	0.0274144146520054	1
"13"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	0.0274144146520054	1
"14"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	0.0274144146520054	1
"15"	"ENSG00000001084"	"ENSG00000001084_53498756_53545033_1"	0.0274144146520054	1
"16"	"ENSG00000001084"	"ENSG00000001084_53498756_53545101_1"	0.0274144146520054	1
"17"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	0.0274144146520054	1
"18"	"ENSG00000001461"	"ENST00000339255"	1	NA
"19"	"ENSG00000001461"	"ENST00000488155"	1	NA
"20"	"ENSG00000001497"	"ENST00000374804"	1	NA
"21"	"ENSG00000001497"	"ENST00000374807"	1	NA
"22"	"ENSG00000001497"	"ENST00000374811"	1	NA
"23"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	1	NA
"24"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1	NA
"25"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	1	NA
"26"	"ENSG00000001630"	"ENSG00000001630_92113694_92134477_1"	1	NA
"27"	"ENSG00000001630"	"ENST00000003100"	1	NA
"28"	"ENSG00000002330"	"ENSG00000002330_64269834_64284654_4"	1	NA
"29"	"ENSG00000002330"	"ENST00000309032"	1	NA
"30"	"ENSG00000002330"	"ENST00000394532"	1	NA
"31"	"ENSG00000002549"	"ENST00000226299"	0.953359427761479	NA
"32"	"ENSG00000002549"	"ENST00000512397"	0.953359427761479	NA
"33"	"ENSG00000002549"	"ENST00000606142"	0.953359427761479	NA
"34"	"ENSG00000002549"	"ENST00000618908"	0.953359427761479	NA
"35"	"ENSG00000002586"	"ENSG00000002586_2691187_2726363_1"	0.246073998710887	NA
"36"	"ENSG00000002586"	"ENSG00000002586_2691187_2741309_3_2"	0.246073998710887	NA
"37"	"ENSG00000002586"	"ENSG00000002586_2691326_2741101_1_2"	0.246073998710887	NA
"38"	"ENSG00000002586"	"ENST00000381192"	0.246073998710887	NA
"39"	"ENSG00000002586"	"ENST00000611428"	0.246073998710887	NA
"40"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	1	NA
"41"	"ENSG00000002822"	"ENSG00000002822_1815816_1886369_1"	1	NA
"42"	"ENSG00000002822"	"ENST00000399654"	1	NA
"43"	"ENSG00000003056"	"ENST00000000412"	0.555728560619997	NA
"44"	"ENSG00000003056"	"ENST00000536844"	0.555728560619997	NA
"45"	"ENSG00000003056"	"ENST00000541507"	0.555728560619997	NA
"46"	"ENSG00000003402"	"ENSG00000003402_201115936_201141602_1"	1	NA
"47"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	1	NA
"48"	"ENSG00000003402"	"ENSG00000003402_201116167_201164279_1"	1	NA
"49"	"ENSG00000003402"	"ENSG00000003402_201116407_201141598_1"	1	NA
"50"	"ENSG00000003402"	"ENSG00000003402_201118664_201119177_1"	1	NA
"51"	"ENSG00000003402"	"ENST00000341222"	1	NA
"52"	"ENSG00000003402"	"ENST00000443227"	1	NA
"53"	"ENSG00000003402"	"ENST00000470664"	1	NA
