"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000143947"	"ENSG00000143947"	3.96700780130568e-55	0	2	2	0.462891530511589	1	1
"ENSG00000057149"	"ENSG00000057149"	0.0167562387288519	0	2	2	0.053276771834598	1	1
"ENSG00000197353"	"ENSG00000197353"	0.0235003389030047	0	2	2	-0.0377953040862082	1	1
"ENSG00000152082"	"ENSG00000152082"	5.31675158124121e-39	4.3765214872701e-37	5	1	0.940607979404978	1	0.8
"ENSG00000147403"	"ENSG00000147403"	1.48614014415285e-89	3.40383387706282e-27	7	2	0.916416515256162	1	1
"ENSG00000164919"	"ENSG00000164919"	1.15328839916628e-25	1.22522362034903e-25	5	2	0.773082760690585	1	1
"ENSG00000196754"	"ENSG00000196754"	4.0355958443159e-72	4.7400829417325e-24	6	2	0.797335972918674	1	1
"ENSG00000122026"	"ENSG00000122026"	7.99396689440688e-39	5.10417736247456e-20	3	1	0.368609979623347	1	1
"ENSG00000115457"	"ENSG00000115457"	1.95412628191551e-20	5.37900022193716e-18	5	1	-0.652650151053394	1	1
"ENSG00000131981"	"ENSG00000131981"	1.13612442875387e-40	3.84696129415435e-17	3	1	-0.298557885870497	1	1
"ENSG00000114942"	"ENSG00000114942"	1.48294536702537e-26	2.79794948248396e-16	3	1	0.216365669219786	1	1
"ENSG00000113732"	"ENSG00000113732"	4.3289541363724e-40	9.92989999972922e-12	4	1	-0.770968862506518	1	1
"ENSG00000130066"	"ENSG00000130066"	9.33900327145039e-21	3.46057302807375e-11	6	1	-0.348628095926524	1	1
"ENSG00000100650"	"ENSG00000100650"	5.00668491530001e-23	4.99209671008342e-11	7	1	0.518064536323132	1	1
"ENSG00000149273"	"ENSG00000149273"	4.44871727395564e-75	1.21189357607912e-10	8	1	-0.574639185430216	1	1
"ENSG00000174748"	"ENSG00000174748"	5.75913398457625e-107	1.55325249716227e-08	6	1	-0.806155448146291	1	1
"ENSG00000130429"	"ENSG00000130429"	1.33969070667043e-10	2.3053631287805e-08	5	1	0.297411391592744	1	1
