"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_VIC01_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000152082",2.05555352726425e-18,1,4,0,0.953058128743916,1,0.5
"ENSG00000168300",0.000125046532651177,1,4,0,0.932839435151263,1,0.5
"ENSG00000175575",0.0231862032774604,1,3,0,0.91823373950094,0.75,0.5
"ENSG00000152558",0.000400059300325274,1,4,0,0.916914710052674,1,0.75
"ENSG00000142627",0.00029689430132602,1,3,0,0.904009768685781,1,0.5
"ENSG00000104408",6.50618850514588e-22,1,7,0,-0.866665410475585,1,0.75
"ENSG00000245910",0.000163756122207855,1,4,0,-0.834963106799277,1,0.75
"ENSG00000120256",1.66480544182013e-06,1,3,0,0.831162028627701,1,1
"ENSG00000164062",0.0357407781360707,1,3,0,-0.817252104117013,1,0.75
"ENSG00000174748",1.44603162866677e-35,8.8325528065357e-09,5,2,-0.798822428635338,1,1
"ENSG00000187118",0.00131460204708641,1,6,0,0.796343038627017,1,1
"ENSG00000196754",1.91657447565392e-57,1.58698519345214e-20,7,2,0.774783641005911,1,1
"ENSG00000257727",0.000886557255448228,0.00230506033444935,4,1,-0.774474151706937,1,1
"ENSG00000070831",1.23604959652407e-18,1,3,0,0.773148564890587,1,1
"ENSG00000164919",4.35333256210864e-17,7.45998541865356e-19,5,2,0.767171888891495,1,1
"ENSG00000260916",0.0181905068100162,1,5,0,-0.763469368148581,1,0.75
"ENSG00000102054",0.00153148871655644,1,4,0,0.744133264444141,1,0.75
"ENSG00000185787",9.01211007473289e-07,1,11,0,0.735841342273354,1,0.5
"ENSG00000143622",0.041620511496252,0.0415564790157138,6,1,0.73305612182152,1,1
"ENSG00000143416",0.000163756122207855,1,6,0,0.722178356932401,1,0.75
"ENSG00000114125",0.000520567518628951,1,4,0,0.720648828348874,1,1
"ENSG00000163882",0.0132198776509436,0.408708768584417,5,0,-0.715182999465585,1,0.75
"ENSG00000078369",0.00647156044465483,1,4,0,0.708052924430558,1,0.75
"ENSG00000165175",0.0293274515942408,1,4,0,0.66920542151223,1,0.75
"ENSG00000130414",4.38321242969e-05,0.00419493815001897,5,1,0.66408904587608,1,1
"ENSG00000142973",1.09352944146003e-40,1,8,0,-0.642619211177871,1,0.75
"ENSG00000120738",0.00654578148817237,0.0384142075887467,3,1,0.632305279747264,1,1
"ENSG00000184709",0.00685968628642326,1,3,0,0.63180176014833,1,1
"ENSG00000173457",1.71273998114644e-08,0.000343715279681355,3,1,0.631375422440413,1,1
"ENSG00000138119",0.0293274515942408,1,5,0,-0.622612734417944,1,0.75
"ENSG00000196937",0.0269938665989348,0.131330564353279,3,0,0.605702178874465,1,1
"ENSG00000051620",1.21198469063067e-09,6.76097946302799e-07,5,1,0.592591915970321,1,1
"ENSG00000118181",3.36791617659275e-57,1,3,0,0.592415925012837,1,1
"ENSG00000189403",4.60789335986369e-20,1,7,0,0.591553872550387,1,1
"ENSG00000162772",0.0410829217071697,0.295709269670736,4,0,0.571693407491188,1,1
"ENSG00000117395",0.032414215370146,0.167114433201063,6,0,0.570058278526148,1,0.75
"ENSG00000115457",4.62019997984812e-23,9.24098347008004e-25,5,2,-0.562954229848967,1,1
"ENSG00000090263",7.6286779837215e-08,1,7,0,-0.556793866281609,1,0.75
"ENSG00000173486",1.56415294467824e-05,2.57020465637382e-05,4,1,0.533651254623956,1,1
"ENSG00000088832",0.00496729040283158,0.0122874613397085,4,1,0.532512379317767,1,1
"ENSG00000021355",0.0466519923897005,1,7,0,-0.526263130219927,1,1
