"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000178741"	"ENSG00000178741"	4.00833728643777e-08	0	2	2	-0.370566729599199	1	1
"ENSG00000163931"	"ENSG00000163931"	0.000339949603868522	0	2	2	-0.269909473776592	1	1
"ENSG00000100906"	"ENSG00000100906"	0.0207438849587766	0	2	2	0.200831368225637	1	1
"ENSG00000132341"	"ENSG00000132341"	4.28607830370482e-06	0	2	2	-0.20000724212711	1	1
"ENSG00000144713"	"ENSG00000144713"	1.17759072418767e-19	0	2	2	-0.134281415128349	1	1
"ENSG00000185043"	"ENSG00000185043"	0.0193877704538969	0	2	2	-0.12124362733058	1	1
"ENSG00000241343"	"ENSG00000241343"	0.00148675050183839	0	2	2	0.101431285048966	1	1
"ENSG00000174021"	"ENSG00000174021"	0.0416539620261772	0	2	2	0.0507684582008319	1	1
"ENSG00000108298"	"ENSG00000108298"	0.0326027285499017	0	2	2	0.0286758241251799	1	1
"ENSG00000147403"	"ENSG00000147403"	2.9365555979573e-244	2.45432069810733e-47	7	2	0.956203824214143	1	1
"ENSG00000167996"	"ENSG00000167996"	1.60817420641451e-51	2.82059364510789e-39	4	1	-0.365689960420331	1	1
"ENSG00000211450"	"ENSG00000211450"	1.95985190823981e-46	8.56833122185952e-33	4	1	0.906945491160231	1	1
"ENSG00000089356"	"ENSG00000089356"	1.64009010993923e-30	1.47910108199267e-32	5	2	-0.427202072724375	1	1
"ENSG00000122026"	"ENSG00000122026"	6.1877437307932e-49	1.10878152852412e-28	3	1	-0.39099512936708	1	1
"ENSG00000130429"	"ENSG00000130429"	3.57595953405105e-31	1.31967625184789e-21	4	1	-0.468961931963064	1	1
"ENSG00000163435"	"ENSG00000163435"	2.01837152071679e-113	3.22402086622168e-18	5	1	0.651470077209985	1	1
"ENSG00000143198"	"ENSG00000143198"	3.99729369687755e-28	1.94945845817426e-12	5	1	0.468760725670093	1	1
"ENSG00000170477"	"ENSG00000170477"	6.85359708900619e-26	1.66246643995275e-11	5	1	-0.407680638347775	1	1
"ENSG00000130414"	"ENSG00000130414"	1.19642855341565e-13	1.85911290611923e-11	3	1	-0.722343822049033	1	1
"ENSG00000160180"	"ENSG00000160180"	4.246223828943e-11	6.45057119680740e-11	3	1	0.46785134521439	1	1
"ENSG00000104529"	"ENSG00000104529"	6.5457932485212e-09	1.8234394596117e-09	6	2	-0.471448413152666	1	1
"ENSG00000166165"	"ENSG00000166165"	2.06637368130609e-10	4.68475008061398e-08	4	1	-0.191460010431552	1	1
"ENSG00000105519"	"ENSG00000105519"	2.46971856147449e-12	5.89255868654681e-08	12	1	-0.47487535525171	1	1
"ENSG00000203875"	"ENSG00000203875"	2.97839531685838e-05	1.67415182007868e-07	8	1	0.432296662185494	1	1
"ENSG00000125868"	"ENSG00000125868"	3.44248591310354e-08	3.32255666488529e-07	3	1	0.373922594671533	1	1
"ENSG00000110492"	"ENSG00000110492"	2.73460266923099e-14	1.06036847266394e-06	6	1	-0.362713898711891	1	1
"ENSG00000144381"	"ENSG00000144381"	5.7737958659293e-08	2.36365021237335e-06	3	1	0.485131109855062	1	1
"ENSG00000110958"	"ENSG00000110958"	1.15447499708467e-14	3.48080504675504e-06	5	1	0.377049175452983	1	1
"ENSG00000137975"	"ENSG00000137975"	7.63506611949246e-10	6.46468503847729e-06	3	1	0.921315782884715	1	0.8
"ENSG00000100575"	"ENSG00000100575"	1.61608475254445e-05	6.6087586811624e-06	4	1	-0.837029046232816	1	0.8
