"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_5_3"	0.333910004486811	NA
"2"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	0.333910004486811	NA
"3"	"ENSG00000000419"	"ENSG00000000419_50934945_50958532_2_2"	0.333910004486811	NA
"4"	"ENSG00000000419"	"ENST00000371582"	0.333910004486811	NA
"5"	"ENSG00000000419"	"ENST00000371588"	0.333910004486811	NA
"6"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	1	NA
"7"	"ENSG00000000971"	"ENSG00000000971_196745859_196747504_1"	1	NA
"8"	"ENSG00000000971"	"ENST00000367429"	1	NA
"9"	"ENSG00000000971"	"ENST00000630130"	1	NA
"10"	"ENSG00000001084"	"ENSG00000001084_53497341_53505496_1"	1.31498185038193e-05	1
"11"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	1.31498185038193e-05	1
"12"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	1.31498185038193e-05	1
"13"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	1.31498185038193e-05	1
"14"	"ENSG00000001084"	"ENSG00000001084_53498756_53545033_1"	1.31498185038193e-05	1
"15"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	1.31498185038193e-05	1
"16"	"ENSG00000001084"	"ENST00000650454"	1.31498185038193e-05	1
"17"	"ENSG00000001461"	"ENST00000339255"	1	NA
"18"	"ENSG00000001461"	"ENST00000488155"	1	NA
"19"	"ENSG00000001497"	"ENST00000374804"	1	NA
"20"	"ENSG00000001497"	"ENST00000374807"	1	NA
"21"	"ENSG00000001497"	"ENST00000374811"	1	NA
"22"	"ENSG00000001497"	"ENST00000469091"	1	NA
"23"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	1	NA
"24"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1	NA
"25"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	1	NA
"26"	"ENSG00000001630"	"ENST00000003100"	1	NA
"27"	"ENSG00000001630"	"ENST00000450723"	1	NA
"28"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_10"	1	NA
