"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Goblet_UK_72hpi_child_Infected-Goblet_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000143947"	"ENSG00000143947"	1.51889734948218e-14	0	2	2	0.413948178372697	1	1
"ENSG00000080824"	"ENSG00000080824"	0.0140728365425343	0	2	2	-0.315952349453896	1	1
"ENSG00000119655"	"ENSG00000119655"	0.00342894685645277	0	2	2	0.163767444320414	1	1
"ENSG00000161798"	"ENSG00000161798"	0.0123548667857258	0	2	2	0.0836658265223115	1	1
"ENSG00000144713"	"ENSG00000144713"	6.34896315240351e-06	0	2	2	-0.0468778433452064	1	1
"ENSG00000147403"	"ENSG00000147403"	1.31442445674445e-234	3.20977407031617e-54	8	2	0.929324690883488	1	1
"ENSG00000164919"	"ENSG00000164919"	5.15022698236081e-47	4.20873423840481e-46	4	2	0.735560317558155	1	1
"ENSG00000131981"	"ENSG00000131981"	5.28039681666532e-44	3.7095603822077e-26	3	1	-0.283179151367315	1	1
"ENSG00000152082"	"ENSG00000152082"	5.3308220935278e-27	6.33361607657088e-23	4	1	0.895418889471324	1	1
"ENSG00000196754"	"ENSG00000196754"	2.12801418898169e-67	4.35054226267507e-22	5	2	0.788463598227694	1	1
"ENSG00000122026"	"ENSG00000122026"	2.19020971840698e-65	7.48145688971138e-22	3	1	0.362572008356582	1	1
"ENSG00000163435"	"ENSG00000163435"	4.83476571336534e-57	1.6087128825223e-13	5	2	0.538103144093576	1	1
"ENSG00000114942"	"ENSG00000114942"	1.16697281585154e-15	2.31956449141098e-11	3	1	0.222895407849935	1	1
"ENSG00000178741"	"ENSG00000178741"	5.42662050795481e-16	5.53274814573611e-10	3	1	0.463453273494955	1	1
"ENSG00000173812"	"ENSG00000173812"	2.60500575963116e-10	7.69829960608509e-09	5	2	-0.292582177734246	1	1
"ENSG00000173486"	"ENSG00000173486"	7.43557442842996e-12	1.11412670994174e-08	5	1	-0.551773676069612	1	1
"ENSG00000113732"	"ENSG00000113732"	1.53865352090693e-29	3.04230409778495e-08	3	1	-0.7369583400481	1	1
"ENSG00000204711"	"ENSG00000204711"	5.76495409566934e-07	3.37825456067402e-08	6	1	0.614358178680129	1	0.8
"ENSG00000174748"	"ENSG00000174748"	8.13158548361247e-118	9.31181024337076e-08	7	1	-0.765890999559104	1	1
"ENSG00000101608"	"ENSG00000101608"	2.55702609200158e-13	9.34945144586231e-08	5	1	-0.838591832721258	1	1
"ENSG00000067167"	"ENSG00000067167"	9.57251853399949e-08	5.88894231506444e-07	5	1	-0.859585703866992	1	0.8
"ENSG00000100650"	"ENSG00000100650"	2.909862489211e-12	7.05033671843923e-07	8	1	0.506672444981669	1	1
"ENSG00000168003"	"ENSG00000168003"	2.3409923179069e-10	1.49888270128884e-06	6	1	0.573051060591291	1	1
"ENSG00000174444"	"ENSG00000174444"	3.33926359666779e-07	2.25457719998844e-06	3	1	-0.945711807908778	1	0.8
"ENSG00000137818"	"ENSG00000137818"	2.34099342893584e-05	1.04180817692181e-05	3	2	0.225681073111492	1	1
"ENSG00000163584"	"ENSG00000163584"	1.24997814608273e-10	6.70233465278709e-05	4	1	0.357586783996101	1	1
"ENSG00000130066"	"ENSG00000130066"	3.77110480060671e-13	0.000120733926329952	6	1	-0.255863653707927	1	1
"ENSG00000167642"	"ENSG00000167642"	0.00458640832759128	0.000728990345130375	3	1	0.233468415614771	1	1
"ENSG00000079462"	"ENSG00000079462"	1.96371688544456e-05	0.00077352929800851	8	1	-0.614822789380027	1	0.8
"ENSG00000115457"	"ENSG00000115457"	1.44097110276692e-06	0.00113663775752137	6	1	-0.562543289826639	1	1
"ENSG00000168268"	"ENSG00000168268"	0.00792502224018042	0.00153646785165226	3	1	0.74209110637243	1	0.8
"ENSG00000067225"	"ENSG00000067225"	2.42076129241293e-09	0.00189364983182198	6	1	-0.401818903513608	1	1
"ENSG00000257698"	"ENSG00000257698"	1.74854592880615e-05	0.00325288884508965	8	1	0.55876871016069	0.8	0.6
"ENSG00000163399"	"ENSG00000163399"	6.01719592947856e-05	0.00521019025482307	6	1	-0.607638892018262	1	1
"ENSG00000139835"	"ENSG00000139835"	0.0311863510645376	0.00534652902840122	4	1	0.568203396055386	1	0.8
"ENSG00000185567"	"ENSG00000185567"	7.78172133965557e-05	0.00680416043164306	5	1	-0.764594893047053	1	1
"ENSG00000186395"	"ENSG00000186395"	0.00071419259935464	0.00756031570442727	5	1	0.673702613979527	1	0.6
"ENSG00000132274"	"ENSG00000132274"	0.0159116306142409	0.0114069206208647	5	1	0.696914006726644	0.8	0.8
"ENSG00000109971"	"ENSG00000109971"	0.00018153956977692	0.0118561474705873	5	1	-0.195118299195617	1	1
"ENSG00000150787"	"ENSG00000150787"	3.44631651398667e-09	0.0156937325728471	4	1	0.93541633873164	0.8	0.8
"ENSG00000149273"	"ENSG00000149273"	1.37514924699396e-18	0.0248997327682896	8	1	-0.582860249879378	1	0.8
"ENSG00000116285"	"ENSG00000116285"	0.000398149508982144	0.0324560190823904	3	1	-0.695402872902245	1	1
"ENSG00000135363"	"ENSG00000135363"	9.53660194701306e-05	0.0326605113658709	7	1	0.541259905324767	1	0.6
"ENSG00000143222"	"ENSG00000143222"	2.81691985602138e-10	0.0345116347243465	5	1	0.236352494869101	1	1
"ENSG00000185043"	"ENSG00000185043"	0.0260042671134687	0.0462141354861159	4	1	-0.21667603608708	1	1
"ENSG00000125944"	"ENSG00000125944"	1.22035637956271e-08	0.0482800933659533	12	1	0.324605242386071	1	1
"ENSG00000158747"	"ENSG00000158747"	0.000296430110336411	0.0485772556229204	6	1	0.629795374772953	1	1
"ENSG00000160180"	"ENSG00000160180"	0.0217171620020939	0.0492505664607278	4	1	-0.328968382273508	1	1
