"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_UK_72hpi_adult_Infected-Secretory_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000142327"	"ENSG00000142327"	9.2137450967172e-05	0	2	2	0.638031042899026	1	0.833333333333333
"ENSG00000119471"	"ENSG00000119471"	0.016102354667534	0	2	2	0.528207902291783	1	1
"ENSG00000180881"	"ENSG00000180881"	0.000793944117753836	0	2	2	-0.512574348925289	1	1
"ENSG00000198466"	"ENSG00000198466"	0.00535908514758664	0	2	2	0.508468727001442	1	0.833333333333333
"ENSG00000151491"	"ENSG00000151491"	0.000825299793890643	0	2	2	-0.442689714377536	1	1
"ENSG00000119760"	"ENSG00000119760"	0.00990281894756567	0	2	2	-0.433389650572807	1	1
"ENSG00000178741"	"ENSG00000178741"	3.81654117490948e-71	0	2	2	-0.425727963800855	1	1
"ENSG00000179813"	"ENSG00000179813"	0.0132948166085543	0	2	2	-0.422744497779522	1	1
"ENSG00000111671"	"ENSG00000111671"	0.0102723169110966	0	2	2	-0.408345079689637	1	1
"ENSG00000142867"	"ENSG00000142867"	2.92618964520278e-06	0	2	2	-0.402619743394819	1	1
"ENSG00000106290"	"ENSG00000106290"	0.018958430337294	0	2	2	0.375319639094277	1	1
"ENSG00000168077"	"ENSG00000168077"	0.00176187739025873	0	2	2	-0.364572148660671	1	1
"ENSG00000108468"	"ENSG00000108468"	0.0158777552067891	0	2	2	-0.344493636404359	1	1
"ENSG00000169372"	"ENSG00000169372"	0.00632424974762776	0	2	2	-0.343555275459517	1	1
"ENSG00000113811"	"ENSG00000113811"	1.04312841984987e-06	0	2	2	0.31720898021372	1	1
"ENSG00000147592"	"ENSG00000147592"	0.000721715004668251	0	2	2	0.307512252041173	1	1
"ENSG00000114395"	"ENSG00000114395"	0.00690267332175131	0	2	2	-0.306429316712781	1	1
"ENSG00000132275"	"ENSG00000132275"	0.049899733830096	0	2	2	0.298625932810985	1	1
"ENSG00000175895"	"ENSG00000175895"	0.0179157924681774	0	2	2	0.295812654987544	1	1
"ENSG00000163931"	"ENSG00000163931"	2.04994084701779e-31	0	2	2	-0.265996924097257	1	1
"ENSG00000013275"	"ENSG00000013275"	2.99458688438818e-13	0	2	2	-0.263629096377523	1	1
"ENSG00000085117"	"ENSG00000085117"	6.91065461788054e-10	0	2	2	-0.259485494247263	1	1
"ENSG00000213523"	"ENSG00000213523"	2.911278294993e-06	0	2	2	-0.25706651525837	1	1
"ENSG00000130592"	"ENSG00000130592"	0.0330667574629304	0	2	2	-0.256514381990475	1	1
"ENSG00000131188"	"ENSG00000131188"	0.00492168375624547	0	2	2	-0.221929440567786	1	1
"ENSG00000100162"	"ENSG00000100162"	0.0400141266107686	0	2	2	0.218761508691862	1	1
"ENSG00000145088"	"ENSG00000145088"	0.0213407906738055	0	2	2	-0.218190946572032	1	1
"ENSG00000184924"	"ENSG00000184924"	2.21303598847635e-09	0	2	2	0.21449024766733	1	1
