"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000189377"	"ENSG00000189377"	7.57084265670486e-13	0	2	2	0.730765035978961	1	1
"ENSG00000144579"	"ENSG00000144579"	0.000355281770815247	0	2	2	0.629386822027736	0.833333333333333	0.833333333333333
"ENSG00000129194"	"ENSG00000129194"	9.35497221799442e-07	0	2	2	0.591772246649865	1	1
"ENSG00000137269"	"ENSG00000137269"	0.0153905046954828	0	2	2	-0.572772305119545	1	0.833333333333333
"ENSG00000133275"	"ENSG00000133275"	0.000122838269781749	0	2	2	-0.543830688617232	1	1
"ENSG00000164494"	"ENSG00000164494"	0.0156468518422549	0	2	2	-0.47269155979869	1	1
"ENSG00000143947"	"ENSG00000143947"	5.18760217755973e-316	0	2	2	0.457185944490286	1	1
"ENSG00000055211"	"ENSG00000055211"	1.78642378969078e-05	0	2	2	0.415127301601901	1	1
"ENSG00000140876"	"ENSG00000140876"	0.0286685317529938	0	2	2	-0.409969394224887	0.833333333333333	0.833333333333333
"ENSG00000099992"	"ENSG00000099992"	0.0416218976919249	0	2	2	-0.364979285967913	1	1
"ENSG00000185262"	"ENSG00000185262"	0.00079255787228017	0	2	2	0.352752018024192	1	1
"ENSG00000124226"	"ENSG00000124226"	0.0108797242482471	0	2	2	0.351851235725233	1	1
"ENSG00000197746"	"ENSG00000197746"	0.0425937211384995	0	2	2	-0.287666696532272	1	1
"ENSG00000071553"	"ENSG00000071553"	0.00192295282260228	0	2	2	0.278326892929309	1	1
"ENSG00000181458"	"ENSG00000181458"	0.0111470322479323	0	2	2	-0.268158864999023	1	1
"ENSG00000109321"	"ENSG00000109321"	0.0398532221253031	0	2	2	0.261173111068145	1	1
"ENSG00000142409"	"ENSG00000142409"	0.00501367923793684	0	2	2	0.257639353700309	1	1
"ENSG00000158864"	"ENSG00000158864"	6.77952955823897e-05	0	2	2	-0.255557900497173	1	1
"ENSG00000013275"	"ENSG00000013275"	8.64059632505704e-09	0	2	2	0.246453554425003	1	1
"ENSG00000169756"	"ENSG00000169756"	0.0247927908054303	0	2	2	0.244838223172542	1	1
"ENSG00000140395"	"ENSG00000140395"	0.000168509477740911	0	2	2	0.239160696153589	1	1
