"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	0.0955839616501983	NA
"2"	"ENSG00000000419"	"ENST00000371582"	0.0955839616501983	NA
"3"	"ENSG00000000419"	"ENST00000371588"	0.0955839616501983	NA
"4"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	0.416245738785136	NA
"5"	"ENSG00000000971"	"ENSG00000000971_196745859_196747504_1"	0.416245738785136	NA
"6"	"ENSG00000000971"	"ENST00000367429"	0.416245738785136	NA
"7"	"ENSG00000000971"	"ENST00000496761"	0.416245738785136	NA
"8"	"ENSG00000000971"	"ENST00000630130"	0.416245738785136	NA
"9"	"ENSG00000001084"	"ENSG00000001084_53497341_53505496_1"	5.90105316282161e-24	1
"10"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	5.90105316282161e-24	1
"11"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	5.90105316282161e-24	0.0024512284385435
"12"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	5.90105316282161e-24	1
"13"	"ENSG00000001084"	"ENSG00000001084_53498756_53545101_1"	5.90105316282161e-24	1
"14"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	5.90105316282161e-24	1
"15"	"ENSG00000001461"	"ENST00000339255"	0.718923512418178	NA
"16"	"ENSG00000001461"	"ENST00000488155"	0.718923512418178	NA
"17"	"ENSG00000001497"	"ENST00000374804"	0.506169257640464	NA
"18"	"ENSG00000001497"	"ENST00000374807"	0.506169257640464	NA
"19"	"ENSG00000001497"	"ENST00000374811"	0.506169257640464	NA
"20"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	1.47774295214082e-16	1
"21"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1.47774295214082e-16	1
"22"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	1.47774295214082e-16	1
"23"	"ENSG00000001630"	"ENST00000003100"	1.47774295214082e-16	2.81860943300298e-08
"24"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	0.0503262428388702	NA
"25"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	0.0503262428388702	NA
"26"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	0.0503262428388702	NA
"27"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	0.0503262428388702	NA
"28"	"ENSG00000001631"	"ENST00000425919"	0.0503262428388702	NA
"29"	"ENSG00000001631"	"ENST00000444960"	0.0503262428388702	NA
"30"	"ENSG00000001631"	"ENST00000452773"	0.0503262428388702	NA
"31"	"ENSG00000002330"	"ENST00000309032"	0.248757032572018	NA
"32"	"ENSG00000002330"	"ENST00000394532"	0.248757032572018	NA
"33"	"ENSG00000002549"	"ENST00000226299"	1	NA
"34"	"ENSG00000002549"	"ENST00000606142"	1	NA
"35"	"ENSG00000002549"	"ENST00000618908"	1	NA
"36"	"ENSG00000002586"	"ENSG00000002586_2691187_2726363_1"	1.63503373761087e-05	1
"37"	"ENSG00000002586"	"ENST00000381192"	1.63503373761087e-05	0.00789723715170279
"38"	"ENSG00000002586"	"ENST00000611428"	1.63503373761087e-05	1
"39"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_2"	0.276899560661217	NA
"40"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	0.276899560661217	NA
"41"	"ENSG00000002822"	"ENST00000399654"	0.276899560661217	NA
"42"	"ENSG00000002822"	"ENST00000406869"	0.276899560661217	NA
"43"	"ENSG00000002834"	"ENSG00000002834_38870061_38916837_1"	1	NA
"44"	"ENSG00000002834"	"ENST00000318008"	1	NA
"45"	"ENSG00000002834"	"ENST00000435347"	1	NA
"46"	"ENSG00000002834"	"ENST00000579123"	1	NA
"47"	"ENSG00000003056"	"ENST00000000412"	0.0568810618562828	NA
"48"	"ENSG00000003056"	"ENST00000536844"	0.0568810618562828	NA
"49"	"ENSG00000003056"	"ENST00000541507"	0.0568810618562828	NA
"50"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_1"	1	NA
"51"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_2"	1	NA
"52"	"ENSG00000003147"	"ENST00000265577"	1	NA
"53"	"ENSG00000003147"	"ENST00000402384"	1	NA
"54"	"ENSG00000003402"	"ENSG00000003402_201115936_201141602_1"	1	NA
"55"	"ENSG00000003402"	"ENSG00000003402_201115936_201149835_1"	1	NA
"56"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	1	NA
"57"	"ENSG00000003402"	"ENSG00000003402_201116167_201164279_1"	1	NA
"58"	"ENSG00000003402"	"ENSG00000003402_201116407_201141598_1"	1	NA
"59"	"ENSG00000003402"	"ENSG00000003402_201116407_201164279_1"	1	NA
"60"	"ENSG00000003402"	"ENSG00000003402_201118664_201164279_1"	1	NA
"61"	"ENSG00000003402"	"ENST00000341222"	1	NA
"62"	"ENSG00000003402"	"ENST00000490965"	1	NA
"63"	"ENSG00000003756"	"ENSG00000003756_50115512_50118957_1"	2.0072663762861e-08	1
"64"	"ENSG00000003756"	"ENSG00000003756_50117144_50118957_1"	2.0072663762861e-08	1
"65"	"ENSG00000003756"	"ENST00000347869"	2.0072663762861e-08	0.755992936666808
"66"	"ENSG00000003756"	"ENST00000469838"	2.0072663762861e-08	1
"67"	"ENSG00000003756"	"ENST00000492472"	2.0072663762861e-08	1
"68"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_1"	0.0326838510708709	1
"69"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_3"	0.0326838510708709	1
"70"	"ENSG00000004455"	"ENSG00000004455_33013044_33037004_1"	0.0326838510708709	1
"71"	"ENSG00000004455"	"ENST00000480134"	0.0326838510708709	1
"72"	"ENSG00000004487"	"ENST00000356634"	1	NA
"73"	"ENSG00000004487"	"ENST00000465864"	1	NA
"74"	"ENSG00000004534"	"ENSG00000004534_49940151_50077249_1"	0.0814566439361637	NA
"75"	"ENSG00000004534"	"ENSG00000004534_50061585_50066442_1"	0.0814566439361637	NA
"76"	"ENSG00000004534"	"ENSG00000004534_50061998_50077249_1"	0.0814566439361637	NA
"77"	"ENSG00000004534"	"ENST00000422955"	0.0814566439361637	NA
"78"	"ENSG00000004534"	"ENST00000425608"	0.0814566439361637	NA
"79"	"ENSG00000004534"	"ENST00000442092"	0.0814566439361637	NA
"80"	"ENSG00000004534"	"ENST00000483350"	0.0814566439361637	NA
"81"	"ENSG00000004534"	"ENST00000493652"	0.0814566439361637	NA
"82"	"ENSG00000004766"	"ENSG00000004766_93232369_93359025_1"	1	NA
"83"	"ENSG00000004766"	"ENST00000251739"	1	NA
"84"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_3_2"	0.000677173485641075	1
"85"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_5_2"	0.000677173485641075	1
"86"	"ENSG00000004838"	"ENST00000231749"	0.000677173485641075	1
"87"	"ENSG00000004866"	"ENSG00000004866_116953503_117230103_2"	0.485790023524758	NA
"88"	"ENSG00000004866"	"ENST00000323984"	0.485790023524758	NA
"89"	"ENSG00000004866"	"ENST00000393451"	0.485790023524758	NA
"90"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_1"	4.80490677240656e-23	1
"91"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_2"	4.80490677240656e-23	1
"92"	"ENSG00000004961"	"ENSG00000004961_11111342_11121879_2"	4.80490677240656e-23	1
"93"	"ENSG00000004961"	"ENST00000321143"	4.80490677240656e-23	1
"94"	"ENSG00000004961"	"ENST00000380762"	4.80490677240656e-23	0.00131533995944623
"95"	"ENSG00000004975"	"ENSG00000004975_7225342_7234223_1"	0.0246300816292634	1
"96"	"ENSG00000004975"	"ENSG00000004975_7225342_7234308_1"	0.0246300816292634	1
"97"	"ENSG00000004975"	"ENSG00000004975_7225342_7234517_1"	0.0246300816292634	1
"98"	"ENSG00000004975"	"ENST00000005340"	0.0246300816292634	1
"99"	"ENSG00000005001"	"ENSG00000005001_2852730_2858170_6_1"	0.0179502752330626	1
"100"	"ENSG00000005001"	"ENSG00000005001_2852730_2858726_1"	0.0179502752330626	1
"101"	"ENSG00000005001"	"ENST00000161006"	0.0179502752330626	1
"102"	"ENSG00000005156"	"ENSG00000005156_34991051_35004805_1"	1	NA
"103"	"ENSG00000005156"	"ENSG00000005156_34992659_35004804_1"	1	NA
"104"	"ENSG00000005175"	"ENSG00000005175_47663290_47706030_1"	1.71660969591851e-05	1
"105"	"ENSG00000005175"	"ENSG00000005175_47663293_47670203_1"	1.71660969591851e-05	1
"106"	"ENSG00000005175"	"ENSG00000005175_47663293_47706030_1"	1.71660969591851e-05	1
"107"	"ENSG00000005175"	"ENST00000380650"	1.71660969591851e-05	1
"108"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_2"	0.149923505257088	NA
"109"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_3_1"	0.149923505257088	NA
"110"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_3_2"	0.149923505257088	NA
"111"	"ENSG00000005194"	"ENST00000394391"	0.149923505257088	NA
"112"	"ENSG00000005194"	"ENST00000567518"	0.149923505257088	NA
"113"	"ENSG00000005194"	"ENST00000569370"	0.149923505257088	NA
"114"	"ENSG00000005206"	"ENSG00000005206_2328696_2341956_1"	0.730588520388579	NA
"115"	"ENSG00000005206"	"ENSG00000005206_2328696_2353933_1"	0.730588520388579	NA
"116"	"ENSG00000005206"	"ENSG00000005206_2351564_2353933_1"	0.730588520388579	NA
"117"	"ENSG00000005206"	"ENST00000589515"	0.730588520388579	NA
"118"	"ENSG00000005206"	"ENST00000610743"	0.730588520388579	NA
"119"	"ENSG00000005206"	"ENST00000618220"	0.730588520388579	NA
"120"	"ENSG00000005243"	"ENST00000583414"	1	NA
"121"	"ENSG00000005243"	"ENST00000621465"	1	NA
"122"	"ENSG00000005339"	"ENSG00000005339_3736083_3769238_1"	0.141582239822025	NA
"123"	"ENSG00000005339"	"ENSG00000005339_3736083_3770916_1"	0.141582239822025	NA
"124"	"ENSG00000005339"	"ENST00000573672"	0.141582239822025	NA
"125"	"ENSG00000005436"	"ENSG00000005436_75664419_75710919_1"	0.0157254078265905	1
"126"	"ENSG00000005436"	"ENSG00000005436_75701796_75710919_1"	0.0157254078265905	1
"127"	"ENSG00000005436"	"ENST00000409857"	0.0157254078265905	1
"128"	"ENSG00000005436"	"ENST00000470503"	0.0157254078265905	0.00686322891453421
"129"	"ENSG00000005469"	"ENSG00000005469_87345695_87369696_1"	0.000154930187050397	1
"130"	"ENSG00000005469"	"ENSG00000005469_87345695_87399481_1"	0.000154930187050397	1
"131"	"ENSG00000005469"	"ENST00000331536"	0.000154930187050397	1
"132"	"ENSG00000005469"	"ENST00000412227"	0.000154930187050397	0.0727018688351341
"133"	"ENSG00000005483"	"ENSG00000005483_105014207_105074777_1"	1	NA
"134"	"ENSG00000005483"	"ENST00000479838"	1	NA
"135"	"ENSG00000005483"	"ENST00000495267"	1	NA
"136"	"ENSG00000005486"	"ENSG00000005486_75879034_75888926_3_3"	1.30763646904387e-05	1
"137"	"ENSG00000005486"	"ENSG00000005486_75879034_75888926_4_1"	1.30763646904387e-05	1
"138"	"ENSG00000005486"	"ENSG00000005486_75879172_75888926_2_1"	1.30763646904387e-05	1
"139"	"ENSG00000005486"	"ENSG00000005486_75879172_75888926_2_2"	1.30763646904387e-05	1
"140"	"ENSG00000005486"	"ENST00000006777"	1.30763646904387e-05	0.142775280600028
"141"	"ENSG00000005486"	"ENST00000318622"	1.30763646904387e-05	1
"142"	"ENSG00000005486"	"ENST00000428119"	1.30763646904387e-05	1
"143"	"ENSG00000005801"	"ENSG00000005801_3359117_3379139_2_2"	0.23080182472441	NA
"144"	"ENSG00000005801"	"ENSG00000005801_3360344_3379139_3_3"	0.23080182472441	NA
"145"	"ENSG00000005801"	"ENSG00000005801_3360344_3379139_8"	0.23080182472441	NA
"146"	"ENSG00000005801"	"ENSG00000005801_3369241_3379162_1"	0.23080182472441	NA
"147"	"ENSG00000005801"	"ENST00000005082"	0.23080182472441	NA
"148"	"ENSG00000005801"	"ENST00000526601"	0.23080182472441	NA
"149"	"ENSG00000005812"	"ENSG00000005812_77005260_77027159_1"	1	NA
"150"	"ENSG00000005812"	"ENST00000355619"	1	NA
"151"	"ENSG00000005882"	"ENSG00000005882_50095351_50111058_1"	0.608899913895993	NA
"152"	"ENSG00000005882"	"ENST00000505897"	0.608899913895993	NA
"153"	"ENSG00000005889"	"ENSG00000005889_24149456_24209001_3"	1	NA
"154"	"ENSG00000005889"	"ENSG00000005889_24149465_24209001_2"	1	NA
"155"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_3_1"	1	NA
"156"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_3_2"	1	NA
"157"	"ENSG00000005889"	"ENSG00000005889_24149729_24209001_7"	1	NA
"158"	"ENSG00000005889"	"ENST00000304543"	1	NA
"159"	"ENSG00000005893"	"ENSG00000005893_120430826_120468992_1"	4.72677919621853e-05	1
"160"	"ENSG00000005893"	"ENSG00000005893_120431248_120469306_1"	4.72677919621853e-05	1
"161"	"ENSG00000005893"	"ENST00000200639"	4.72677919621853e-05	1
"162"	"ENSG00000005893"	"ENST00000371335"	4.72677919621853e-05	1
"163"	"ENSG00000006007"	"ENST00000353258"	0.0523898736007372	NA
"164"	"ENSG00000006007"	"ENST00000564172"	0.0523898736007372	NA
"165"	"ENSG00000006015"	"ENST00000358607"	0.78927390823041	NA
"166"	"ENSG00000006015"	"ENST00000450195"	0.78927390823041	NA
"167"	"ENSG00000006015"	"ENST00000597371"	0.78927390823041	NA
"168"	"ENSG00000006118"	"ENSG00000006118_60924260_60937159_1"	1	NA
"169"	"ENSG00000006118"	"ENSG00000006118_60927750_60937159_1"	1	NA
"170"	"ENSG00000006118"	"ENST00000005286"	1	NA
"171"	"ENSG00000006118"	"ENST00000540112"	1	NA
"172"	"ENSG00000006194"	"ENSG00000006194_3283491_3291460_2"	1	NA
"173"	"ENSG00000006194"	"ENSG00000006194_3283506_3291460_1"	1	NA
"174"	"ENSG00000006282"	"ENST00000006658"	0.882587863374449	NA
"175"	"ENSG00000006282"	"ENST00000356488"	0.882587863374449	NA
"176"	"ENSG00000006282"	"ENST00000503127"	0.882587863374449	NA
"177"	"ENSG00000006282"	"ENST00000634597"	0.882587863374449	NA
"178"	"ENSG00000006451"	"ENST00000005257"	1	NA
"179"	"ENSG00000006451"	"ENST00000436179"	1	NA
"180"	"ENSG00000006453"	"ENSG00000006453_98317237_98401090_1"	1	NA
"181"	"ENSG00000006453"	"ENST00000462558"	1	NA
"182"	"ENSG00000006534"	"ENSG00000006534_68010343_68028676_1"	0.0577640272414003	NA
"183"	"ENSG00000006534"	"ENSG00000006534_68010343_68028676_2"	0.0577640272414003	NA
"184"	"ENSG00000006534"	"ENSG00000006534_68010343_68029276_1_3"	0.0577640272414003	NA
"185"	"ENSG00000006534"	"ENST00000342456"	0.0577640272414003	NA
"186"	"ENSG00000006625"	"ENSG00000006625_30496784_30504829_2"	3.4834672070956e-09	1
"187"	"ENSG00000006625"	"ENSG00000006625_30496977_30504829_2_1"	3.4834672070956e-09	1.0609586874843e-08
"188"	"ENSG00000006625"	"ENST00000275428"	3.4834672070956e-09	0.00613844596859724
"189"	"ENSG00000006625"	"ENST00000440082"	3.4834672070956e-09	1
"190"	"ENSG00000006652"	"ENSG00000006652_112450460_112458336_1"	1	NA
"191"	"ENSG00000006652"	"ENST00000429071"	1	NA
"192"	"ENSG00000006695"	"ENSG00000006695_14069504_14207513_1"	1	NA
"193"	"ENSG00000006695"	"ENST00000261643"	1	NA
"194"	"ENSG00000006695"	"ENST00000429152"	1	NA
"195"	"ENSG00000006704"	"ENSG00000006704_74454109_74602583_1"	1	NA
"196"	"ENSG00000006704"	"ENST00000265755"	1	NA
"197"	"ENSG00000006704"	"ENST00000424337"	1	NA
"198"	"ENSG00000006704"	"ENST00000455841"	1	NA
"199"	"ENSG00000006712"	"ENSG00000006712_39385853_39390890_1"	1	NA
"200"	"ENSG00000006712"	"ENSG00000006712_39385853_39391088_1"	1	NA
"201"	"ENSG00000006712"	"ENSG00000006712_39385853_39391092_1"	1	NA
"202"	"ENSG00000006715"	"ENSG00000006715_38725555_38758415_1"	1	NA
"203"	"ENSG00000006715"	"ENSG00000006715_38725555_38909191_1"	1	NA
"204"	"ENSG00000006715"	"ENSG00000006715_38772599_38909191_1"	1	NA
"205"	"ENSG00000006715"	"ENST00000395969"	1	NA
"206"	"ENSG00000006744"	"ENSG00000006744_12992391_13017590_1"	0.00378188180804506	1
"207"	"ENSG00000006744"	"ENSG00000006744_12992393_13017664_1"	0.00378188180804506	1
