"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000198830",2.38716637209782e-72,7.56699186252531e-11,5,1,-0.986993357572244,1,0.833333333333333
"ENSG00000184209",9.19026784696492e-39,1,3,0,0.98621425823979,1,0.5
"ENSG00000185787",6.40010187773423e-54,1,4,0,0.979780823482679,1,0.666666666666667
"ENSG00000139318",7.36444224802919e-18,1,4,0,0.963625237961459,1,0.5
"ENSG00000105568",6.19992249552833e-41,1,4,0,-0.956897280288054,1,0.5
"ENSG00000122068",3.8758129837624e-10,1,3,0,-0.955592607135636,1,0.666666666666667
"ENSG00000104979",1.89231543787373e-10,2.68837122904753e-05,4,1,0.954100958174302,0.833333333333333,0.833333333333333
"ENSG00000104388",1.37900695730513e-09,0.000144037084515195,3,1,-0.950944309093182,1,1
"ENSG00000090061",5.97515163077379e-12,1,4,0,0.947867413674515,1,0.5
"ENSG00000064995",3.20961977290708e-14,0.344482462863994,3,0,-0.945677781639763,1,0.666666666666667
"ENSG00000166130",1.18743675798578e-07,0.309767555354566,3,0,0.94350249334521,1,0.5
"ENSG00000245910",4.31278188615104e-28,4.41590497364215e-19,4,1,-0.939678748339575,1,0.666666666666667
"ENSG00000181588",5.17939357136169e-08,1,3,0,-0.937141048391811,0.833333333333333,0.5
"ENSG00000005175",1.71660969591851e-05,1,4,0,-0.937043426678037,0.833333333333333,0.5
"ENSG00000126768",2.26157724380679e-43,1,4,0,0.933512232703897,1,0.666666666666667
"ENSG00000137509",2.37639023897444e-05,1,3,0,0.929814564898389,0.833333333333333,0.5
"ENSG00000113407",1.16974018782645e-06,1,3,0,-0.929411171805538,0.833333333333333,0.5
"ENSG00000147403",6.0520274847936e-317,1.13639558695801e-257,6,1,0.928537739313066,1,1
"ENSG00000185860",1.52879163283856e-06,1,3,0,-0.926312251085901,1,0.5
"ENSG00000107959",1.10297695263261e-08,1,3,0,-0.911576391616953,1,0.5
"ENSG00000150787",4.68662577274279e-30,3.40559483867826e-10,3,1,0.909007124508441,1,1
"ENSG00000142082",3.34677659449422e-06,0.0615665422836593,3,0,0.908718594769486,1,0.666666666666667
"ENSG00000109133",0.00022113190988906,1,3,0,0.908609002965266,1,0.5
"ENSG00000163235",1.71538962069561e-05,0.00746674656849599,3,1,-0.907154021411977,1,0.833333333333333
"ENSG00000151632",6.0520274847936e-317,1,4,0,0.905593099598599,1,1
"ENSG00000135297",3.39839235357887e-05,1,3,0,0.903374020787591,0.833333333333333,0.5
"ENSG00000179403",1.62747577752984e-18,1,5,0,-0.902559441425951,1,0.666666666666667
"ENSG00000085491",0.00233450024277004,1,3,0,0.900936945474283,0.833333333333333,0.5
