"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",1.65253390846908e-267,1,3,0,-0.992972924650717,1,1
"ENSG00000184209",6.4996324417434e-29,1,3,0,0.984053660830417,1,0.666666666666667
"ENSG00000196683",1.23940043135181e-266,1,3,0,-0.980813499540115,1,1
"ENSG00000151773",4.75240572245835e-06,0.0115184081275566,3,1,0.975104675253772,1,0.5
"ENSG00000144028",3.09843179455561e-25,1,4,0,-0.97241552972081,1,0.5
"ENSG00000198718",9.43306821286253e-13,1,5,0,0.967515850487303,1,0.5
"ENSG00000174444",3.18972862742312e-14,4.23072954684853e-07,3,2,0.966348157369535,1,0.833333333333333
"ENSG00000214113",6.31414032944007e-09,0.392365033356974,3,0,-0.961458295047607,1,0.5
"ENSG00000147403",1.65253390846908e-267,1.53287013990075e-150,7,2,0.954560337231953,1,1
"ENSG00000159128",5.1980829351606e-32,1,3,0,0.946214944045322,1,0.666666666666667
"ENSG00000115084",2.21649641752754e-09,1,4,0,-0.943116292177832,1,0.5
"ENSG00000228727",0.00657105733147019,0.923152412334678,3,0,0.933020809866813,0.833333333333333,0.5
"ENSG00000130164",2.17734117754222e-19,2.49108943229269e-15,3,1,-0.930408287310243,1,0.833333333333333
"ENSG00000229833",7.4869518331486e-60,1,4,0,-0.930331672117076,1,0.833333333333333
"ENSG00000166734",5.5034955042253e-14,1,5,0,0.92928356538633,1,0.5
"ENSG00000170296",1.23487067228177e-19,0.0117104689480099,5,2,0.928783560155733,1,0.833333333333333
"ENSG00000235453",5.17185374131402e-10,1,3,0,-0.928481638490527,1,0.5
"ENSG00000114850",7.26260881226784e-08,1,3,0,-0.926842954263688,0.833333333333333,0.5
"ENSG00000104408",2.30067921555215e-71,7.06550142801916e-66,3,1,-0.92369250966996,1,1
"ENSG00000137692",6.68423298053943e-26,1,6,0,-0.922918278532731,1,0.833333333333333
"ENSG00000130985",2.81054526843977e-41,1,4,0,0.919968725505635,1,1
"ENSG00000188659",0.000386313261814923,0.0465901496884163,4,1,0.919353291254384,1,0.666666666666667
"ENSG00000258818",1.15403878223777e-05,1,3,0,0.917294560201139,1,0.5
"ENSG00000197728",1.28607096496857e-30,1.05198130371638e-32,3,3,0.916261565441215,1,1
"ENSG00000116459",1.69416815240385e-13,1.03163452206662e-08,3,1,0.912854763924012,1,1
"ENSG00000128626",1.35837651648137e-13,0.0018045984328943,4,1,-0.903785553279981,0.833333333333333,0.833333333333333
"ENSG00000211450",5.66048803403053e-199,3.07597661882275e-126,3,1,0.900926504602676,1,1
"ENSG00000078140",2.09182869127207e-29,1,4,0,-0.90090501554088,1,1
"ENSG00000180979",0.000361659701088974,0.0549170632647345,3,0,-0.89744975607436,0.833333333333333,0.5
"ENSG00000154001",1.9860894552852e-16,1,5,0,0.896198209730817,1,0.833333333333333
"ENSG00000185504",4.47490086772144e-05,1,4,0,-0.893651848628841,1,0.666666666666667
"ENSG00000167522",3.74324435311876e-06,1,5,0,-0.893164644744964,1,0.5
"ENSG00000111605",3.22919744667723e-17,1,3,0,-0.890843094720812,1,1
"ENSG00000089693",9.62299379682211e-10,8.34000836692694e-08,4,2,0.890109889984575,1,0.833333333333333
"ENSG00000157150",1.25053544388686e-07,1,4,0,-0.889993080185515,1,0.5
"ENSG00000205609",1.21556745419933e-35,1,4,0,0.885498925337275,1,1
"ENSG00000100526",2.01055971253095e-05,1,4,0,0.882207907046383,1,0.5
"ENSG00000123505",2.78477550128391e-07,0.678191555874634,4,0,-0.882206091627146,1,0.666666666666667
"ENSG00000104133",9.90360906363234e-05,0.491808534147181,3,0,-0.879931878608295,1,0.666666666666667
"ENSG00000116560",1.11374457032025e-06,0.099184488227035,4,0,-0.878721404887642,1,0.833333333333333
"ENSG00000257727",2.04440169060766e-89,1,5,0,-0.877845279846791,1,1
"ENSG00000100271",0.00127963357396409,1,3,0,0.877451774873717,1,0.5
"ENSG00000198157",0.000150216027523186,1,4,0,-0.876685390694404,1,0.5
"ENSG00000204381",5.42703024100263e-10,0.00169427412447394,4,1,-0.874935328532097,1,0.666666666666667
"ENSG00000085224",4.97766542682838e-05,1,4,0,-0.868952580301193,1,0.5
"ENSG00000082068",5.73064231250317e-08,1,3,0,0.868019986600209,1,0.666666666666667
"ENSG00000185787",1.21910029101636e-50,1,6,0,0.865383907564771,1,1
"ENSG00000173947",4.99834259062704e-132,1,4,0,-0.858909722839547,1,1
"ENSG00000167962",0.00273723997302253,1,4,0,0.857950534504129,0.833333333333333,0.5
"ENSG00000169567",7.09012222114082e-40,3.60838713073568e-21,5,1,-0.851416677324741,1,1
"ENSG00000113240",0.00027816927534285,1,3,0,-0.850448301524597,0.833333333333333,0.666666666666667
"ENSG00000171311",6.35322035293149e-08,7.829078351481e-05,4,1,-0.845133743551231,1,0.833333333333333
"ENSG00000263001",3.77296508791937e-11,2.05432425015059e-08,3,1,-0.840027045263801,1,1
