"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000185262"	"ENSG00000185262"	4.82522318526395e-06	0	2	2	0.65337470502464	1	1
"ENSG00000163738"	"ENSG00000163738"	0.0279072073473322	0	2	2	-0.593453273118671	1	1
"ENSG00000038274"	"ENSG00000038274"	0.00418142945699138	0	2	2	-0.588711709740667	1	1
"ENSG00000109944"	"ENSG00000109944"	0.0239059168130969	0	2	2	-0.540788761219618	1	1
"ENSG00000143947"	"ENSG00000143947"	2.25035237928797e-78	0	2	2	-0.456817585602811	1	1
"ENSG00000055211"	"ENSG00000055211"	0.0207843317271291	0	2	2	-0.384142881097545	1	1
"ENSG00000100243"	"ENSG00000100243"	0.0419829922788431	0	2	2	0.377416622559467	1	1
"ENSG00000166596"	"ENSG00000166596"	0.0311965060622966	0	2	2	0.342175792463275	1	1
"ENSG00000176101"	"ENSG00000176101"	0.00163273979936315	0	2	2	0.332870445839467	1	1
"ENSG00000160201"	"ENSG00000160201"	0.0169013849289165	0	2	2	-0.296339686339981	1	1
"ENSG00000164405"	"ENSG00000164405"	0.000781163963102412	0	2	2	0.243526196973076	1	1
"ENSG00000140612"	"ENSG00000140612"	0.0170544900865797	0	2	2	-0.226834884545751	1	1
"ENSG00000179262"	"ENSG00000179262"	0.0133005997361296	0	2	2	0.221239773508677	1	1
"ENSG00000129625"	"ENSG00000129625"	0.0345393945205928	0	2	2	0.20859540593985	1	1
"ENSG00000160932"	"ENSG00000160932"	0.0388751038314038	0	2	2	-0.147810448506702	1	1
"ENSG00000118680"	"ENSG00000118680"	2.55678317202682e-05	0	2	2	-0.108835345135607	1	1
"ENSG00000185043"	"ENSG00000185043"	0.00312400452268045	0	2	2	-0.0971889568583034	1	1
"ENSG00000119655"	"ENSG00000119655"	0.0336063914304104	0	2	2	0.0722261031666275	1	1
"ENSG00000173660"	"ENSG00000173660"	0.0251093672948239	0	2	2	0.0702776543379497	1	1
"ENSG00000142541"	"ENSG00000142541"	0.00103850913544264	0	2	2	0.0515841630943575	1	1
"ENSG00000170345"	"ENSG00000170345"	0.0273204591413254	0	2	2	0.0504374505044877	1	1
"ENSG00000167996"	"ENSG00000167996"	0.0214898782945824	0	2	2	0.0221903804594684	1	1
"ENSG00000164919"	"ENSG00000164919"	1.18621359532689e-72	1.84210126985097e-65	4	2	0.791512252185496	1	1
