"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000133275"	"ENSG00000133275"	0.0302623340024175	0	2	2	-0.60002715105599	1	1
"ENSG00000184227"	"ENSG00000184227"	0.0394234857741792	0	2	2	-0.587946742361676	0.833333333333333	0.833333333333333
"ENSG00000083535"	"ENSG00000083535"	0.0209059050930878	0	2	2	-0.524748754394006	1	1
"ENSG00000149273"	"ENSG00000149273"	7.42663659839512e-212	0	2	2	0.521772474159757	1	1
"ENSG00000074201"	"ENSG00000074201"	0.018865296703025	0	2	2	-0.476305911488096	1	0.833333333333333
"ENSG00000198692"	"ENSG00000198692"	0.0195765583845355	0	2	2	-0.464423747512113	1	1
"ENSG00000143947"	"ENSG00000143947"	2.29811882678881e-67	0	2	2	0.444968406888762	1	1
"ENSG00000178104"	"ENSG00000178104"	0.0484285675611054	0	2	2	-0.427009238583243	1	1
"ENSG00000160201"	"ENSG00000160201"	0.0329901571851412	0	2	2	-0.325793869286108	1	1
"ENSG00000156508"	"ENSG00000156508"	3.79120293044667e-88	0	2	2	0.30933990603005	1	1
"ENSG00000141232"	"ENSG00000141232"	0.0367441210722466	0	2	2	-0.246716799812345	1	1
"ENSG00000147676"	"ENSG00000147676"	0.0177515006541862	0	2	2	-0.234092745431162	1	1
"ENSG00000164405"	"ENSG00000164405"	0.0136496547263816	0	2	2	0.218658075365355	1	1
"ENSG00000106605"	"ENSG00000106605"	0.04705386028142	0	2	2	0.21694390023918	1	1
"ENSG00000163040"	"ENSG00000163040"	0.0443427197132304	0	2	2	-0.202925084321726	1	1
"ENSG00000162909"	"ENSG00000162909"	0.000383338776254973	0	2	2	-0.171832310401455	1	1
"ENSG00000118680"	"ENSG00000118680"	5.39524579767644e-05	0	2	2	-0.12986425218508	1	1
"ENSG00000164032"	"ENSG00000164032"	4.79887227149561e-05	0	2	2	0.126097760178646	1	1
"ENSG00000178952"	"ENSG00000178952"	0.000541544291011527	0	2	2	-0.123188269087423	1	1
"ENSG00000108602"	"ENSG00000108602"	0.0124664440763712	0	2	2	-0.0947091339420294	1	1
"ENSG00000185043"	"ENSG00000185043"	0.015238466853336	0	2	2	-0.089760259077604	1	1
"ENSG00000140319"	"ENSG00000140319"	0.0394234857741792	0	2	2	-0.0830662878965172	1	1
"ENSG00000196139"	"ENSG00000196139"	0.0235528306219944	0	2	2	0.0591485122389495	1	1
"ENSG00000187514"	"ENSG00000187514"	0.00277557968808767	0	2	2	0.0549922256364939	1	1
"ENSG00000184009"	"ENSG00000184009"	0.000181260456391643	0	2	2	0.0509091831978299	1	1
"ENSG00000089009"	"ENSG00000089009"	0.0105035098544375	0	2	2	-0.0490594071913939	1	1
"ENSG00000118816"	"ENSG00000118816"	0.0131586289151725	0	2	2	0.0474140893393573	1	1
"ENSG00000174444"	"ENSG00000174444"	0.0306052857013568	0	2	2	0.0395835028218727	1	1
"ENSG00000196754"	"ENSG00000196754"	7.86430021041195e-92	6.17110473334711e-66	4	1	0.820493148071014	1	1
"ENSG00000174748"	"ENSG00000174748"	1.84246379515141e-178	2.1354744376506e-52	4	2	-0.840121435747088	1	1
"ENSG00000164919"	"ENSG00000164919"	1.18546063206409e-45	2.27540665773006e-47	3	2	0.840111891793255	1	1
"ENSG00000089356"	"ENSG00000089356"	1.18743532881376e-42	6.22133728109346e-43	3	2	0.406975853275933	1	1
"ENSG00000057149"	"ENSG00000057149"	5.62832939006463e-48	1.02585019373115e-34	4	1	0.190307911535426	1	1
"ENSG00000173812"	"ENSG00000173812"	1.2328725162497e-18	9.2879013167915e-21	3	1	-0.3245178934474	1	1
"ENSG00000143416"	"ENSG00000143416"	1.06742949610602e-26	9.14457541203126e-18	4	1	-0.80269113069088	1	0.833333333333333
"ENSG00000130414"	"ENSG00000130414"	7.28981660998055e-19	1.70959939144032e-17	3	1	0.617283845824437	1	1
"ENSG00000115457"	"ENSG00000115457"	1.58381271963385e-16	1.06843590754183e-14	4	2	-0.312117578540684	1	1
"ENSG00000104529"	"ENSG00000104529"	1.60952151780869e-15	2.99260057807848e-14	3	2	0.508097350147846	1	1
"ENSG00000021355"	"ENSG00000021355"	4.05155089812995e-15	1.18918109152977e-11	5	1	0.700366762098107	1	0.833333333333333
"ENSG00000113387"	"ENSG00000113387"	6.13572731159534e-18	1.25000510804084e-11	4	1	-0.701753905247174	1	1
"ENSG00000173486"	"ENSG00000173486"	3.34202260117432e-21	1.76376988109218e-10	4	1	-0.547119531067818	1	1
"ENSG00000070756"	"ENSG00000070756"	4.25257115693237e-29	3.01888529697511e-10	5	1	0.43100348980784	1	1
"ENSG00000170296"	"ENSG00000170296"	1.74546453713222e-09	5.16648448406031e-09	3	1	-0.891679381734425	1	0.833333333333333
"ENSG00000110321"	"ENSG00000110321"	1.03113857154396e-13	5.92251820652826e-09	8	1	0.526142580982319	1	1
"ENSG00000147403"	"ENSG00000147403"	3.41414109605144e-14	7.62940487587092e-09	8	1	0.224880367341208	1	1
"ENSG00000051620"	"ENSG00000051620"	6.08110167025091e-20	3.42097809643158e-08	4	1	0.518393973523636	1	1
"ENSG00000178741"	"ENSG00000178741"	2.09905392143019e-20	4.05288449448296e-08	3	1	0.353061989556286	1	1
"ENSG00000160113"	"ENSG00000160113"	1.70858652589471e-10	2.25991449391706e-07	4	2	-0.43544590274311	1	1
"ENSG00000100359"	"ENSG00000100359"	1.91948646298911e-14	3.95592372748063e-07	7	1	0.666007282458372	1	1
"ENSG00000025708"	"ENSG00000025708"	4.46303058162133e-19	4.7355809106325e-07	5	1	0.407465025813949	1	1
"ENSG00000175756"	"ENSG00000175756"	1.05369051980494e-05	5.08592715577013e-07	4	2	0.487383419148142	1	1
"ENSG00000101361"	"ENSG00000101361"	2.84837343499777e-06	5.30671529756227e-07	3	2	0.736712381692606	1	0.833333333333333
"ENSG00000198830"	"ENSG00000198830"	1.61905295593247e-27	1.37634185030768e-06	5	1	-0.975261510573148	1	0.666666666666667
"ENSG00000163466"	"ENSG00000163466"	1.48261675214328e-06	1.38446139063677e-06	3	1	-0.232015822120254	1	1
"ENSG00000185104"	"ENSG00000185104"	1.93349819602169e-06	1.6621461593212e-06	4	1	-0.791416535152924	1	0.833333333333333
"ENSG00000158864"	"ENSG00000158864"	3.9707437319664e-05	2.59642863934473e-06	3	2	0.332796878154538	1	1
"ENSG00000065154"	"ENSG00000065154"	1.33396769184923e-05	2.98249650475264e-06	3	2	0.586747715907326	1	0.833333333333333
"ENSG00000149547"	"ENSG00000149547"	1.55673399949966e-09	4.21140040757371e-06	3	1	-0.540892817172744	1	1
