"Var1"	"Freq"
"Basal_UK_72hpi_adult_Infected"	370
"Basal_UK_72hpi_adult_Uninfected"	40
"Basal_UK_72hpi_child_Infected"	389
"Basal_UK_72hpi_child_Uninfected"	17
"Basal_uninfected_adult_Uninfected"	497
"Basal_uninfected_child_Uninfected"	170
"Basal_VIC01_48hpi_adult_Uninfected"	420
"Basal_VIC01_48hpi_child_Uninfected"	329
"Basal_VIC01_72hpi_adult_Infected"	3
"Basal_VIC01_72hpi_adult_Uninfected"	406
"Basal_VIC01_72hpi_child_Infected"	236
"Basal_VIC01_72hpi_child_Uninfected"	50
"Brush_Tuft_UK_72hpi_adult_Infected"	7
"Brush_Tuft_UK_72hpi_adult_Uninfected"	1
"Brush_Tuft_UK_72hpi_child_Infected"	4
"Brush_Tuft_UK_72hpi_child_Uninfected"	1
"Brush_Tuft_uninfected_adult_Uninfected"	157
"Brush_Tuft_uninfected_child_Uninfected"	17
"Brush_Tuft_VIC01_48hpi_adult_Uninfected"	12
"Brush_Tuft_VIC01_48hpi_child_Uninfected"	11
"Brush_Tuft_VIC01_72hpi_adult_Uninfected"	12
"Brush_Tuft_VIC01_72hpi_child_Infected"	3
"Brush_Tuft_VIC01_72hpi_child_Uninfected"	2
"Ciliated_UK_72hpi_adult_Infected"	618
"Ciliated_UK_72hpi_adult_Uninfected"	56
"Ciliated_UK_72hpi_child_Infected"	423
"Ciliated_UK_72hpi_child_Uninfected"	41
"Ciliated_uninfected_adult_Uninfected"	1797
"Ciliated_uninfected_child_Uninfected"	1682
"Ciliated_VIC01_48hpi_adult_Uninfected"	906
"Ciliated_VIC01_48hpi_child_Infected"	7
"Ciliated_VIC01_48hpi_child_Uninfected"	1524
"Ciliated_VIC01_72hpi_adult_Infected"	21
"Ciliated_VIC01_72hpi_adult_Uninfected"	846
"Ciliated_VIC01_72hpi_child_Infected"	581
"Ciliated_VIC01_72hpi_child_Uninfected"	127
"Cycling_basal_UK_72hpi_adult_Infected"	147
"Cycling_basal_UK_72hpi_adult_Uninfected"	13
"Cycling_basal_UK_72hpi_child_Infected"	137
"Cycling_basal_UK_72hpi_child_Uninfected"	15
"Cycling_basal_uninfected_adult_Uninfected"	511
"Cycling_basal_uninfected_child_Uninfected"	122
"Cycling_basal_VIC01_48hpi_adult_Uninfected"	291
"Cycling_basal_VIC01_48hpi_child_Uninfected"	265
"Cycling_basal_VIC01_72hpi_adult_Infected"	1
"Cycling_basal_VIC01_72hpi_adult_Uninfected"	168
"Cycling_basal_VIC01_72hpi_child_Infected"	84
"Cycling_basal_VIC01_72hpi_child_Uninfected"	21
"Deuterosomal_UK_72hpi_adult_Infected"	17
"Deuterosomal_UK_72hpi_child_Infected"	3
"Deuterosomal_UK_72hpi_child_Uninfected"	4
"Deuterosomal_uninfected_adult_Uninfected"	168
"Deuterosomal_uninfected_child_Uninfected"	71
"Deuterosomal_VIC01_48hpi_adult_Uninfected"	45
"Deuterosomal_VIC01_48hpi_child_Infected"	1
"Deuterosomal_VIC01_48hpi_child_Uninfected"	53
"Deuterosomal_VIC01_72hpi_adult_Infected"	2
"Deuterosomal_VIC01_72hpi_adult_Uninfected"	28
"Deuterosomal_VIC01_72hpi_child_Infected"	30
"Deuterosomal_VIC01_72hpi_child_Uninfected"	6
"Goblet_Ionocyte_UK_72hpi_child_Infected"	3
"Goblet_Ionocyte_uninfected_adult_Uninfected"	1
"Goblet_Ionocyte_VIC01_48hpi_adult_Uninfected"	1
"Goblet_Ionocyte_VIC01_48hpi_child_Uninfected"	1
"Goblet_Ionocyte_VIC01_72hpi_adult_Uninfected"	3
"Goblet_Ionocyte_VIC01_72hpi_child_Infected"	1
"Goblet_UK_72hpi_adult_Infected"	58
"Goblet_UK_72hpi_adult_Uninfected"	4
"Goblet_UK_72hpi_child_Infected"	55
"Goblet_UK_72hpi_child_Uninfected"	13
"Goblet_uninfected_adult_Uninfected"	697
"Goblet_uninfected_child_Uninfected"	433
"Goblet_VIC01_48hpi_adult_Uninfected"	84
"Goblet_VIC01_48hpi_child_Uninfected"	322
"Goblet_VIC01_72hpi_adult_Uninfected"	54
"Goblet_VIC01_72hpi_child_Infected"	75
"Goblet_VIC01_72hpi_child_Uninfected"	51
"Ionocyte_UK_72hpi_adult_Infected"	34
"Ionocyte_UK_72hpi_child_Infected"	5
"Ionocyte_uninfected_adult_Uninfected"	19
"Ionocyte_uninfected_child_Uninfected"	1
"Ionocyte_VIC01_48hpi_adult_Uninfected"	36
"Ionocyte_VIC01_48hpi_child_Uninfected"	10
"Ionocyte_VIC01_72hpi_adult_Uninfected"	28
"Ionocyte_VIC01_72hpi_child_Infected"	6
"Secretory_Ciliated_UK_72hpi_adult_Infected"	79
"Secretory_Ciliated_UK_72hpi_child_Infected"	58
"Secretory_Ciliated_uninfected_adult_Uninfected"	19
"Secretory_Ciliated_uninfected_child_Uninfected"	6
"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected"	69
"Secretory_Ciliated_VIC01_48hpi_child_Infected"	2
"Secretory_Ciliated_VIC01_48hpi_child_Uninfected"	36
