"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	0.507794000511636	NA
"2"	"ENSG00000000419"	"ENST00000371582"	0.507794000511636	NA
"3"	"ENSG00000000419"	"ENST00000371588"	0.507794000511636	NA
"4"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	0.623554818431371	NA
"5"	"ENSG00000000971"	"ENST00000367429"	0.623554818431371	NA
"6"	"ENSG00000000971"	"ENST00000630130"	0.623554818431371	NA
"7"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	1	NA
"8"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	1	NA
"9"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	1	NA
"10"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	1	NA
"11"	"ENSG00000001084"	"ENST00000616923"	1	NA
"12"	"ENSG00000001461"	"ENST00000339255"	1	NA
"13"	"ENSG00000001461"	"ENST00000488155"	1	NA
"14"	"ENSG00000001630"	"ENSG00000001630_92112153_92123261_1"	1	NA
"15"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	1	NA
"16"	"ENSG00000001630"	"ENSG00000001630_92113694_92134477_1"	1	NA
"17"	"ENSG00000001630"	"ENST00000003100"	1	NA
"18"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	0.373041511561792	NA
"19"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	0.373041511561792	NA
"20"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_9"	0.373041511561792	NA
"21"	"ENSG00000001631"	"ENST00000452773"	0.373041511561792	NA
"22"	"ENSG00000002330"	"ENSG00000002330_64269830_64284654_2"	1	NA
"23"	"ENSG00000002330"	"ENST00000309032"	1	NA
"24"	"ENSG00000002330"	"ENST00000394532"	1	NA
"25"	"ENSG00000002549"	"ENST00000226299"	1	NA
"26"	"ENSG00000002549"	"ENST00000606142"	1	NA
"27"	"ENSG00000002549"	"ENST00000618908"	1	NA
"28"	"ENSG00000002586"	"ENST00000381192"	0.536488557929482	NA
"29"	"ENSG00000002586"	"ENST00000611428"	0.536488557929482	NA
"30"	"ENSG00000002586"	"ENST00000624481"	0.536488557929482	NA
"31"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_1"	0.375613097714647	NA
"32"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	0.375613097714647	NA
"33"	"ENSG00000002822"	"ENST00000399654"	0.375613097714647	NA
"34"	"ENSG00000003056"	"ENST00000000412"	1	NA
"35"	"ENSG00000003056"	"ENST00000541507"	1	NA
"36"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	8.6147693772336e-05	1
