"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_uninfected_child_Uninfected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000149273"	"ENSG00000149273"	2.93004246278796e-245	0	2	2	-0.613847135343909	1	1
"ENSG00000174021"	"ENSG00000174021"	4.66312965084076e-44	0	2	2	-0.610859566579662	1	1
"ENSG00000013275"	"ENSG00000013275"	1.99765244210553e-10	0	2	2	-0.499305655564475	1	1
"ENSG00000171867"	"ENSG00000171867"	0.00936549644096859	0	2	2	-0.456326764034269	1	1
"ENSG00000176386"	"ENSG00000176386"	0.00402061729586067	0	2	2	0.409084118155333	1	1
"ENSG00000145919"	"ENSG00000145919"	0.00753333389881726	0	2	2	-0.382913750202264	1	1
"ENSG00000159388"	"ENSG00000159388"	0.0282797430187587	0	2	2	-0.343295842295728	1	1
"ENSG00000072042"	"ENSG00000072042"	0.00856512832932785	0	2	2	-0.331556001180258	1	1
"ENSG00000006007"	"ENSG00000006007"	0.017136920068096	0	2	2	-0.323727797498037	1	1
"ENSG00000137880"	"ENSG00000137880"	0.0489387423488155	0	2	2	-0.268181676301903	1	1
"ENSG00000176788"	"ENSG00000176788"	0.00499081856711026	0	2	2	-0.233380416587347	1	1
"ENSG00000162909"	"ENSG00000162909"	0.000984098801926915	0	2	2	0.232832899263025	1	1
"ENSG00000142676"	"ENSG00000142676"	0.0213120615356253	0	2	2	0.107107437961127	1	1
"ENSG00000042753"	"ENSG00000042753"	0.0225730383822752	0	2	2	0.104646777274417	1	1
"ENSG00000137331"	"ENSG00000137331"	0.00325918912664173	0	2	2	0.0924218564990907	1	1
"ENSG00000118680"	"ENSG00000118680"	0.00422246650494094	0	2	2	0.0908548703761237	1	1
"ENSG00000197353"	"ENSG00000197353"	0.000545560855955072	0	2	2	-0.038092170783252	1	1
"ENSG00000156508"	"ENSG00000156508"	1.29756769798543e-92	8.68484117639951e-83	3	2	0.351167021270479	1	1
