"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	3.06126100072505e-05	1
"2"	"ENSG00000000419"	"ENST00000371582"	3.06126100072505e-05	1
"3"	"ENSG00000000419"	"ENST00000371588"	3.06126100072505e-05	1
"4"	"ENSG00000000457"	"ENSG00000000457_169853074_169893896_1"	1	NA
"5"	"ENSG00000000457"	"ENST00000367770"	1	NA
"6"	"ENSG00000000457"	"ENST00000470238"	1	NA
"7"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	1	NA
"8"	"ENSG00000000971"	"ENST00000367429"	1	NA
"9"	"ENSG00000000971"	"ENST00000630130"	1	NA
"10"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	2.54452478758318e-28	1
"11"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	2.54452478758318e-28	1
"12"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	2.54452478758318e-28	1
"13"	"ENSG00000001084"	"ENSG00000001084_53498756_53545101_1"	2.54452478758318e-28	1
"14"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	2.54452478758318e-28	1
"15"	"ENSG00000001084"	"ENST00000616923"	2.54452478758318e-28	1.00763779391211e-12
"16"	"ENSG00000001084"	"ENST00000650454"	2.54452478758318e-28	1
"17"	"ENSG00000001460"	"ENST00000003583"	1	NA
"18"	"ENSG00000001460"	"ENST00000337248"	1	NA
"19"	"ENSG00000001460"	"ENST00000435187"	1	NA
"20"	"ENSG00000001460"	"ENST00000475760"	1	NA
"21"	"ENSG00000001461"	"ENST00000339255"	0.789292023385731	NA
"22"	"ENSG00000001461"	"ENST00000488155"	0.789292023385731	NA
"23"	"ENSG00000001497"	"ENST00000374804"	0.088498436124081	NA
"24"	"ENSG00000001497"	"ENST00000374807"	0.088498436124081	NA
"25"	"ENSG00000001497"	"ENST00000374811"	0.088498436124081	NA
"26"	"ENSG00000001626"	"ENST00000446805"	1	NA
"27"	"ENSG00000001626"	"ENST00000468795"	1	NA
"28"	"ENSG00000001630"	"ENSG00000001630_92112153_92123261_1"	3.81360692143282e-26	1
"29"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	3.81360692143282e-26	1
"30"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	3.81360692143282e-26	1
"31"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	3.81360692143282e-26	1
"32"	"ENSG00000001630"	"ENSG00000001630_92113694_92134477_1"	3.81360692143282e-26	1
"33"	"ENSG00000001630"	"ENST00000003100"	3.81360692143282e-26	1
"34"	"ENSG00000001630"	"ENST00000450723"	3.81360692143282e-26	1
"35"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_10"	1.51435233516418e-06	1
"36"	"ENSG00000001631"	"ENSG00000001631_92241141_92245914_9_1"	1.51435233516418e-06	1
"37"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	1.51435233516418e-06	1
"38"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	1.51435233516418e-06	1
"39"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	1.51435233516418e-06	1
"40"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_3"	1.51435233516418e-06	1
"41"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_7"	1.51435233516418e-06	1
"42"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	1.51435233516418e-06	1
"43"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_9"	1.51435233516418e-06	1
"44"	"ENSG00000001631"	"ENSG00000001631_92241141_92246059_3"	1.51435233516418e-06	1
"45"	"ENSG00000001631"	"ENST00000425919"	1.51435233516418e-06	1
"46"	"ENSG00000001631"	"ENST00000444960"	1.51435233516418e-06	1
"47"	"ENSG00000001631"	"ENST00000452773"	1.51435233516418e-06	1
"48"	"ENSG00000002330"	"ENST00000309032"	0.882352848672498	NA
"49"	"ENSG00000002330"	"ENST00000394532"	0.882352848672498	NA
"50"	"ENSG00000002549"	"ENST00000226299"	0.986447122996227	NA
"51"	"ENSG00000002549"	"ENST00000606142"	0.986447122996227	NA
"52"	"ENSG00000002549"	"ENST00000618908"	0.986447122996227	NA
"53"	"ENSG00000002586"	"ENST00000381192"	5.64111132652002e-05	0
"54"	"ENSG00000002586"	"ENST00000611428"	5.64111132652002e-05	0
"55"	"ENSG00000002822"	"ENSG00000002822_1815794_1980316_1"	1	NA
"56"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_1"	1	NA
"57"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_2"	1	NA
"58"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	1	NA
"59"	"ENSG00000002822"	"ENST00000399654"	1	NA
"60"	"ENSG00000002822"	"ENST00000406869"	1	NA
"61"	"ENSG00000002834"	"ENST00000318008"	1	NA
"62"	"ENSG00000002834"	"ENST00000435347"	1	NA
"63"	"ENSG00000002834"	"ENST00000579123"	1	NA
"64"	"ENSG00000002919"	"ENSG00000002919_48107576_48123074_1"	1	NA
"65"	"ENSG00000002919"	"ENSG00000002919_48107788_48122745_3"	1	NA
