"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_uninfected_child_Uninfected-Ciliated_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",6.91777746303388e-287,1,3,0,-0.992417754358824,1,1
"ENSG00000198830",8.40310235550453e-142,7.48205778027459e-13,5,1,0.977210827941016,1,1
"ENSG00000120963",5.61568861446444e-117,1,3,0,0.975824471445132,1,1
"ENSG00000064199",8.21680164102527e-47,1.73047312744986e-05,3,1,-0.968538899084504,1,1
"ENSG00000104388",7.84101739074746e-45,0.00011233801754153,3,1,0.963988280411159,1,1
"ENSG00000174444",1.76407390195427e-44,3.52762682105273e-29,3,2,0.955935271772344,1,1
"ENSG00000162522",2.52121079181133e-64,1,4,0,0.954334335660517,1,0.833333333333333
"ENSG00000151632",6.91777746303388e-287,1,3,0,-0.954092148761218,1,1
"ENSG00000214113",2.84604928538157e-33,1,4,0,-0.953360867943842,1,0.833333333333333
"ENSG00000135090",8.09641878041726e-12,1,4,0,0.949804752427588,1,0.5
"ENSG00000163322",5.14964704469711e-11,1,3,0,-0.939892716856754,1,0.5
"ENSG00000136436",5.13584240900322e-13,0.00138278182947948,4,1,-0.939550188156034,1,0.833333333333333
"ENSG00000139508",5.05754214317277e-12,1,4,0,-0.936693417361132,1,0.5
"ENSG00000164171",5.79643962827153e-06,1,3,0,0.935323009909911,1,0.5
"ENSG00000211450",6.91777746303388e-287,1.68970450877706e-320,3,1,0.935223187786856,1,1
"ENSG00000104408",6.28888860275807e-286,2.97605543353595e-244,4,1,-0.928703265424431,1,1
"ENSG00000171490",2.61314732821646e-50,4.77261976601743e-21,4,1,0.928327071314382,1,1
"ENSG00000166508",2.36942847204943e-45,1,4,0,-0.927013313604238,1,1
"ENSG00000143669",4.17310475482754e-18,1,3,0,0.925948558779991,1,0.5
"ENSG00000071539",6.73658060006175e-16,1,4,0,0.920559020413193,1,0.5
"ENSG00000150787",1.83334424182063e-65,2.09761158485879e-22,4,1,-0.919822080188775,1,1
"ENSG00000113558",4.74976151885422e-53,4.94310449904823e-17,5,1,-0.918995559472557,1,1
"ENSG00000162129",2.50112794231157e-11,1,3,0,-0.917661839440465,1,0.5
"ENSG00000170296",3.03331689078487e-74,1.09135231240781e-13,5,2,0.911726652328338,1,1
"ENSG00000104979",5.38567902438701e-27,5.40899171473916e-10,4,2,-0.907656914413079,1,1
"ENSG00000138834",5.36980625652703e-08,0.379527910830959,3,0,0.906494888197061,1,0.666666666666667
"ENSG00000064995",5.66812329162769e-29,1,4,0,0.900249736540632,1,0.666666666666667
"ENSG00000115457",2.57501213274054e-190,1.98562185979754e-168,5,2,0.898694316322497,1,1
"ENSG00000128989",3.85021396753162e-34,1,4,0,-0.8980105901889,1,0.833333333333333
"ENSG00000154001",5.35885477269153e-46,1.93910748951228e-07,6,1,0.897862612999995,1,0.833333333333333
"ENSG00000078140",1.20451691510755e-81,1,4,0,-0.896214872877166,1,1
"ENSG00000134294",1.10029812588918e-52,1,3,0,-0.894999838781466,1,0.833333333333333
"ENSG00000054983",1.14918518849091e-06,0.00377899193194979,3,1,0.89467721052173,1,0.833333333333333
"ENSG00000103342",1.25331430223136e-57,0.000129610751458561,3,1,-0.888963967589772,1,1
"ENSG00000122882",2.34496751958952e-24,1,4,0,0.886846108976288,1,0.666666666666667
"ENSG00000172037",4.92649084974507e-09,0.0293026884594042,5,1,0.884166821671724,1,0.833333333333333
"ENSG00000185787",9.87979850867436e-91,1,6,0,0.874695364613208,1,1
"ENSG00000100201",1.88688305395507e-41,1,4,0,0.873722335315328,1,0.833333333333333
"ENSG00000138162",6.07459453948637e-39,1,4,0,0.871615474062345,1,1
"ENSG00000124104",7.83041975661601e-12,1,5,0,-0.871077008063188,1,0.5
"ENSG00000205084",3.04856286054893e-17,0.0162269668556971,4,1,-0.870308824203242,1,0.833333333333333
"ENSG00000130164",1.11827005234128e-65,1.48961565469463e-22,5,2,-0.869964405432182,1,1
"ENSG00000077157",3.68532215764725e-09,1,3,0,0.869856409205612,1,0.5
"ENSG00000107959",2.60016384083713e-23,1,5,0,0.868105608983177,1,1
"ENSG00000142102",0.00081902202200282,1,4,0,-0.86770816098488,1,0.5
"ENSG00000087448",1.5408377791398e-07,1.59102606407006e-06,3,1,0.865176256651261,1,0.666666666666667
"ENSG00000171206",1.25346535596044e-26,0.0737557356038342,5,0,0.864627001283916,1,0.833333333333333
"ENSG00000142627",9.36528976721123e-56,0.0183591884906104,3,1,0.86429679553771,1,1
"ENSG00000020922",1.27038795158373e-11,0.534129533736678,5,0,-0.862642137114502,1,0.833333333333333
"ENSG00000093072",2.08801767670333e-08,0.882412585409514,4,0,-0.860588348517194,1,0.666666666666667
"ENSG00000183833",1.20062228483626e-14,1,4,0,-0.860023148544804,1,0.833333333333333
"ENSG00000167272",1.4024898183915e-58,1,5,0,-0.858454704305147,1,0.666666666666667
"ENSG00000173171",8.32187539233297e-59,1.71031660880713e-35,3,1,-0.857960350349764,1,1
"ENSG00000203644",3.47103513962022e-12,1,3,0,-0.856437447361051,1,1
"ENSG00000086189",2.81504413609113e-10,1,4,0,-0.854849878113888,0.833333333333333,0.666666666666667
