"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_uninfected_child_Uninfected-Ciliated_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000174021"	"ENSG00000174021"	1.45676061545882e-257	0	2	2	-0.614961762940789	1	1
"ENSG00000149273"	"ENSG00000149273"	6.91777746303388e-287	0	2	2	-0.604555690540975	1	1
"ENSG00000224616"	"ENSG00000224616"	5.87285435705655e-07	0	2	2	-0.582942080198582	1	1
"ENSG00000230844"	"ENSG00000230844"	0.023505995809568	0	2	2	0.566660399480952	1	0.833333333333333
"ENSG00000198093"	"ENSG00000198093"	0.00700228791953887	0	2	2	0.489010075181044	0.833333333333333	0.833333333333333
"ENSG00000131203"	"ENSG00000131203"	0.000406054222859751	0	2	2	-0.479458665143604	1	1
"ENSG00000171953"	"ENSG00000171953"	0.0244547939374774	0	2	2	0.478022943042589	1	1
"ENSG00000169981"	"ENSG00000169981"	0.0404221094474242	0	2	2	-0.463251892764302	1	1
"ENSG00000129194"	"ENSG00000129194"	4.74345332409027e-05	0	2	2	0.457756051566025	1	1
"ENSG00000102144"	"ENSG00000102144"	1.02326443607885e-33	0	2	2	-0.437993983624408	1	1
"ENSG00000185262"	"ENSG00000185262"	1.87052364870319e-09	0	2	2	-0.425251428911371	1	1
"ENSG00000141579"	"ENSG00000141579"	0.000359576873532299	0	2	2	0.413294879032098	1	1
"ENSG00000149313"	"ENSG00000149313"	0.000277423046378537	0	2	2	-0.379486334759558	1	1
"ENSG00000198843"	"ENSG00000198843"	2.01429813706852e-08	0	2	2	0.371483231862743	1	1
"ENSG00000156508"	"ENSG00000156508"	6.91777746303388e-287	0	2	2	-0.346427059587992	1	1
"ENSG00000078269"	"ENSG00000078269"	0.008648604043466	0	2	2	-0.34293640915227	1	1
"ENSG00000170540"	"ENSG00000170540"	1.18169436987695e-10	0	2	2	-0.330068285912598	1	1
"ENSG00000137513"	"ENSG00000137513"	0.0348059284774581	0	2	2	-0.329499510779349	1	1
"ENSG00000119760"	"ENSG00000119760"	0.00735874372708273	0	2	2	-0.309459560167808	1	1
"ENSG00000197696"	"ENSG00000197696"	7.91006495104779e-07	0	2	2	0.302667677917154	1	1
"ENSG00000158864"	"ENSG00000158864"	1.05704296518405e-20	0	2	2	-0.291051861121541	1	1
"ENSG00000091039"	"ENSG00000091039"	0.00573548227700113	0	2	2	0.289378566138066	1	1
"ENSG00000151502"	"ENSG00000151502"	0.000593380493788592	0	2	2	0.286102882630363	1	1
"ENSG00000164104"	"ENSG00000164104"	0.00040202711684157	0	2	2	-0.280953859499818	1	1
"ENSG00000146072"	"ENSG00000146072"	0.00392585499703153	0	2	2	0.280872619855273	1	1
"ENSG00000166913"	"ENSG00000166913"	0.0351975333809071	0	2	2	0.279824640798214	1	1
"ENSG00000107581"	"ENSG00000107581"	0.00921671501500309	0	2	2	0.274762141944251	1	1
"ENSG00000175390"	"ENSG00000175390"	0.0359116673181342	0	2	2	0.268602988613172	1	1
"ENSG00000147592"	"ENSG00000147592"	0.00312912986305172	0	2	2	0.266592631958278	1	1
"ENSG00000106290"	"ENSG00000106290"	0.047399876824804	0	2	2	0.26052306185193	1	1
"ENSG00000105819"	"ENSG00000105819"	0.00349648108442875	0	2	2	0.258950487462859	1	1
"ENSG00000157227"	"ENSG00000157227"	0.00945583880213254	0	2	2	-0.249776882553192	1	1
"ENSG00000140526"	"ENSG00000140526"	0.0475477828487464	0	2	2	0.244596391458961	1	1
"ENSG00000013275"	"ENSG00000013275"	3.60224618392654e-15	0	2	2	-0.219884224602941	1	1
"ENSG00000165280"	"ENSG00000165280"	0.000400172452148268	0	2	2	0.214815529434404	1	1
"ENSG00000112851"	"ENSG00000112851"	0.0302748443163914	0	2	2	0.210054811448827	1	1
"ENSG00000153485"	"ENSG00000153485"	0.000174947220959536	0	2	2	-0.207910079012372	1	1
"ENSG00000159335"	"ENSG00000159335"	4.13267037109441e-08	0	2	2	0.207852579752144	1	1
"ENSG00000196167"	"ENSG00000196167"	0.0448735456738513	0	2	2	-0.206375632714086	1	1
"ENSG00000143294"	"ENSG00000143294"	0.0209058250912633	0	2	2	-0.206335526844643	1	1
"ENSG00000176153"	"ENSG00000176153"	2.11340723790269e-06	0	2	2	0.19851940597903	1	1
"ENSG00000160789"	"ENSG00000160789"	3.8938081861518e-09	0	2	2	-0.197582185664845	1	1
"ENSG00000152558"	"ENSG00000152558"	0.00249439549348911	0	2	2	0.196552051651651	1	1
"ENSG00000164405"	"ENSG00000164405"	4.11363893041868e-14	0	2	2	-0.194973910815981	1	1
"ENSG00000125651"	"ENSG00000125651"	0.0212502026705925	0	2	2	-0.191622104099631	1	1
"ENSG00000111834"	"ENSG00000111834"	0.0422928892920543	0	2	2	-0.187226461452729	1	1
"ENSG00000163659"	"ENSG00000163659"	0.0182796882100292	0	2	2	0.187140586267047	1	1
"ENSG00000170477"	"ENSG00000170477"	1.66301607243032e-06	0	2	2	0.185949091151292	1	1
"ENSG00000002586"	"ENSG00000002586"	5.64111132652002e-05	0	2	2	0.180833672041132	1	1
"ENSG00000100744"	"ENSG00000100744"	0.00178327472756889	0	2	2	-0.17960694815461	1	1
"ENSG00000113811"	"ENSG00000113811"	0.00410478337562744	0	2	2	0.172390863423869	1	1
"ENSG00000115233"	"ENSG00000115233"	4.46740245640006e-06	0	2	2	-0.17108243422604	1	1
"ENSG00000243147"	"ENSG00000243147"	0.000129867607316517	0	2	2	-0.158986083863919	1	1
"ENSG00000104613"	"ENSG00000104613"	0.0131354593531049	0	2	2	0.156437791839498	1	1
"ENSG00000135334"	"ENSG00000135334"	0.0195492347051314	0	2	2	-0.155515051292261	1	1
"ENSG00000049769"	"ENSG00000049769"	0.0396036103036445	0	2	2	0.150318717258136	1	1
"ENSG00000085117"	"ENSG00000085117"	2.27474953382791e-05	0	2	2	-0.14778617625888	1	1
"ENSG00000133835"	"ENSG00000133835"	0.0262847796230823	0	2	2	0.139600220868003	1	1
"ENSG00000091640"	"ENSG00000091640"	1.29724731123665e-08	0	2	2	0.13707305027132	1	1
"ENSG00000140319"	"ENSG00000140319"	1.67621417261793e-14	0	2	2	-0.134715522159533	1	1
"ENSG00000156411"	"ENSG00000156411"	0.000133070065014943	0	2	2	0.129907227207508	1	1
"ENSG00000129625"	"ENSG00000129625"	5.85450631626471e-05	0	2	2	-0.127835897625753	1	1
"ENSG00000162909"	"ENSG00000162909"	1.43884453825928e-12	0	2	2	0.124174795508838	1	1
"ENSG00000198848"	"ENSG00000198848"	0.00103660727600399	0	2	2	-0.122874290164875	1	1
"ENSG00000006007"	"ENSG00000006007"	0.0146058399970044	0	2	2	-0.120540716795784	1	1
"ENSG00000164978"	"ENSG00000164978"	0.00134047038561127	0	2	2	0.116251630130935	1	1
"ENSG00000181885"	"ENSG00000181885"	0.0236115569884989	0	2	2	0.115318360286453	1	1
"ENSG00000118680"	"ENSG00000118680"	1.69684565217993e-18	0	2	2	0.108771895224496	1	1
"ENSG00000159388"	"ENSG00000159388"	0.0218462507376141	0	2	2	-0.107227388441325	1	1
"ENSG00000118849"	"ENSG00000118849"	2.07079328463962e-05	0	2	2	0.106183068013626	1	1
"ENSG00000141873"	"ENSG00000141873"	0.0103408818515197	0	2	2	0.0984746113628017	1	1
"ENSG00000104412"	"ENSG00000104412"	0.0346141427975549	0	2	2	-0.0939373671916139	1	1
"ENSG00000266472"	"ENSG00000266472"	0.000201969728227834	0	2	2	0.0935722172508928	1	1
"ENSG00000128654"	"ENSG00000128654"	0.0298098705523806	0	2	2	-0.0905258519817007	1	1
"ENSG00000057149"	"ENSG00000057149"	3.80026470808656e-39	0	2	2	0.088663595565115	1	1
"ENSG00000136279"	"ENSG00000136279"	0.0348056870918231	0	2	2	0.0848291725395773	1	1
"ENSG00000179010"	"ENSG00000179010"	0.0102480665329818	0	2	2	-0.0826052329544095	1	1
"ENSG00000159593"	"ENSG00000159593"	0.0391052903874742	0	2	2	-0.0822689242736881	1	1
"ENSG00000131100"	"ENSG00000131100"	0.0359859741792911	0	2	2	0.0818063214385864	1	1
"ENSG00000176014"	"ENSG00000176014"	0.0468998071367901	0	2	2	-0.0788574995595928	1	1
"ENSG00000169217"	"ENSG00000169217"	0.0157436995679552	0	2	2	0.0776856728693599	1	1
"ENSG00000007520"	"ENSG00000007520"	0.00639223486828611	0	2	2	-0.0775658110106057	1	1
"ENSG00000116251"	"ENSG00000116251"	8.06388920032212e-07	0	2	2	-0.07260956796486	1	1
"ENSG00000143771"	"ENSG00000143771"	0.00354111781710876	0	2	2	-0.0724458155258116	1	1
"ENSG00000146701"	"ENSG00000146701"	0.0386048642661526	0	2	2	-0.0697484497233237	1	1
"ENSG00000174903"	"ENSG00000174903"	0.044698513310854	0	2	2	-0.0693285962092245	1	1
"ENSG00000176894"	"ENSG00000176894"	0.0162122772632491	0	2	2	0.0686848730255127	1	1
"ENSG00000241343"	"ENSG00000241343"	0.000154309550510169	0	2	2	-0.0641845564626436	1	1
"ENSG00000099341"	"ENSG00000099341"	4.89685549263814e-05	0	2	2	-0.064123596161877	1	1
"ENSG00000168528"	"ENSG00000168528"	0.0166848818091572	0	2	2	-0.0631328003498456	1	1
"ENSG00000142676"	"ENSG00000142676"	1.20830593737109e-10	0	2	2	0.0609423323054351	1	1
"ENSG00000168090"	"ENSG00000168090"	0.000488458262550978	0	2	2	-0.058048167249802	1	1
"ENSG00000186081"	"ENSG00000186081"	0.00279170480639238	0	2	2	0.0553283749687974	1	1
"ENSG00000106211"	"ENSG00000106211"	4.34039821713677e-09	0	2	2	-0.0536031515591757	1	1
"ENSG00000100353"	"ENSG00000100353"	0.049257911362543	0	2	2	0.0523508499626753	1	1
"ENSG00000100220"	"ENSG00000100220"	0.0137084794827466	0	2	2	0.0506030868708349	1	1
"ENSG00000164032"	"ENSG00000164032"	2.09228494368976e-08	0	2	2	0.0469170209701295	1	1
"ENSG00000137331"	"ENSG00000137331"	0.000175061971382439	0	2	2	0.0362957490393501	1	1
"ENSG00000188846"	"ENSG00000188846"	1.86013590566955e-06	0	2	2	-0.0353871906361157	1	1
"ENSG00000118181"	"ENSG00000118181"	0.0392858891768384	0	2	2	-0.0313303356658473	1	1
"ENSG00000142541"	"ENSG00000142541"	0.0315047619733431	0	2	2	-0.0312103314155702	1	1
"ENSG00000125968"	"ENSG00000125968"	0.0315763635345217	0	2	2	-0.0264644624752937	1	1
"ENSG00000111640"	"ENSG00000111640"	0.000154309550510169	0	2	2	0.0263281205973745	1	1
"ENSG00000127129"	"ENSG00000127129"	0.0453424084717781	0	2	2	0.0250668679795062	1	1
"ENSG00000163739"	"ENSG00000163739"	0.000359576873532299	0	2	2	-0.0213569650031228	1	1
"ENSG00000110700"	"ENSG00000110700"	0.0195502991490398	0	2	2	0.0146969551481189	1	1
