"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Deuterosomal_uninfected_child_Uninfected-Deuterosomal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000174021"	"ENSG00000174021"	4.07404072085437e-16	0	2	2	-0.597171299872395	1	1
"ENSG00000149273"	"ENSG00000149273"	9.54681611864674e-108	0	2	2	-0.595052103736509	1	1
"ENSG00000156508"	"ENSG00000156508"	2.06309396803554e-69	4.36267623181735e-66	3	2	0.373768930321369	1	1
"ENSG00000164919"	"ENSG00000164919"	1.08610239224052e-28	3.44842485867066e-23	7	2	-0.742304876648596	1	1
"ENSG00000130066"	"ENSG00000130066"	2.83071455630759e-25	4.04383390666233e-20	5	1	0.309367557980674	1	1
"ENSG00000211450"	"ENSG00000211450"	4.89143567996286e-19	4.08117944588774e-15	5	1	0.897056411516376	1	0.8
"ENSG00000138326"	"ENSG00000138326"	1.86404590390421e-10	1.92839104203949e-09	4	1	0.213009534504116	1	1
"ENSG00000116209"	"ENSG00000116209"	9.59952624111724e-14	1.01769191007366e-08	5	1	0.224845165648662	1	1
"ENSG00000105519"	"ENSG00000105519"	2.74314235730721e-11	1.2079129388752e-08	10	1	-0.540249105857739	1	1
"ENSG00000070831"	"ENSG00000070831"	5.6209051701657e-08	8.98697140204469e-08	3	1	-0.718393174503558	1	1
"ENSG00000173486"	"ENSG00000173486"	5.41726298996503e-09	4.30505305117364e-07	5	1	-0.75467758397231	1	0.8
"ENSG00000122026"	"ENSG00000122026"	1.75141260157913e-13	1.61848302685723e-06	3	1	-0.369712247964185	1	1
"ENSG00000111843"	"ENSG00000111843"	1.43249260853069e-05	4.78848053376486e-06	3	1	-0.519033176534358	1	1
"ENSG00000100650"	"ENSG00000100650"	4.33294408097272e-08	0.000148862174983923	9	1	-0.499935900012487	1	1
"ENSG00000213719"	"ENSG00000213719"	0.00302930839135541	0.000488873555667658	6	1	-0.227863160111207	1	1
"ENSG00000108244"	"ENSG00000108244"	0.000118323229875082	0.000993177902475546	5	1	0.389227957301414	1	1
"ENSG00000104529"	"ENSG00000104529"	0.00302930839135541	0.00301495233736261	5	2	-0.412642204980491	1	1
"ENSG00000133665"	"ENSG00000133665"	0.00118803224335795	0.00354504917176788	3	1	0.641717013822548	0.8	0.6
"ENSG00000120438"	"ENSG00000120438"	0.000143562540535611	0.00740825678940169	3	1	0.562035591564822	1	1
"ENSG00000080824"	"ENSG00000080824"	3.3025083236925e-10	0.00775387503987111	3	1	0.773020862946716	1	1
"ENSG00000169567"	"ENSG00000169567"	0.00148761856330148	0.015015686289029	4	1	-0.794390903498055	1	1
"ENSG00000070756"	"ENSG00000070756"	4.15826797076582e-09	0.0174410146582573	6	1	-0.542423245041394	1	1
"ENSG00000163931"	"ENSG00000163931"	0.000687028002418894	0.0240991569994324	6	1	-0.393046061122534	1	1
"ENSG00000130414"	"ENSG00000130414"	5.31537523886453e-05	0.0299677593602534	5	1	-0.632780453994979	1	1
"ENSG00000243955"	"ENSG00000243955"	0.000383225807145963	0.0320150575255905	4	1	0.367866047148881	1	1
