"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	1	NA
"2"	"ENSG00000000419"	"ENST00000371588"	1	NA
"3"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	1	NA
"4"	"ENSG00000000971"	"ENST00000367429"	1	NA
"5"	"ENSG00000000971"	"ENST00000630130"	1	NA
"6"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	4.87495293326919e-09	1
"7"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	4.87495293326919e-09	1
"8"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	4.87495293326919e-09	1
"9"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	4.87495293326919e-09	1
"10"	"ENSG00000001084"	"ENST00000616923"	4.87495293326919e-09	1
"11"	"ENSG00000001084"	"ENST00000650454"	4.87495293326919e-09	1
"12"	"ENSG00000001461"	"ENST00000339255"	1	NA
"13"	"ENSG00000001461"	"ENST00000488155"	1	NA
"14"	"ENSG00000001497"	"ENST00000374804"	0.548972234130163	NA
"15"	"ENSG00000001497"	"ENST00000374807"	0.548972234130163	NA
"16"	"ENSG00000001630"	"ENSG00000001630_92112153_92123261_1"	2.16774757337576e-05	1
"17"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	2.16774757337576e-05	1
"18"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	2.16774757337576e-05	1
"19"	"ENSG00000001630"	"ENSG00000001630_92113694_92134477_1"	2.16774757337576e-05	1
"20"	"ENSG00000001630"	"ENST00000003100"	2.16774757337576e-05	1
"21"	"ENSG00000001630"	"ENST00000450723"	2.16774757337576e-05	1
"22"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	1	NA
"23"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	1	NA
"24"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	1	NA
"25"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	1	NA
"26"	"ENSG00000001631"	"ENST00000425919"	1	NA
"27"	"ENSG00000001631"	"ENST00000444960"	1	NA
"28"	"ENSG00000001631"	"ENST00000452773"	1	NA
"29"	"ENSG00000002330"	"ENST00000309032"	1	NA
"30"	"ENSG00000002330"	"ENST00000394532"	1	NA
"31"	"ENSG00000002549"	"ENST00000226299"	0.836355346976261	NA
"32"	"ENSG00000002549"	"ENST00000512397"	0.836355346976261	NA
"33"	"ENSG00000002549"	"ENST00000606142"	0.836355346976261	NA
"34"	"ENSG00000002549"	"ENST00000618908"	0.836355346976261	NA
"35"	"ENSG00000002586"	"ENST00000381192"	0.202509912468235	NA
"36"	"ENSG00000002586"	"ENST00000611428"	0.202509912468235	NA
