"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",1.38062139462028e-290,1,3,0,-0.993092284552087,1,1
"ENSG00000064199",4.5057358941835e-10,0.00925142979720343,3,1,-0.983862197161963,0.833333333333333,0.5
"ENSG00000198830",2.62404232036321e-36,0.00112591030869603,5,1,0.977901261214035,1,0.666666666666667
"ENSG00000205302",5.79463009049963e-15,1,3,0,-0.966998549369894,1,0.5
"ENSG00000104388",1.57079021557719e-09,0.153266445329738,3,0,0.953945599660898,1,0.5
"ENSG00000174444",2.53420823394552e-12,1.73028827435511e-09,3,2,0.951127644419576,1,1
"ENSG00000151632",4.51939300063808e-238,1,3,0,-0.950121704021333,1,1
"ENSG00000203644",1.32249289855934e-06,1,3,0,-0.949231340384547,0.833333333333333,0.5
"ENSG00000120963",1.08259093406241e-26,1,3,0,-0.94329002654044,1,0.5
"ENSG00000171206",3.20289357645583e-07,1,4,0,0.941466818660957,1,0.5
"ENSG00000211450",5.17795541238538e-62,1.9644585387499e-42,3,1,0.938888419227106,1,0.666666666666667
"ENSG00000068001",9.26707802101707e-15,1,5,0,0.933333020666981,0.833333333333333,0.5
"ENSG00000166164",2.3081185742998e-08,1,4,0,0.927375730711312,1,0.5
"ENSG00000104408",1.31602206904631e-64,1,4,0,-0.922860391182502,1,0.833333333333333
"ENSG00000158747",5.60130122884166e-13,1.58796841473244e-12,3,1,-0.913814063330821,1,0.833333333333333
"ENSG00000129657",2.22028974609454e-15,1,4,0,0.912437483336088,1,0.5
"ENSG00000179335",0.000120782720062772,1,4,0,0.91056563446111,0.833333333333333,0.5
"ENSG00000147010",0.000165030836718013,0.00281453852561589,3,1,-0.905846066495099,0.833333333333333,0.5
"ENSG00000130164",1.77501126960565e-13,1.5337896582871e-09,3,1,-0.901797920015003,1,1
"ENSG00000102054",1.00042677500648e-32,1.4308568401505e-06,4,1,-0.9009723973763,0.833333333333333,0.833333333333333
"ENSG00000183833",0.000141387099217771,0.389883115226016,3,0,0.900814242517876,0.833333333333333,0.666666666666667
"ENSG00000257698",6.39320889619806e-34,1.4555422046721e-07,5,1,-0.900184359601325,1,0.666666666666667
"ENSG00000100979",3.480539836556e-09,6.61628107886867e-05,5,1,0.897218458976464,1,0.666666666666667
"ENSG00000064995",2.94729011735401e-08,1,3,0,-0.895659552931862,0.833333333333333,0.5
"ENSG00000113558",1.64596209158765e-08,8.39788532069316e-09,3,1,-0.895412710514962,0.833333333333333,0.666666666666667
"ENSG00000168300",3.43960174569875e-12,0.0142031139033255,4,1,0.895084587744032,1,0.833333333333333
"ENSG00000152904",9.57232952112817e-15,1,5,0,-0.891304895319117,1,0.5
"ENSG00000134294",1.29308554061999e-12,1,3,0,0.891146667744737,0.833333333333333,0.5
"ENSG00000103342",1.43279755433856e-15,0.195936851845516,3,0,-0.889805688765099,1,0.666666666666667
"ENSG00000173171",8.95672046862958e-28,3.39639849351563e-20,3,1,-0.884331530376555,1,1
"ENSG00000170296",1.16962661056626e-21,0.000230827572493913,6,1,0.883632875026799,1,0.833333333333333
"ENSG00000078140",3.01998950930526e-17,1,4,0,0.880683428067465,1,0.833333333333333
"ENSG00000163882",4.38069156498533e-19,0.911375274110077,3,0,-0.877300251831906,1,0.666666666666667
"ENSG00000115457",1.32914843911304e-51,4.54654159473155e-49,4,2,0.867593081271926,1,1
