"geneID"	"txID"	"gene"	"transcript"
"1"	"ENSG00000000419"	"ENSG00000000419_50934867_50958532_6"	0.0121788561347218	1
"2"	"ENSG00000000419"	"ENST00000371582"	0.0121788561347218	1
"3"	"ENSG00000000419"	"ENST00000371588"	0.0121788561347218	1
"4"	"ENSG00000000971"	"ENSG00000000971_196652045_196747504_1"	1	NA
"5"	"ENSG00000000971"	"ENST00000367429"	1	NA
"6"	"ENSG00000000971"	"ENST00000630130"	1	NA
"7"	"ENSG00000001084"	"ENSG00000001084_53497341_53505898_1"	6.99779571283816e-22	1
"8"	"ENSG00000001084"	"ENSG00000001084_53498142_53545101_1"	6.99779571283816e-22	1
"9"	"ENSG00000001084"	"ENSG00000001084_53498387_53545101_1"	6.99779571283816e-22	1
"10"	"ENSG00000001084"	"ENSG00000001084_53498756_53545101_1"	6.99779571283816e-22	1
"11"	"ENSG00000001084"	"ENSG00000001084_53522465_53545101_1"	6.99779571283816e-22	1
"12"	"ENSG00000001084"	"ENST00000616923"	6.99779571283816e-22	4.42904384124047e-08
"13"	"ENSG00000001084"	"ENST00000650454"	6.99779571283816e-22	1
"14"	"ENSG00000001461"	"ENST00000339255"	0.695018682919072	NA
"15"	"ENSG00000001461"	"ENST00000488155"	0.695018682919072	NA
"16"	"ENSG00000001497"	"ENST00000374804"	0.365131658006147	NA
"17"	"ENSG00000001497"	"ENST00000374807"	0.365131658006147	NA
"18"	"ENSG00000001497"	"ENST00000374811"	0.365131658006147	NA
"19"	"ENSG00000001630"	"ENSG00000001630_92112153_92123261_1"	7.66452714573473e-14	1
"20"	"ENSG00000001630"	"ENSG00000001630_92112153_92134803_1"	7.66452714573473e-14	1
"21"	"ENSG00000001630"	"ENSG00000001630_92113412_92134477_1"	7.66452714573473e-14	1
"22"	"ENSG00000001630"	"ENSG00000001630_92113585_92134477_1"	7.66452714573473e-14	1
"23"	"ENSG00000001630"	"ENST00000003100"	7.66452714573473e-14	1
"24"	"ENSG00000001630"	"ENST00000450723"	7.66452714573473e-14	1
"25"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_1"	0.274316583689061	NA
"26"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_10"	0.274316583689061	NA
"27"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_11"	0.274316583689061	NA
"28"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_2"	0.274316583689061	NA
"29"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_3"	0.274316583689061	NA
"30"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_7"	0.274316583689061	NA
"31"	"ENSG00000001631"	"ENSG00000001631_92241141_92245915_8"	0.274316583689061	NA
"32"	"ENSG00000001631"	"ENST00000444960"	0.274316583689061	NA
"33"	"ENSG00000001631"	"ENST00000452773"	0.274316583689061	NA
"34"	"ENSG00000002330"	"ENST00000309032"	0.392581845293957	NA
"35"	"ENSG00000002330"	"ENST00000394532"	0.392581845293957	NA
"36"	"ENSG00000002549"	"ENST00000226299"	1	NA
"37"	"ENSG00000002549"	"ENST00000618908"	1	NA
"38"	"ENSG00000002586"	"ENST00000381192"	0.238332660235928	NA
"39"	"ENSG00000002586"	"ENST00000611428"	0.238332660235928	NA
"40"	"ENSG00000002822"	"ENSG00000002822_1815794_2232945_2_2"	0.0416526959767641	1
"41"	"ENSG00000002822"	"ENSG00000002822_1815795_2232945_1"	0.0416526959767641	1
"42"	"ENSG00000002822"	"ENST00000399654"	0.0416526959767641	1
"43"	"ENSG00000002822"	"ENST00000406869"	0.0416526959767641	0.526829034143628
"44"	"ENSG00000002834"	"ENST00000318008"	1	NA
"45"	"ENSG00000002834"	"ENST00000435347"	1	NA
"46"	"ENSG00000002834"	"ENST00000579123"	1	NA
"47"	"ENSG00000002834"	"ENST00000584106"	1	NA
"48"	"ENSG00000003056"	"ENSG00000003056_8940364_8949645_1"	0.00307800465928811	1
"49"	"ENSG00000003056"	"ENST00000000412"	0.00307800465928811	0.046704812315972
"50"	"ENSG00000003056"	"ENST00000536844"	0.00307800465928811	1
"51"	"ENSG00000003056"	"ENST00000541507"	0.00307800465928811	1
"52"	"ENSG00000003096"	"ENSG00000003096_117897814_117972823_1"	1	NA
"53"	"ENSG00000003096"	"ENST00000371882"	1	NA
"54"	"ENSG00000003096"	"ENST00000545703"	1	NA
"55"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_1"	1	NA
"56"	"ENSG00000003147"	"ENSG00000003147_8113779_8262153_2_2"	1	NA
"57"	"ENSG00000003147"	"ENSG00000003147_8113779_8262273_1"	1	NA
"58"	"ENSG00000003147"	"ENSG00000003147_8113779_8262561_1"	1	NA
"59"	"ENSG00000003147"	"ENST00000265577"	1	NA
"60"	"ENSG00000003147"	"ENST00000402384"	1	NA
"61"	"ENSG00000003147"	"ENST00000406470"	1	NA
"62"	"ENSG00000003402"	"ENSG00000003402_201115936_201141602_1"	4.37661705740315e-26	1
"63"	"ENSG00000003402"	"ENSG00000003402_201115936_201149835_1"	4.37661705740315e-26	1
"64"	"ENSG00000003402"	"ENSG00000003402_201116167_201140661_1"	4.37661705740315e-26	1
"65"	"ENSG00000003402"	"ENSG00000003402_201116167_201164279_1"	4.37661705740315e-26	1
"66"	"ENSG00000003402"	"ENSG00000003402_201116239_201164279_1"	4.37661705740315e-26	1
"67"	"ENSG00000003402"	"ENSG00000003402_201116407_201141598_1"	4.37661705740315e-26	1
"68"	"ENSG00000003402"	"ENSG00000003402_201116407_201164279_1"	4.37661705740315e-26	1
"69"	"ENSG00000003402"	"ENST00000341222"	4.37661705740315e-26	1
"70"	"ENSG00000003402"	"ENST00000490965"	4.37661705740315e-26	1
"71"	"ENSG00000003756"	"ENSG00000003756_50115512_50118957_1"	4.40159076280931e-05	1
"72"	"ENSG00000003756"	"ENST00000347869"	4.40159076280931e-05	0.0732123077649431
"73"	"ENSG00000003756"	"ENST00000469838"	4.40159076280931e-05	1
"74"	"ENSG00000003756"	"ENST00000492472"	4.40159076280931e-05	1
"75"	"ENSG00000004142"	"ENST00000540200"	1	NA
"76"	"ENSG00000004142"	"ENST00000618887"	1	NA
"77"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_1"	4.6119396086095e-22	1.52776709468426e-17
"78"	"ENSG00000004455"	"ENSG00000004455_33013044_33036845_3"	4.6119396086095e-22	1
"79"	"ENSG00000004455"	"ENSG00000004455_33013044_33037004_1"	4.6119396086095e-22	1
"80"	"ENSG00000004455"	"ENST00000480134"	4.6119396086095e-22	1
"81"	"ENSG00000004534"	"ENSG00000004534_49940151_50077249_1"	0.0936957196616449	NA
"82"	"ENSG00000004534"	"ENSG00000004534_50062027_50077249_1"	0.0936957196616449	NA
"83"	"ENSG00000004534"	"ENST00000419610"	0.0936957196616449	NA
"84"	"ENSG00000004534"	"ENST00000422955"	0.0936957196616449	NA
"85"	"ENSG00000004534"	"ENST00000442092"	0.0936957196616449	NA
"86"	"ENSG00000004534"	"ENST00000493652"	0.0936957196616449	NA
"87"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_3_2"	1	NA
"88"	"ENSG00000004838"	"ENSG00000004838_50341115_50345697_5_2"	1	NA
"89"	"ENSG00000004838"	"ENST00000231749"	1	NA
"90"	"ENSG00000004866"	"ENST00000323984"	1	NA
"91"	"ENSG00000004866"	"ENST00000393451"	1	NA
"92"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_1"	1.94735443366611e-23	1
"93"	"ENSG00000004961"	"ENSG00000004961_11111332_11121879_2_2"	1.94735443366611e-23	1
"94"	"ENSG00000004961"	"ENSG00000004961_11111342_11121879_2"	1.94735443366611e-23	1
"95"	"ENSG00000004961"	"ENST00000321143"	1.94735443366611e-23	1
"96"	"ENSG00000004961"	"ENST00000380762"	1.94735443366611e-23	0.0077911111803266
"97"	"ENSG00000004961"	"ENST00000380763"	1.94735443366611e-23	1
"98"	"ENSG00000004975"	"ENSG00000004975_7225342_7234223_1"	0.0294677032314234	1
"99"	"ENSG00000004975"	"ENSG00000004975_7225342_7234517_1"	0.0294677032314234	1
"100"	"ENSG00000004975"	"ENSG00000004975_7225342_7234522_1"	0.0294677032314234	1
"101"	"ENSG00000004975"	"ENST00000005340"	0.0294677032314234	1
"102"	"ENSG00000005001"	"ENSG00000005001_2852730_2858170_6_1"	0.000468585228934336	1
"103"	"ENSG00000005001"	"ENSG00000005001_2852730_2858618_1"	0.000468585228934336	1
"104"	"ENSG00000005001"	"ENST00000161006"	0.000468585228934336	1
"105"	"ENSG00000005007"	"ENSG00000005007_18865292_18868230_1"	1	NA
"106"	"ENSG00000005007"	"ENST00000594243"	1	NA
"107"	"ENSG00000005007"	"ENST00000600689"	1	NA
"108"	"ENSG00000005175"	"ENSG00000005175_47663290_47706030_1"	1	NA
"109"	"ENSG00000005175"	"ENSG00000005175_47663293_47706030_1"	1	NA
"110"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_2"	0.0623544272086648	NA
"111"	"ENSG00000005194"	"ENSG00000005194_57428554_57447386_3_1"	0.0623544272086648	NA
"112"	"ENSG00000005194"	"ENST00000394391"	0.0623544272086648	NA
"113"	"ENSG00000005194"	"ENST00000567518"	0.0623544272086648	NA
"114"	"ENSG00000005194"	"ENST00000569370"	0.0623544272086648	NA
"115"	"ENSG00000005206"	"ENSG00000005206_2328693_2341956_2"	0.0922324062398677	NA
"116"	"ENSG00000005206"	"ENSG00000005206_2328693_2341956_3"	0.0922324062398677	NA
"117"	"ENSG00000005206"	"ENSG00000005206_2328696_2341956_1"	0.0922324062398677	NA
"118"	"ENSG00000005206"	"ENSG00000005206_2328696_2353933_1"	0.0922324062398677	NA
"119"	"ENSG00000005206"	"ENSG00000005206_2342722_2353933_1"	0.0922324062398677	NA
"120"	"ENSG00000005206"	"ENSG00000005206_2351510_2353933_1"	0.0922324062398677	NA
