"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_uninfected_child_Uninfected-Secretory_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000131203"	"ENSG00000131203"	0.0342555471496336	0	2	2	0.670966825888644	0.833333333333333	0.666666666666667
"ENSG00000119242"	"ENSG00000119242"	0.00732920255323907	0	2	2	0.642029285034494	0.833333333333333	0.666666666666667
"ENSG00000174021"	"ENSG00000174021"	2.27587609968075e-205	0	2	2	-0.624006076320765	1	1
"ENSG00000129194"	"ENSG00000129194"	1.21086160273962e-06	0	2	2	-0.612448164284129	1	1
"ENSG00000149273"	"ENSG00000149273"	1.04031166619464e-239	0	2	2	-0.605362687373669	1	1
"ENSG00000166900"	"ENSG00000166900"	0.0117929996070428	0	2	2	-0.589690592544936	0.833333333333333	0.666666666666667
"ENSG00000204469"	"ENSG00000204469"	0.0204243144084472	0	2	2	-0.550434042229414	1	0.833333333333333
"ENSG00000068903"	"ENSG00000068903"	0.000891410655933108	0	2	2	0.546154044275198	0.833333333333333	0.833333333333333
"ENSG00000185619"	"ENSG00000185619"	0.038660108787707	0	2	2	-0.543480529172038	1	1
"ENSG00000170525"	"ENSG00000170525"	0.0289418848574223	0	2	2	-0.513830638627002	0.833333333333333	0.833333333333333
"ENSG00000160972"	"ENSG00000160972"	0.00140439251566099	0	2	2	0.510322360430438	1	0.833333333333333
"ENSG00000152154"	"ENSG00000152154"	0.0337859644065933	0	2	2	0.498157826960378	0.833333333333333	0.833333333333333
"ENSG00000134258"	"ENSG00000134258"	4.51213329031646e-05	0	2	2	-0.469225662314553	1	1
"ENSG00000198843"	"ENSG00000198843"	2.21846918697217e-08	0	2	2	-0.454137295590712	1	1
"ENSG00000149313"	"ENSG00000149313"	0.00179187568585459	0	2	2	-0.450748171584464	1	1
"ENSG00000224616"	"ENSG00000224616"	0.0379750631266765	0	2	2	0.447362203588885	0.833333333333333	0.833333333333333
"ENSG00000151502"	"ENSG00000151502"	0.0282867927011726	0	2	2	-0.408415757569545	1	1
