"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_uninfected_child_Uninfected-Suprabasal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000141480"	"ENSG00000141480"	0.0133090474559299	0	2	2	-0.701562122320752	1	0.666666666666667
"ENSG00000119760"	"ENSG00000119760"	0.0215964147762592	0	2	2	-0.686329614786715	1	0.833333333333333
"ENSG00000149313"	"ENSG00000149313"	0.0263566033183483	0	2	2	-0.649044720807963	1	1
"ENSG00000174021"	"ENSG00000174021"	1.99062194606392e-64	0	2	2	-0.644643315105451	1	1
"ENSG00000197622"	"ENSG00000197622"	0.0323067114325337	0	2	2	-0.630602821162663	1	1
"ENSG00000185262"	"ENSG00000185262"	8.41758057080436e-05	0	2	2	-0.617653846919309	1	1
"ENSG00000149273"	"ENSG00000149273"	4.2804585156422e-284	0	2	2	-0.614070567538443	1	1
"ENSG00000146072"	"ENSG00000146072"	0.0193480566975006	0	2	2	0.597246764733674	0.833333333333333	0.833333333333333
"ENSG00000125651"	"ENSG00000125651"	0.0251470344126438	0	2	2	0.443134253219527	1	1
"ENSG00000156508"	"ENSG00000156508"	2.85363901042813e-283	0	2	2	-0.329269546410819	1	1
"ENSG00000153485"	"ENSG00000153485"	0.0468529722717159	0	2	2	-0.291731547131682	1	1
"ENSG00000176153"	"ENSG00000176153"	0.00300365989489644	0	2	2	0.291489407916388	1	1
"ENSG00000141232"	"ENSG00000141232"	0.0222609344335004	0	2	2	0.271327846228306	1	1
"ENSG00000176101"	"ENSG00000176101"	0.0466120844095374	0	2	2	-0.245885350777243	1	1
"ENSG00000164405"	"ENSG00000164405"	0.0319688133855931	0	2	2	-0.216377835855049	1	1
"ENSG00000013275"	"ENSG00000013275"	0.00173160016157456	0	2	2	-0.200307587174738	1	1
"ENSG00000136156"	"ENSG00000136156"	0.0384039585288839	0	2	2	-0.163951589076536	1	1
"ENSG00000087077"	"ENSG00000087077"	0.0282263264133226	0	2	2	-0.135123832587523	1	1
"ENSG00000140319"	"ENSG00000140319"	0.000747064474518005	0	2	2	-0.123571038227426	1	1
"ENSG00000162909"	"ENSG00000162909"	0.0201097590821515	0	2	2	0.119780059264098	1	1
"ENSG00000118680"	"ENSG00000118680"	0.000599007413665923	0	2	2	0.110733703422206	1	1
"ENSG00000188186"	"ENSG00000188186"	0.0230418308312576	0	2	2	-0.109339126723749	1	1
"ENSG00000159352"	"ENSG00000159352"	0.0413230726424083	0	2	2	-0.108873287857411	1	1
"ENSG00000241343"	"ENSG00000241343"	0.049911674765092	0	2	2	0.072443177452989	1	1
"ENSG00000142541"	"ENSG00000142541"	0.0152700217608795	0	2	2	-0.055563095486049	1	1
"ENSG00000128422"	"ENSG00000128422"	3.46707308077581e-10	0	2	2	0.0412007196568828	1	1
"ENSG00000165272"	"ENSG00000165272"	0.00844043529373763	0	2	2	0.0343684457160174	1	1
"ENSG00000211450"	"ENSG00000211450"	2.84398823498775e-94	4.43140313541037e-54	3	1	0.90841512090095	1	1
"ENSG00000115457"	"ENSG00000115457"	1.89571037105826e-46	1.53200827852244e-44	5	2	0.824340534817071	1	1
"ENSG00000164919"	"ENSG00000164919"	4.08075665566155e-38	2.0863351556371e-39	3	2	-0.815810364627834	1	1
"ENSG00000122026"	"ENSG00000122026"	4.12058278291719e-76	8.968386356018e-33	4	1	-0.36734502818643	1	1
"ENSG00000070831"	"ENSG00000070831"	8.51781761075295e-30	4.31553104374858e-26	3	1	0.697562307453635	1	1
"ENSG00000100650"	"ENSG00000100650"	7.98455405886302e-30	8.0713626351887e-24	4	1	-0.612763014864309	1	1
"ENSG00000140307"	"ENSG00000140307"	5.46672345273685e-21	3.1898028795117e-19	3	1	-0.659684614681003	1	1
"ENSG00000104529"	"ENSG00000104529"	1.25199729048599e-19	9.5107807364411e-19	3	2	-0.485349038814383	1	1
"ENSG00000174547"	"ENSG00000174547"	7.50408243434362e-19	3.28113482132318e-14	4	1	-0.820134462178389	1	1
"ENSG00000173171"	"ENSG00000173171"	1.67454586493383e-19	3.96380129848316e-14	4	1	-0.781112527880096	1	1
"ENSG00000178741"	"ENSG00000178741"	2.63355551904819e-28	1.07500369186083e-13	3	1	-0.419182561924107	1	1
"ENSG00000163399"	"ENSG00000163399"	1.24616044123751e-16	6.81161512198383e-13	5	1	-0.647509135224306	1	1
"ENSG00000108244"	"ENSG00000108244"	6.23379304374595e-25	1.47057383007722e-12	4	1	-0.329855044844394	1	1
"ENSG00000198668"	"ENSG00000198668"	4.3089343832931e-34	1.83227597105823e-12	4	2	0.637396806383741	1	1
"ENSG00000143977"	"ENSG00000143977"	1.10289805456719e-16	3.45831141048349e-12	3	1	0.513739574366317	1	1
"ENSG00000070756"	"ENSG00000070756"	1.56537305824941e-47	6.12135619579373e-12	5	1	-0.507728795561832	1	1
"ENSG00000162896"	"ENSG00000162896"	3.73629950153682e-22	1.37833492561842e-11	4	1	0.898443691318547	1	0.666666666666667
"ENSG00000175756"	"ENSG00000175756"	8.52963922507223e-09	6.99579715106559e-11	4	2	-0.552124552529151	1	1
"ENSG00000203875"	"ENSG00000203875"	1.35180651899186e-08	1.97551691562366e-10	5	2	0.584174543680244	1	1
"ENSG00000113387"	"ENSG00000113387"	2.41909110578395e-17	2.01624180219468e-10	5	1	0.689076076804664	1	1
"ENSG00000021355"	"ENSG00000021355"	2.88898815812566e-15	1.81890820598119e-09	6	1	-0.6309391238761	1	0.833333333333333
"ENSG00000065154"	"ENSG00000065154"	4.2345607997478e-08	4.32002904734916e-09	3	2	-0.603723989161938	1	0.833333333333333
"ENSG00000115310"	"ENSG00000115310"	3.49095180721881e-13	5.1291221962802e-09	5	1	0.478923486726315	1	1
"ENSG00000173486"	"ENSG00000173486"	4.69836250194779e-20	5.40608279675097e-09	5	1	0.523129430361336	1	1
"ENSG00000198242"	"ENSG00000198242"	1.72422129784189e-19	6.83435261927583e-09	3	1	0.255215862739545	1	1
"ENSG00000105519"	"ENSG00000105519"	3.60883436639382e-18	1.23407914123303e-08	8	2	-0.375689965813475	1	1
"ENSG00000185825"	"ENSG00000185825"	3.56846367442885e-11	3.01095008844892e-08	3	1	-0.419149972184905	1	1
"ENSG00000111843"	"ENSG00000111843"	1.16840134267361e-12	3.32353582408275e-08	3	1	0.326520881301926	1	1
"ENSG00000068697"	"ENSG00000068697"	1.62039330008031e-10	2.07632930972408e-07	3	1	-0.188569927947009	1	1
"ENSG00000137818"	"ENSG00000137818"	1.17007808968481e-05	6.15508991173289e-07	3	2	-0.315212867943901	1	1
"ENSG00000245532"	"ENSG00000245532"	2.75204190802708e-07	2.4493030530861e-06	4	2	0.233979464359586	1	1
"ENSG00000263001"	"ENSG00000263001"	4.26711002674745e-07	2.60926117305178e-06	4	1	-0.662395135759926	1	0.833333333333333
"ENSG00000164713"	"ENSG00000164713"	1.06147799728503e-05	3.32014905144345e-06	3	1	0.330434394209159	1	1
"ENSG00000067167"	"ENSG00000067167"	1.13118222923658e-09	3.72358964085111e-06	4	1	-0.737810329941498	1	0.666666666666667
"ENSG00000136240"	"ENSG00000136240"	5.18444610363084e-05	7.58789218784386e-06	3	2	0.493958593385162	1	1
"ENSG00000080824"	"ENSG00000080824"	6.65187288902669e-25	1.04018128487231e-05	3	1	0.723995124475425	1	1
"ENSG00000167642"	"ENSG00000167642"	0.000186088088800581	1.09560112779354e-05	3	2	-0.295748424346733	1	1
"ENSG00000111907"	"ENSG00000111907"	2.05787918402486e-09	2.09894231597528e-05	7	1	0.417028865123363	1	1
"ENSG00000120992"	"ENSG00000120992"	9.57616473857596e-08	2.61624445797172e-05	5	1	0.563677573258591	1	1
"ENSG00000163466"	"ENSG00000163466"	0.000107465186677035	2.94814406634264e-05	4	1	0.224820221537589	1	1
"ENSG00000171490"	"ENSG00000171490"	2.8052168788911e-10	0.000142411400231215	4	1	0.881106364532484	1	0.833333333333333
"ENSG00000257727"	"ENSG00000257727"	6.35380173659393e-09	0.000154880269658221	3	1	-0.876304656666776	1	1
"ENSG00000109390"	"ENSG00000109390"	0.00104411902322122	0.000181077321041752	3	2	0.449830357434034	1	0.833333333333333
"ENSG00000173467"	"ENSG00000173467"	2.51274748752752e-08	0.000198704333767281	4	1	-0.200903343121951	1	1
"ENSG00000161013"	"ENSG00000161013"	0.000327517137841631	0.000222073925810974	4	2	0.554168378873965	1	1
"ENSG00000245694"	"ENSG00000245694"	7.78497931668442e-11	0.000225287644197198	9	1	-0.365699833939896	1	1
